Plot 1 FLIR USB Video,,,,,,
,,,,,,
,,,Sp1.Value,Sp2.Value,Sp3.Value,Sp4.Value
Emissivity,,,0.9499999881,0.9499999881,0.9499999881,0.9499999881
Distance,,,1,1,1,1
Reflected temperature,,,19.9999939,19.9999939,19.9999939,19.9999939
Location X,,,32,287,288,157
Location Y,,,110,53,106,110
Size X,,,,,,
Size Y,,,,,,
Surface (pixels),,,,,,
,,,,,,
Date,Time,Time,Sp1.Value,Sp2.Value,Sp3.Value,Sp4.Value
4/18/2018,3:40:18 PM,15:40:18,43.23639297,40.97720337,40.86758423,39.00061417
4/18/2018,3:40:18 PM,15:40:18,43.18254471,40.96624374,40.87855148,39.01174164
4/18/2018,3:40:18 PM,15:40:18,43.19331741,40.96624374,40.84564972,38.96722412
4/18/2018,3:40:19 PM,15:40:19,43.171772,40.93336868,40.77981949,38.93382263
4/18/2018,3:40:19 PM,15:40:19,43.05321884,40.85661697,40.71395874,38.91155243
4/18/2018,3:40:19 PM,15:40:19,43.09634018,40.86758423,40.77981949,38.95609283
4/18/2018,3:40:20 PM,15:40:20,43.09634018,40.87855148,40.74689484,38.92268753
4/18/2018,3:40:20 PM,15:40:20,43.11789703,40.87855148,40.77981949,38.88927841
4/18/2018,3:40:20 PM,15:40:20,43.11789703,40.83467865,40.79079437,38.88927841
4/18/2018,3:40:21 PM,15:40:21,43.08556366,40.83467865,40.71395874,38.8781395
4/18/2018,3:40:21 PM,15:40:21,43.07478333,40.85661697,40.73591614,38.93382263
4/18/2018,3:40:21 PM,15:40:21,43.07478333,40.83467865,40.74689484,38.93382263
4/18/2018,3:40:21 PM,15:40:21,43.1609993,40.97720337,40.81274033,39.04512405
4/18/2018,3:40:22 PM,15:40:22,43.09634018,40.94432831,40.79079437,39.05624771
4/18/2018,3:40:22 PM,15:40:22,43.04243469,40.85661697,40.75786972,39.03399658
4/18/2018,3:40:22 PM,15:40:22,43.15022659,40.96624374,40.81274033,39.10073471
4/18/2018,3:40:23 PM,15:40:23,43.06399918,40.92240524,40.77981949,39.05624771
4/18/2018,3:40:23 PM,15:40:23,42.99929428,40.84564972,40.73591614,39.02286911
4/18/2018,3:40:23 PM,15:40:23,43.02086639,40.85661697,40.76884842,39.04512405
4/18/2018,3:40:24 PM,15:40:24,43.01008224,40.87855148,40.77981949,39.03399658
4/18/2018,3:40:24 PM,15:40:24,42.97771835,40.83467865,40.77981949,39.04512405
4/18/2018,3:40:24 PM,15:40:24,42.98850632,40.86758423,40.83467865,39.03399658
4/18/2018,3:40:25 PM,15:40:25,42.95613861,40.85661697,40.75786972,39.06737137
4/18/2018,3:40:25 PM,15:40:25,43.01008224,40.85661697,40.72493744,39.08961487
4/18/2018,3:40:25 PM,15:40:25,43.02086639,40.87855148,40.73591614,39.10073471
4/18/2018,3:40:25 PM,15:40:25,42.96693039,40.81274033,40.73591614,39.04512405
4/18/2018,3:40:26 PM,15:40:26,42.97771835,40.83467865,40.68101501,39.04512405
4/18/2018,3:40:26 PM,15:40:26,42.92376328,40.75786972,40.65904999,39.02286911
4/18/2018,3:40:27 PM,15:40:27,42.89138031,40.73591614,40.626091,38.95609283
4/18/2018,3:40:27 PM,15:40:27,42.88058472,40.68101501,40.626091,38.98948669
4/18/2018,3:40:27 PM,15:40:27,42.9129715,40.73591614,40.63707733,39.01174164
4/18/2018,3:40:28 PM,15:40:28,42.95613861,40.75786972,40.64806366,39.01174164
4/18/2018,3:40:28 PM,15:40:28,42.81578445,40.64806366,40.60411453,38.97835541
4/18/2018,3:40:28 PM,15:40:28,42.78337479,40.63707733,40.53816223,38.95609283
4/18/2018,3:40:28 PM,15:40:28,42.81578445,40.72493744,40.60411453,39.03399658
4/18/2018,3:40:29 PM,15:40:29,42.74014664,40.70298004,40.52716827,39.02286911
4/18/2018,3:40:29 PM,15:40:29,42.69690704,40.61510468,40.49417496,38.95609283
4/18/2018,3:40:29 PM,15:40:29,42.68609238,40.61510468,40.52716827,38.94495773
4/18/2018,3:40:30 PM,15:40:30,42.71852875,40.58213425,40.49417496,39.00061417
4/18/2018,3:40:30 PM,15:40:30,42.65365219,40.56015015,40.46117401,38.96722412
4/18/2018,3:40:30 PM,15:40:30,42.56709671,40.53816223,40.40615463,38.91155243
4/18/2018,3:40:31 PM,15:40:31,42.57791901,40.48317719,40.40615463,38.90041351
4/18/2018,3:40:31 PM,15:40:31,42.61038208,40.5161705,40.43917084,38.90041351
4/18/2018,3:40:31 PM,15:40:31,42.57791901,40.53816223,40.48317719,38.92268753
4/18/2018,3:40:32 PM,15:40:32,42.5454483,40.50517273,40.40615463,38.88927841
4/18/2018,3:40:32 PM,15:40:32,42.57791901,40.5161705,40.43917084,38.92268753
4/18/2018,3:40:32 PM,15:40:32,42.57791901,40.52716827,40.45017242,38.91155243
4/18/2018,3:40:32 PM,15:40:32,42.55627441,40.56015015,40.4721756,38.96722412
4/18/2018,3:40:33 PM,15:40:33,42.51296997,40.52716827,40.39514923,38.94495773
4/18/2018,3:40:33 PM,15:40:33,42.53462219,40.50517273,40.42816544,38.95609283
4/18/2018,3:40:34 PM,15:40:34,42.53462219,40.50517273,40.46117401,38.93382263
4/18/2018,3:40:34 PM,15:40:34,42.51296997,40.5161705,40.40615463,38.95609283
4/18/2018,3:40:34 PM,15:40:34,42.5454483,40.45017242,40.36212158,38.94495773
4/18/2018,3:40:35 PM,15:40:35,42.55627441,40.54915619,40.38414001,38.96722412
4/18/2018,3:40:35 PM,15:40:35,42.53462219,40.48317719,40.2740097,38.92268753
