Plot 1 FLIR USB Video,,,,,,
,,,,,,
,,,Sp1.Value,Sp2.Value,Sp3.Value,Sp4.Value
Emissivity,,,0.9499999881,0.9499999881,0.9499999881,0.9499999881
Distance,,,1,1,1,1
Reflected temperature,,,19.9999939,19.9999939,19.9999939,19.9999939
Location X,,,32,287,288,157
Location Y,,,110,53,106,110
Size X,,,,,,
Size Y,,,,,,
Surface (pixels),,,,,,
,,,,,,
Date,Time,Time,Sp1.Value,Sp2.Value,Sp3.Value,Sp4.Value
4/19/2018,9:44:26 AM,9:44:26,27.94392014,25.52807617,25.34106064,25.10372925
4/19/2018,9:44:26 AM,9:44:26,28.0170784,25.54053307,25.35353661,25.15373421
4/19/2018,9:44:26 AM,9:44:26,27.98050499,25.47823524,25.35353661,25.11623192
4/19/2018,9:44:26 AM,9:44:26,27.89512253,25.46577072,25.37848854,25.06620979
4/19/2018,9:44:26 AM,9:44:26,27.91952515,25.46577072,25.30361938,25.06620979
4/19/2018,9:44:26 AM,9:44:26,27.88292122,25.44083977,25.27865219,25.07871819
4/19/2018,9:44:26 AM,9:44:26,27.90732384,25.42837334,25.34106064,25.09122467
4/19/2018,9:44:26 AM,9:44:26,27.87071609,25.44083977,25.24119186,25.0537014
4/19/2018,9:44:26 AM,9:44:26,27.84630585,25.39096069,25.2911377,25.0537014
4/19/2018,9:44:27 AM,9:44:27,27.84630585,25.40343285,25.2911377,25.01616478
4/19/2018,9:44:27 AM,9:44:27,27.85851097,25.42837334,25.31610107,25.0537014
4/19/2018,9:44:27 AM,9:44:27,27.85851097,25.4533062,25.30361938,25.07871819
4/19/2018,9:44:27 AM,9:44:27,27.85851097,25.40343285,25.2911377,25.09122467
4/19/2018,9:44:27 AM,9:44:27,27.88292122,25.44083977,25.32858086,25.07871819
4/19/2018,9:44:27 AM,9:44:27,27.93172264,25.4533062,25.34106064,25.11623192
4/19/2018,9:44:27 AM,9:44:27,27.91952515,25.50315857,25.31610107,25.14123535
4/19/2018,9:44:27 AM,9:44:27,27.89512253,25.47823524,25.2911377,25.11623192
4/19/2018,9:44:27 AM,9:44:27,27.90732384,25.51561737,25.35353661,25.14123535
4/19/2018,9:44:28 AM,9:44:28,27.91952515,25.51561737,25.37848854,25.15373421
4/19/2018,9:44:28 AM,9:44:28,27.96831131,25.49069786,25.40343285,25.17873001
4/19/2018,9:44:28 AM,9:44:28,27.94392014,25.46577072,25.36601257,25.15373421
4/19/2018,9:44:28 AM,9:44:28,27.98050499,25.44083977,25.34106064,25.15373421
4/19/2018,9:44:28 AM,9:44:28,27.96831131,25.51561737,25.36601257,25.16623306
4/19/2018,9:44:28 AM,9:44:28,27.91952515,25.44083977,25.34106064,25.14123535
4/19/2018,9:44:28 AM,9:44:28,27.74860764,25.26616669,25.15373421,24.96609688
4/19/2018,9:44:28 AM,9:44:28,27.66305351,25.20371819,25.09122467,24.89095497
4/19/2018,9:44:28 AM,9:44:28,27.66305351,25.22870255,25.07871819,24.90348244
4/19/2018,9:44:29 AM,9:44:29,27.68750381,25.21621132,25.09122467,24.90348244
4/19/2018,9:44:29 AM,9:44:29,27.68750381,25.27865219,25.07871819,24.916008
4/19/2018,9:44:29 AM,9:44:29,27.68750381,25.24119186,25.07871819,24.90348244
4/19/2018,9:44:29 AM,9:44:29,27.72416878,25.2911377,25.12873459,24.916008
4/19/2018,9:44:29 AM,9:44:29,27.74860764,25.2911377,25.10372925,24.9410553
4/19/2018,9:44:29 AM,9:44:29,27.73638916,25.2911377,25.15373421,24.96609688
4/19/2018,9:44:29 AM,9:44:29,27.68750381,25.21621132,25.14123535,24.9410553
4/19/2018,9:44:29 AM,9:44:29,27.68750381,25.22870255,25.09122467,24.9410553
4/19/2018,9:44:29 AM,9:44:29,27.68750381,25.15373421,25.10372925,24.916008
4/19/2018,9:44:30 AM,9:44:30,27.74860764,25.21621132,25.09122467,24.90348244
4/19/2018,9:44:30 AM,9:44:30,27.72416878,25.2911377,25.11623192,24.916008
4/19/2018,9:44:30 AM,9:44:30,27.72416878,25.22870255,25.09122467,24.916008
4/19/2018,9:44:30 AM,9:44:30,27.73638916,25.25368118,25.12873459,24.9410553
4/19/2018,9:44:30 AM,9:44:30,27.73638916,25.26616669,25.14123535,24.96609688
4/19/2018,9:44:30 AM,9:44:30,27.72416878,25.32858086,25.12873459,24.97861671
4/19/2018,9:44:30 AM,9:44:30,27.67527962,25.20371819,25.09122467,24.92853355
4/19/2018,9:44:30 AM,9:44:30,27.68750381,25.19122505,25.0537014,24.90348244
4/19/2018,9:44:31 AM,9:44:31,27.68750381,25.21621132,25.09122467,24.89095497
4/19/2018,9:44:31 AM,9:44:31,27.6997261,25.27865219,25.11623192,24.916008
4/19/2018,9:44:31 AM,9:44:31,27.67527962,25.26616669,25.07871819,24.87842751
4/19/2018,9:44:31 AM,9:44:31,27.67527962,25.24119186,25.07871819,24.85336494
4/19/2018,9:44:31 AM,9:44:31,27.71194839,25.22870255,25.14123535,24.85336494
4/19/2018,9:44:31 AM,9:44:31,27.6997261,25.19122505,25.09122467,24.82829857
4/19/2018,9:44:31 AM,9:44:31,27.66305351,25.21621132,25.09122467,24.85336494
4/19/2018,9:44:31 AM,9:44:31,27.63859749,25.20371819,25.04118919,24.86589622
4/19/2018,9:44:31 AM,9:44:31,27.66305351,25.21621132,25.07871819,24.86589622
4/19/2018,9:44:32 AM,9:44:32,27.66305351,25.19122505,25.09122467,24.86589622
4/19/2018,9:44:32 AM,9:44:32,27.67527962,25.17873001,25.07871819,24.86589622
