Plot 1 FLIR USB Video,,,,,,,,
,,,,,,,,
,,,,Sp1.Value,Sp2.Value,Sp3.Value,Sp4.Value,Sp5.Value
Emissivity,,,,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881
Distance,,,,1,1,1,1,1
Reflected temperature,,,,19.9999939,19.9999939,19.9999939,19.9999939,19.9999939
Location X,,,,36,282,283,166,34
Location Y,,,,115,58,113,116,58
Size X,,,,,,,,
Size Y,,,,,,,,
Surface (pixels),,,,,,,,
,,,,,,,,
Date,Time,Milliseconds,Relative time,Sp1.Value,Sp2.Value,Sp3.Value,Sp4.Value,Sp5.Value
4/20/2018,11:56:42 AM,648,0,25.78937912,23.92213631,23.74508286,24.74052048,24.18719101
4/20/2018,11:56:42 AM,918,0.27,25.83908272,23.88422012,23.69444466,24.70287895,24.19979858
4/20/2018,11:56:43 AM,459,0.811,25.86392593,23.98530197,23.87157822,24.7530632,24.28800011
4/20/2018,11:56:43 AM,729,1.081,25.82665825,23.99793053,23.75774002,24.72797394,24.18719101
4/20/2018,11:56:43 AM,999,1.351,25.88876534,23.96004105,23.78304672,24.70287895,24.19979858
4/20/2018,11:56:44 AM,270,1.622,25.86392593,23.93477249,23.77039337,24.72797394,24.19979858
4/20/2018,11:56:44 AM,540,1.892,25.88876534,23.98530197,23.71976662,24.72797394,24.23760796
4/20/2018,11:56:45 AM,81,2.433,25.86392593,23.92213631,23.70710564,24.67777824,24.19979858
4/20/2018,11:56:45 AM,351,2.703,25.87634659,23.92213631,23.68178177,24.66522598,24.17458534
4/20/2018,11:56:45 AM,621,2.973,25.98806381,23.96004105,23.78304672,24.74052048,24.18719101
4/20/2018,11:56:45 AM,891,3.243,25.97565651,23.99793053,23.78304672,24.74052048,24.19979858
4/20/2018,11:56:46 AM,162,3.514,25.9632473,23.94740677,23.70710564,24.70287895,24.16197586
4/20/2018,11:56:46 AM,432,3.784,25.91359711,23.83364487,23.65645027,24.64011765,24.12413979
4/20/2018,11:56:46 AM,972,4.324,25.98806381,23.90950012,23.68178177,24.7154274,24.13675308
4/20/2018,11:56:47 AM,243,4.595,25.9632473,23.88422012,23.68178177,24.67777824,24.13675308
4/20/2018,11:56:47 AM,513,4.865,25.87634659,23.80834961,23.63111496,24.65267181,24.06105423
4/20/2018,11:56:47 AM,783,5.135,25.92601204,23.85893631,23.65645027,24.67777824,24.09890938
4/20/2018,11:56:48 AM,53,5.405,25.98806381,23.89686012,23.69444466,24.74052048,24.16197586
4/20/2018,11:56:48 AM,324,5.676,25.9632473,23.83364487,23.66911697,24.70287895,24.12413979
4/20/2018,11:56:48 AM,594,5.946,26.00046921,23.87157822,23.70710564,24.67777824,24.11152649
4/20/2018,11:56:49 AM,135,6.487,26.03767967,23.90950012,23.70710564,24.67777824,24.17458534
4/20/2018,11:56:49 AM,405,6.757,26.06248093,23.88422012,23.68178177,24.64011765,24.14936447
4/20/2018,11:56:49 AM,675,7.027,26.07487869,23.90950012,23.64378357,24.67777824,24.14936447
4/20/2018,11:56:49 AM,675,7.027,26.07487869,23.90950012,23.64378357,24.67777824,24.14936447
4/20/2018,11:56:49 AM,945,7.297,26.05008125,23.90950012,23.65645027,24.65267181,24.21240234
4/20/2018,11:56:50 AM,216,7.568,26.18640137,23.94740677,23.75774002,24.7530632,24.31318855
4/20/2018,11:56:50 AM,486,7.838,26.07487869,23.85893631,23.64378357,24.67777824,24.26280594
4/20/2018,11:56:50 AM,756,8.108,26.11206627,23.88422012,23.66911697,24.69033051,24.21240234
4/20/2018,11:56:51 AM,26,8.378,26.12445831,23.84629059,23.66911697,24.70287895,24.18719101
4/20/2018,11:56:51 AM,567,8.919,26.14923859,23.90950012,23.66911697,24.69033051,24.2502079
4/20/2018,11:56:51 AM,837,9.189,26.19878578,23.92213631,23.70710564,24.70287895,24.21240234
4/20/2018,11:56:52 AM,108,9.46,26.18640137,23.92213631,23.74508286,24.7154274,24.2502079
4/20/2018,11:56:52 AM,378,9.73,26.12445831,23.84629059,23.64378357,24.66522598,24.13675308
4/20/2018,11:56:52 AM,648,10,26.27306557,24.02318382,23.77039337,24.79068756,24.30059433
4/20/2018,11:56:52 AM,918,10.27,26.2359314,23.96004105,23.74508286,24.74052048,24.21240234
4/20/2018,11:56:53 AM,459,10.811,26.31018639,24.01055908,23.79569817,24.80322647,24.32578087
4/20/2018,11:56:53 AM,729,11.081,26.32255936,24.02318382,23.84629059,24.79068756,24.30059433
4/20/2018,11:56:53 AM,999,11.351,26.37203026,24.0484314,23.88422012,24.80322647,24.31318855
4/20/2018,11:56:54 AM,270,11.622,26.31018639,24.02318382,23.77039337,24.7530632,24.27540398
4/20/2018,11:56:54 AM,810,12.162,26.28544044,24.02318382,23.75774002,24.70287895,24.21240234
4/20/2018,11:56:55 AM,81,12.433,26.26068878,23.97267151,23.77039337,24.67777824,24.2250061
4/20/2018,11:56:55 AM,351,12.703,26.32255936,23.97267151,23.78304672,24.69033051,24.21240234
4/20/2018,11:56:55 AM,621,12.973,26.37203026,24.03580856,23.80834961,24.7154274,24.2502079
4/20/2018,11:56:55 AM,891,13.243,26.31018639,24.02318382,23.75774002,24.67777824,24.21240234
4/20/2018,11:56:56 AM,162,13.514,26.32255936,23.98530197,23.77039337,24.7154274,24.2250061
4/20/2018,11:56:56 AM,432,13.784,26.29781532,23.99793053,23.73242569,24.7530632,24.21240234
4/20/2018,11:56:56 AM,972,14.324,26.28544044,24.01055908,23.74508286,24.70287895,24.23760796
4/20/2018,11:56:57 AM,243,14.595,26.31018639,23.98530197,23.80834961,24.74052048,24.2250061
4/20/2018,11:56:57 AM,513,14.865,26.32255936,24.01055908,23.78304672,24.67777824,24.2250061
4/20/2018,11:56:57 AM,783,15.135,26.32255936,24.01055908,23.80834961,24.7154274,24.16197586
4/20/2018,11:56:58 AM,53,15.405,26.33492851,23.97267151,23.79569817,24.66522598,24.17458534
4/20/2018,11:56:58 AM,324,15.676,26.32255936,24.02318382,23.78304672,24.69033051,24.2250061
4/20/2018,11:56:58 AM,594,15.946,26.33492851,24.02318382,23.82099724,24.72797394,24.2250061
4/20/2018,11:56:58 AM,864,16.216,26.33492851,24.0484314,23.83364487,24.72797394,24.2502079
4/20/2018,11:56:59 AM,405,16.757,26.42148018,24.07367325,23.82099724,24.76560593,24.28800011
4/20/2018,11:56:59 AM,675,17.027,26.42148018,24.0484314,23.84629059,24.7154274,24.2502079
4/20/2018,11:56:59 AM,945,17.297,26.4461956,24.02318382,23.78304672,24.7154274,24.27540398
4/20/2018,11:57:00 AM,216,17.568,26.43383789,24.07367325,23.87157822,24.74052048,24.2502079
4/20/2018,11:57:00 AM,486,17.838,26.47090721,24.07367325,23.83364487,24.70287895,24.32578087
4/20/2018,11:57:00 AM,756,18.108,26.49561501,24.0484314,23.87157822,24.76560593,24.32578087
4/20/2018,11:57:01 AM,26,18.378,26.47090721,24.08629227,23.82099724,24.7530632,24.2250061
