Plot 1 FLIR USB Video,,,,,,,,,
,,,,,,,,,
,,,,,Sp1.Value,Sp2.Value,Sp3.Value,Sp4.Value,Sp5.Value
Emissivity,,,,,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881
Distance,,,,,1,1,1,1,1
Reflected temperature,,,,,19.9999939,19.9999939,19.9999939,19.9999939,19.9999939
Location X,,,,,36,282,283,166,34
Location Y,,,,,115,58,113,116,58
Size X,,,,,,,,,
Size Y,,,,,,,,,
Surface (pixels),,,,,,,,,
,,,,,,,,,
Date,Time,Time,Milliseconds,Relative time,Sp1.Value,Sp2.Value,Sp3.Value,Sp4.Value,Sp5.Value
4/20/2018,1:01:51 PM,13:01:51,837,0,24.56475639,24.97861671,24.74052048,24.40130234,24.64011765
4/20/2018,1:01:52 PM,13:01:52,378,0.541,24.64011765,24.96609688,24.77814674,24.46419716,24.5898819
4/20/2018,1:01:52 PM,13:01:52,648,0.811,24.67777824,25.0537014,24.85336494,24.50191689,24.69033051
4/20/2018,1:01:52 PM,13:01:52,918,1.081,24.65267181,25.01616478,24.77814674,24.48934555,24.65267181
4/20/2018,1:01:53 PM,13:01:53,189,1.352,24.7154274,25.00365067,24.79068756,24.51448822,24.66522598
4/20/2018,1:01:53 PM,13:01:53,459,1.622,24.69033051,24.96609688,24.77814674,24.50191689,24.64011765
4/20/2018,1:01:53 PM,13:01:53,999,2.162,24.64011765,24.9410553,24.76560593,24.51448822,24.64011765
4/20/2018,1:01:54 PM,13:01:54,270,2.433,24.5898819,24.95357704,24.76560593,24.46419716,24.64011765
4/20/2018,1:01:54 PM,13:01:54,540,2.703,24.65267181,24.99113464,24.76560593,24.47677231,24.65267181
4/20/2018,1:01:54 PM,13:01:54,810,2.973,24.65267181,25.02867889,24.76560593,24.50191689,24.69033051
