Plot 1 FLIR USB Video,,,,,,,,
,,,,,,,,
,,,,Sp1.Value,Sp2.Value,Sp3.Value,Sp4.Value,Sp5.Value
Emissivity,,,,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881
Distance,,,,1,1,1,1,1
Reflected temperature,,,,19.9999939,19.9999939,19.9999939,19.9999939,19.9999939
Location X,,,,36,282,283,166,34
Location Y,,,,115,58,113,116,58
Size X,,,,,,,,
Size Y,,,,,,,,
Surface (pixels),,,,,,,,
,,,,,,,,
Date,Time,Milliseconds,Relative time,Sp1.Value,Sp2.Value,Sp3.Value,Sp4.Value,Sp5.Value
4/20/2018,1:18:43 PM,189,0,24.40130234,24.74052048,24.56475639,24.28800011,24.82829857
4/20/2018,1:18:43 PM,459,0.27,24.46419716,24.74052048,24.61500359,24.30059433,24.85336494
4/20/2018,1:18:43 PM,729,0.54,24.4516201,24.82829857,24.61500359,24.30059433,24.86589622
4/20/2018,1:18:43 PM,999,0.81,24.50191689,24.81576347,24.66522598,24.33837128,24.89095497
4/20/2018,1:18:44 PM,270,1.081,24.46419716,24.76560593,24.61500359,24.28800011,24.85336494
4/20/2018,1:18:44 PM,810,1.621,24.46419716,24.79068756,24.56475639,24.27540398,24.92853355
4/20/2018,1:18:45 PM,80,1.891,24.47677231,24.74052048,24.56475639,24.28800011,24.89095497
4/20/2018,1:18:45 PM,351,2.162,24.41388321,24.79068756,24.55219078,24.23760796,24.82829857
4/20/2018,1:18:45 PM,621,2.432,24.42646408,24.76560593,24.5773201,24.26280594,24.89095497
4/20/2018,1:18:45 PM,891,2.702,24.41388321,24.81576347,24.55219078,24.2250061,24.84083176
4/20/2018,1:18:46 PM,162,2.973,24.46419716,24.80322647,24.5898819,24.28800011,24.916008
4/20/2018,1:18:46 PM,432,3.243,24.52705765,24.87842751,24.69033051,24.32578087,25.00365067
4/20/2018,1:18:46 PM,702,3.513,24.5773201,24.82829857,24.6024437,24.33837128,24.97861671
4/20/2018,1:18:47 PM,243,4.054,24.50191689,24.85336494,24.66522598,24.33837128,24.97861671
4/20/2018,1:18:47 PM,513,4.324,24.48934555,24.85336494,24.62756157,24.30059433,24.95357704
4/20/2018,1:18:47 PM,783,4.594,24.48934555,24.84083176,24.66522598,24.31318855,24.92853355
4/20/2018,1:18:48 PM,53,4.864,24.46419716,24.84083176,24.5898819,24.27540398,24.916008
4/20/2018,1:18:48 PM,324,5.135,24.37613297,24.76560593,24.53962517,24.18719101,24.84083176
4/20/2018,1:18:48 PM,594,5.405,24.46419716,24.80322647,24.6024437,24.19979858,24.87842751
4/20/2018,1:18:48 PM,864,5.675,24.47677231,24.7154274,24.6024437,24.21240234,24.85336494
4/20/2018,1:18:49 PM,135,5.946,24.47677231,24.80322647,24.62756157,24.23760796,24.89095497
4/20/2018,1:18:49 PM,675,6.486,24.56475639,24.85336494,24.61500359,24.31318855,24.97861671
4/20/2018,1:18:49 PM,945,6.756,24.47677231,24.916008,24.65267181,24.23760796,24.916008
4/20/2018,1:18:50 PM,216,7.027,24.5898819,24.92853355,24.72797394,24.32578087,24.99113464
4/20/2018,1:18:50 PM,486,7.297,24.55219078,24.90348244,24.69033051,24.32578087,24.97861671
4/20/2018,1:18:50 PM,756,7.567,24.6024437,24.92853355,24.70287895,24.31318855,24.97861671
4/20/2018,1:18:51 PM,297,8.108,24.50191689,24.86589622,24.65267181,24.27540398,24.89095497
4/20/2018,1:18:51 PM,567,8.378,24.55219078,24.89095497,24.69033051,24.28800011,24.90348244
4/20/2018,1:18:51 PM,837,8.648,24.52705765,24.87842751,24.69033051,24.28800011,24.87842751
4/20/2018,1:18:52 PM,107,8.918,24.50191689,24.916008,24.7154274,24.28800011,24.916008
4/20/2018,1:18:52 PM,378,9.189,24.56475639,24.95357704,24.7154274,24.32578087,24.99113464
4/20/2018,1:18:52 PM,648,9.459,24.4516201,24.90348244,24.65267181,24.28800011,24.92853355
4/20/2018,1:18:52 PM,918,9.729,24.55219078,24.97861671,24.74052048,24.28800011,24.96609688
4/20/2018,1:18:53 PM,189,10,24.47677231,24.9410553,24.67777824,24.23760796,24.92853355
4/20/2018,1:18:53 PM,459,10.27,24.52705765,24.90348244,24.66522598,24.26280594,24.95357704
4/20/2018,1:18:53 PM,999,10.81,24.5898819,24.9410553,24.70287895,24.31318855,25.01616478
4/20/2018,1:18:54 PM,270,11.081,24.55219078,24.96609688,24.67777824,24.28800011,24.96609688
4/20/2018,1:18:54 PM,540,11.351,24.5898819,25.01616478,24.7154274,24.33837128,25.00365067
4/20/2018,1:18:54 PM,810,11.621,24.53962517,24.95357704,24.66522598,24.26280594,24.99113464
4/20/2018,1:18:55 PM,80,11.891,24.53962517,25.00365067,24.76560593,24.28800011,25.00365067
4/20/2018,1:18:55 PM,351,12.162,24.5773201,24.92853355,24.72797394,24.26280594,25.01616478
4/20/2018,1:18:55 PM,621,12.432,24.53962517,24.89095497,24.66522598,24.23760796,24.95357704
4/20/2018,1:18:56 PM,162,12.973,24.48934555,24.9410553,24.66522598,24.18719101,24.99113464
4/20/2018,1:18:56 PM,432,13.243,24.50191689,24.99113464,24.67777824,24.17458534,24.97861671
4/20/2018,1:18:56 PM,702,13.513,24.51448822,24.9410553,24.69033051,24.19979858,24.916008
4/20/2018,1:18:56 PM,972,13.783,24.52705765,24.92853355,24.64011765,24.18719101,24.9410553
4/20/2018,1:18:57 PM,243,14.054,24.48934555,24.97861671,24.67777824,24.18719101,24.89095497
4/20/2018,1:18:57 PM,513,14.324,24.52705765,25.02867889,24.72797394,24.21240234,25.01616478
4/20/2018,1:18:57 PM,783,14.594,24.50191689,24.96609688,24.7154274,24.19979858,24.916008
4/20/2018,1:18:58 PM,324,15.135,24.51448822,24.97861671,24.67777824,24.19979858,24.916008
4/20/2018,1:18:58 PM,594,15.405,24.40130234,25.02867889,24.64011765,24.18719101,24.92853355
4/20/2018,1:18:58 PM,864,15.675,24.51448822,25.02867889,24.70287895,24.23760796,24.97861671
4/20/2018,1:18:59 PM,135,15.946,24.6024437,25.07871819,24.85336494,24.30059433,25.02867889
4/20/2018,1:18:59 PM,405,16.216,24.52705765,25.0537014,24.7530632,24.2502079,25.02867889
4/20/2018,1:18:59 PM,945,16.756,24.56475639,25.07871819,24.77814674,24.30059433,25.00365067
4/20/2018,1:19:00 PM,216,17.027,24.5773201,25.09122467,24.77814674,24.28800011,25.04118919
4/20/2018,1:19:00 PM,486,17.297,24.53962517,25.09122467,24.7530632,24.28800011,25.00365067
4/20/2018,1:19:00 PM,756,17.567,24.55219078,25.01616478,24.7154274,24.23760796,25.00365067
4/20/2018,1:19:01 PM,26,17.837,24.5773201,25.12873459,24.82829857,24.31318855,25.02867889
4/20/2018,1:19:01 PM,297,18.108,24.5773201,25.10372925,24.79068756,24.32578087,25.01616478
4/20/2018,1:19:01 PM,567,18.378,24.5898819,25.12873459,24.82829857,24.33837128,25.06620979
