Plot 1 FLIR USB Video,,,,,,,,
,,,,,,,,
,,,,Sp1.Value,Sp2.Value,Sp3.Value,Sp4.Value,Sp5.Value
Emissivity,,,,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881
Distance,,,,1,1,1,1,1
Reflected temperature,,,,19.9999939,19.9999939,19.9999939,19.9999939,19.9999939
Location X,,,,36,282,283,166,34
Location Y,,,,115,58,113,116,58
Size X,,,,,,,,
Size Y,,,,,,,,
Surface (pixels),,,,,,,,
,,,,,,,,
Date,Time,Milliseconds,Relative time,Sp1.Value,Sp2.Value,Sp3.Value,Sp4.Value,Sp5.Value
4/20/2018,2:26:00 PM,486,987.027,30.70397377,31.03703308,30.04699707,30.77542305,30.3580246
4/20/2018,2:26:00 PM,756,987.297,30.68014717,31.00139427,29.98709106,30.77542305,30.36997223
4/20/2018,2:26:01 PM,26,987.567,30.63248062,30.9776268,29.91516113,30.73970413,30.34607697
4/20/2018,2:26:01 PM,297,987.838,30.59671974,30.85872459,29.90316772,30.72779465,30.2265377
4/20/2018,2:26:01 PM,567,988.108,30.52516174,30.78732681,29.84318733,30.59671974,30.11884689
4/20/2018,2:26:01 PM,837,988.378,30.5012989,30.77542305,29.80718422,30.57287216,30.14278603
4/20/2018,2:26:02 PM,378,988.919,30.47743225,30.73970413,29.74715424,30.584795,30.09490204
4/20/2018,2:26:02 PM,648,989.189,30.46549797,30.77542305,29.78317642,30.584795,30.16672134
4/20/2018,2:26:02 PM,918,989.459,30.44162369,30.75161171,29.77116966,30.54901886,30.13081741
4/20/2018,2:26:03 PM,189,989.73,30.44162369,30.77542305,29.69910812,30.57287216,30.13081741
4/20/2018,2:26:03 PM,459,990,30.44162369,30.79922867,29.74715424,30.54901886,30.16672134
4/20/2018,2:26:03 PM,729,990.27,30.46549797,30.76351738,29.79518127,30.56094551,30.13081741
4/20/2018,2:26:04 PM,270,990.811,30.48936653,30.79922867,29.84318733,30.60864067,30.20261383
4/20/2018,2:26:04 PM,540,991.081,30.45355988,30.81113052,29.78317642,30.6205616,30.13081741
4/20/2018,2:26:04 PM,810,991.351,30.5370903,30.85872459,29.81918716,30.70397377,30.20261383
4/20/2018,2:26:05 PM,80,991.621,30.42968369,30.73970413,29.7591629,30.57287216,30.10687447
4/20/2018,2:26:05 PM,351,991.892,30.41774368,30.76351738,29.77116966,30.54901886,30.11884689
4/20/2018,2:26:05 PM,621,992.162,30.46549797,30.71588516,29.7591629,30.56094551,30.13081741
4/20/2018,2:26:05 PM,891,992.432,30.45355988,30.70397377,29.71112061,30.5370903,30.15475464
4/20/2018,2:26:06 PM,432,992.973,30.5012989,30.75161171,29.74715424,30.51323128,30.19065094
4/20/2018,2:26:06 PM,702,993.243,30.41774368,30.71588516,29.73514366,30.46549797,30.10687447
4/20/2018,2:26:06 PM,972,993.513,30.5012989,30.82303238,29.84318733,30.52516174,30.19065094
4/20/2018,2:26:07 PM,243,993.784,30.60864067,30.89440918,29.879179,30.56094551,30.25045395
4/20/2018,2:26:07 PM,513,994.054,30.56094551,30.88251495,29.85518646,30.584795,30.19065094
4/20/2018,2:26:07 PM,783,994.324,30.54901886,30.89440918,29.90316772,30.584795,30.19065094
4/20/2018,2:26:08 PM,53,994.594,30.5370903,30.87062073,29.879179,30.59671974,30.21457672
4/20/2018,2:26:08 PM,594,995.135,30.5012989,30.84682846,29.80718422,30.63248062,30.19065094
4/20/2018,2:26:08 PM,864,995.405,30.41774368,30.79922867,29.84318733,30.56094551,30.14278603
4/20/2018,2:26:09 PM,134,995.675,30.42968369,30.70397377,29.81918716,30.5370903,30.10687447
4/20/2018,2:26:09 PM,405,995.946,30.44162369,30.81113052,29.79518127,30.54901886,30.15475464
4/20/2018,2:26:09 PM,675,996.216,30.5012989,30.87062073,29.86718369,30.6205616,30.25045395
4/20/2018,2:26:09 PM,945,996.486,30.47743225,30.84682846,29.84318733,30.60864067,30.2265377
4/20/2018,2:26:10 PM,216,996.757,30.51323128,30.88251495,29.91516113,30.6205616,30.2265377
4/20/2018,2:26:10 PM,756,997.297,30.51323128,30.83493042,29.85518646,30.5370903,30.26241112
4/20/2018,2:26:11 PM,26,997.567,30.54901886,30.88251495,29.91516113,30.584795,30.2982769
4/20/2018,2:26:11 PM,297,997.838,30.48936653,30.89440918,29.85518646,30.584795,30.27436829
4/20/2018,2:26:11 PM,567,998.108,30.44162369,30.77542305,29.78317642,30.51323128,30.20261383
4/20/2018,2:26:11 PM,837,998.378,30.45355988,30.71588516,29.78317642,30.5370903,30.17868614
4/20/2018,2:26:12 PM,107,998.648,30.47743225,30.79922867,29.79518127,30.54901886,30.17868614
4/20/2018,2:26:12 PM,648,999.189,30.51323128,30.81113052,29.80718422,30.584795,30.19065094
4/20/2018,2:26:12 PM,918,999.459,30.56094551,30.87062073,29.89117432,30.59671974,30.26241112
4/20/2018,2:26:13 PM,189,999.73,30.47743225,30.81113052,29.80718422,30.59671974,30.25045395
4/20/2018,2:26:13 PM,459,1000,30.46549797,30.82303238,29.8311882,30.64439964,30.20261383
4/20/2018,2:26:13 PM,729,1000.27,30.45355988,30.75161171,29.78317642,30.59671974,30.13081741
4/20/2018,2:26:13 PM,999,1000.54,30.52516174,30.78732681,29.80718422,30.63248062,30.21457672
4/20/2018,2:26:14 PM,270,1000.811,30.42968369,30.75161171,29.77116966,30.5370903,30.21457672
4/20/2018,2:26:14 PM,810,1001.351,30.46549797,30.76351738,29.77116966,30.5012989,30.25045395
4/20/2018,2:26:15 PM,80,1001.621,30.51323128,30.85872459,29.8311882,30.51323128,30.27436829
4/20/2018,2:26:15 PM,351,1001.892,30.5370903,30.87062073,29.879179,30.5012989,30.31022835
4/20/2018,2:26:15 PM,621,1002.162,30.52516174,30.84682846,29.79518127,30.60864067,30.26241112
4/20/2018,2:26:15 PM,891,1002.432,30.45355988,30.81113052,29.78317642,30.5370903,30.2265377
4/20/2018,2:26:16 PM,161,1002.702,30.42968369,30.81113052,29.80718422,30.51323128,30.21457672
4/20/2018,2:26:16 PM,702,1003.243,30.41774368,30.72779465,29.73514366,30.47743225,30.21457672
4/20/2018,2:26:16 PM,972,1003.513,30.38191605,30.68014717,29.63902283,30.46549797,30.09490204
4/20/2018,2:26:17 PM,243,1003.784,30.42968369,30.75161171,29.79518127,30.51323128,30.13081741
4/20/2018,2:26:17 PM,513,1004.054,30.40580177,30.70397377,29.67507744,30.5012989,30.10687447
4/20/2018,2:26:17 PM,783,1004.324,30.38191605,30.66823387,29.68709373,30.42968369,30.13081741
4/20/2018,2:26:18 PM,53,1004.594,30.45355988,30.68014717,29.71112061,30.51323128,30.11884689
4/20/2018,2:26:18 PM,594,1005.135,30.39385986,30.70397377,29.60295677,30.46549797,30.11884689
4/20/2018,2:26:18 PM,864,1005.405,30.3580246,30.68014717,29.65104103,30.45355988,30.09490204
4/20/2018,2:26:19 PM,134,1005.675,30.39385986,30.72779465,29.66305923,30.47743225,30.09490204
