Plot 1 FLIR USB Video,,,,,,,,
,,,,,,,,
,,,,Sp1.Value,Sp2.Value,Sp3.Value,Sp4.Value,Sp5.Value
Emissivity,,,,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881
Distance,,,,1,1,1,1,1
Reflected temperature,,,,19.9999939,19.9999939,19.9999939,19.9999939,19.9999939
Location X,,,,36,282,283,166,34
Location Y,,,,115,58,113,116,58
Size X,,,,,,,,
Size Y,,,,,,,,
Surface (pixels),,,,,,,,
,,,,,,,,
Date,Time,Milliseconds,Relative time,Sp1.Value,Sp2.Value,Sp3.Value,Sp4.Value,Sp5.Value
4/20/2018,11:03:36 AM,162,0,23.64378357,24.14936447,23.90950012,24.86589622,23.75774002
4/20/2018,11:03:36 AM,432,0.27,23.60577202,24.03580856,23.88422012,24.85336494,23.66911697
4/20/2018,11:03:36 AM,702,0.54,23.63111496,24.19979858,23.92213631,24.916008,23.75774002
4/20/2018,11:03:36 AM,972,0.81,23.65645027,24.2250061,23.89686012,24.9410553,23.79569817
4/20/2018,11:03:37 AM,243,1.081,23.68178177,24.19979858,23.92213631,24.97861671,23.79569817
4/20/2018,11:03:37 AM,783,1.621,23.74508286,24.2502079,23.99793053,24.97861671,23.82099724
4/20/2018,11:03:38 AM,54,1.892,23.73242569,24.23760796,23.98530197,25.00365067,23.79569817
4/20/2018,11:03:38 AM,324,2.162,23.71976662,24.26280594,23.97267151,25.00365067,23.80834961
4/20/2018,11:03:38 AM,594,2.432,23.68178177,24.21240234,23.96004105,24.97861671,23.75774002
4/20/2018,11:03:38 AM,864,2.702,23.70710564,24.26280594,24.01055908,25.00365067,23.82099724
4/20/2018,11:03:39 AM,135,2.973,23.68178177,24.23760796,23.94740677,24.9410553,23.77039337
4/20/2018,11:03:39 AM,675,3.513,23.75774002,24.31318855,23.98530197,25.00365067,23.87157822
4/20/2018,11:03:39 AM,945,3.783,23.79569817,24.26280594,23.99793053,24.95357704,23.94740677
4/20/2018,11:03:40 AM,216,4.054,23.79569817,24.30059433,24.01055908,24.97861671,23.89686012
4/20/2018,11:03:40 AM,486,4.324,23.71976662,24.26280594,23.97267151,25.01616478,23.83364487
4/20/2018,11:03:40 AM,756,4.594,23.70710564,24.23760796,23.97267151,24.97861671,23.84629059
4/20/2018,11:03:41 AM,27,4.865,23.74508286,24.28800011,24.02318382,25.01616478,23.90950012
4/20/2018,11:03:41 AM,567,5.405,23.65645027,24.11152649,23.83364487,24.89095497,23.80834961
4/20/2018,11:03:41 AM,837,5.675,23.58042336,24.06105423,23.82099724,24.84083176,23.70710564
4/20/2018,11:03:42 AM,108,5.946,23.63111496,24.0484314,23.82099724,24.87842751,23.70710564
4/20/2018,11:03:42 AM,378,6.216,23.68178177,24.16197586,23.88422012,24.90348244,23.77039337
4/20/2018,11:03:42 AM,648,6.486,23.65645027,24.06105423,23.84629059,24.87842751,23.75774002
4/20/2018,11:03:42 AM,918,6.756,23.66911697,24.03580856,23.87157822,24.86589622,23.75774002
4/20/2018,11:03:43 AM,189,7.027,23.71976662,24.11152649,23.88422012,24.85336494,23.75774002
4/20/2018,11:03:43 AM,729,7.567,23.65645027,24.16197586,23.84629059,24.86589622,23.79569817
4/20/2018,11:03:43 AM,999,7.837,23.66911697,24.13675308,23.85893631,24.89095497,23.78304672
4/20/2018,11:03:44 AM,270,8.108,23.68178177,24.13675308,23.85893631,24.89095497,23.79569817
4/20/2018,11:03:44 AM,540,8.378,23.65645027,24.06105423,23.83364487,24.84083176,23.75774002
4/20/2018,11:03:44 AM,810,8.648,23.60577202,24.11152649,23.83364487,24.85336494,23.77039337
4/20/2018,11:03:45 AM,81,8.919,23.66911697,24.09890938,23.83364487,24.85336494,23.75774002
4/20/2018,11:03:45 AM,621,9.459,23.63111496,24.08629227,23.82099724,24.86589622,23.69444466
4/20/2018,11:03:45 AM,891,9.729,23.60577202,24.08629227,23.85893631,24.87842751,23.73242569
4/20/2018,11:03:46 AM,162,10,23.63111496,24.17458534,23.90950012,24.87842751,23.73242569
4/20/2018,11:03:46 AM,432,10.27,23.75774002,24.16197586,23.97267151,24.92853355,23.82099724
4/20/2018,11:03:46 AM,702,10.54,23.88422012,24.27540398,24.0484314,25.00365067,23.90950012
4/20/2018,11:03:46 AM,972,10.81,23.84629059,24.31318855,24.13675308,25.02867889,23.94740677
4/20/2018,11:03:47 AM,513,11.351,23.83364487,24.27540398,24.06105423,25.00365067,23.90950012
4/20/2018,11:03:47 AM,783,11.621,23.80834961,24.26280594,24.0484314,24.9410553,23.87157822
4/20/2018,11:03:48 AM,54,11.892,23.77039337,24.28800011,24.01055908,24.95357704,23.90950012
4/20/2018,11:03:48 AM,324,12.162,23.80834961,24.30059433,24.06105423,25.02867889,23.93477249
4/20/2018,11:03:48 AM,594,12.432,23.84629059,24.2502079,24.07367325,25.04118919,23.90950012
4/20/2018,11:03:48 AM,864,12.702,23.82099724,24.23760796,24.01055908,25.00365067,23.88422012
4/20/2018,11:03:49 AM,135,12.973,23.85893631,24.30059433,24.0484314,25.0537014,23.93477249
4/20/2018,11:03:49 AM,675,13.513,23.82099724,24.35095978,24.06105423,25.06620979,23.94740677
4/20/2018,11:03:49 AM,945,13.783,23.79569817,24.28800011,24.03580856,25.04118919,23.92213631
4/20/2018,11:03:50 AM,216,14.054,23.80834961,24.23760796,23.99793053,25.0537014,23.87157822
4/20/2018,11:03:50 AM,486,14.324,23.75774002,24.23760796,23.97267151,25.02867889,23.83364487
4/20/2018,11:03:50 AM,756,14.594,23.80834961,24.23760796,23.99793053,25.02867889,23.84629059
4/20/2018,11:03:51 AM,27,14.865,23.71976662,24.19979858,23.92213631,24.97861671,23.83364487
4/20/2018,11:03:51 AM,567,15.405,23.69444466,24.18719101,23.94740677,24.92853355,23.82099724
4/20/2018,11:03:51 AM,837,15.675,23.77039337,24.2250061,23.97267151,25.00365067,23.87157822
4/20/2018,11:03:52 AM,108,15.946,23.69444466,24.08629227,23.88422012,24.89095497,23.68178177
4/20/2018,11:03:52 AM,378,16.216,23.71976662,24.2250061,24.0484314,25.04118919,23.83364487
4/20/2018,11:03:52 AM,648,16.486,23.71976662,24.2250061,24.01055908,24.99113464,23.79569817
4/20/2018,11:03:52 AM,918,16.756,23.68178177,24.23760796,23.98530197,24.97861671,23.84629059
4/20/2018,11:03:53 AM,189,17.027,23.74508286,24.2502079,23.98530197,24.99113464,23.83364487
4/20/2018,11:03:53 AM,459,17.297,23.73242569,24.2502079,24.02318382,25.04118919,23.82099724
4/20/2018,11:03:53 AM,729,17.567,23.75774002,24.28800011,24.01055908,25.01616478,23.92213631
4/20/2018,11:03:54 AM,270,18.108,23.74508286,24.2250061,23.99793053,24.99113464,23.80834961
4/20/2018,11:03:54 AM,540,18.378,23.78304672,24.2250061,24.0484314,25.01616478,23.83364487
4/20/2018,11:03:54 AM,810,18.648,23.80834961,24.2502079,24.0484314,25.04118919,23.83364487
