Plot 2 FLIR USB Video,,,,,,,,,
,,,,,,,,,
,,,,Sp1.Value,Sp2.Value,Sp3.Value,Sp4.Value,Sp5.Value,Sp6.Value
Emissivity,,,,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881
Distance,,,,1,1,1,1,1,1
Reflected temperature,,,,19.9999939,19.9999939,19.9999939,19.9999939,19.9999939,19.9999939
Location X,,,,32,284,285,165,29,114
Location Y,,,,117,60,115,118,58,118
Size X,,,,,,,,,
Size Y,,,,,,,,,
Surface (pixels),,,,,,,,,
,,,,,,,,,
Date,Time,Milliseconds,Relative time,Sp1.Value,Sp2.Value,Sp3.Value,Sp4.Value,Sp5.Value,Sp6.Value
4/20/2018,4:12:47 PM,81,0,26.17401505,26.70540047,26.49561501,27.5039978,26.2359314,25.87634659
4/20/2018,4:12:47 PM,351,0.27,26.12445831,26.71772957,26.49561501,27.44276428,26.19878578,25.83908272
4/20/2018,4:12:47 PM,621,0.54,26.12445831,26.70540047,26.47090721,27.40600777,26.14923859,25.82665825
4/20/2018,4:12:48 PM,162,1.081,26.06248093,26.65607452,26.47090721,27.40600777,26.12445831,25.81423378
4/20/2018,4:12:48 PM,432,1.351,26.06248093,26.60672569,26.42148018,27.41826248,26.11206627,25.8018074
4/20/2018,4:12:48 PM,702,1.621,26.06248093,26.63140297,26.38439369,27.36924171,26.11206627,25.77694893
4/20/2018,4:12:48 PM,972,1.891,26.07487869,26.66840744,26.40911865,27.43051338,26.11206627,25.8018074
4/20/2018,4:12:49 PM,243,2.162,26.06248093,26.63140297,26.38439369,27.40600777,26.08727646,25.78937912
4/20/2018,4:12:49 PM,513,2.432,26.07487869,26.69307137,26.47090721,27.43051338,26.11206627,25.81423378
4/20/2018,4:12:49 PM,783,2.702,26.09967041,26.66840744,26.4461956,27.40600777,26.11206627,25.8018074
4/20/2018,4:12:50 PM,54,2.973,26.13685036,26.74238205,26.48326111,27.39375305,26.2111702,25.82665825
4/20/2018,4:12:50 PM,594,3.513,26.13685036,26.68074036,26.43383789,27.40600777,26.2111702,25.78937912
4/20/2018,4:12:50 PM,864,3.783,26.07487869,26.71772957,26.45855331,27.38149834,26.12445831,25.81423378
4/20/2018,4:12:51 PM,135,4.054,26.06248093,26.61906433,26.40911865,27.34472275,26.09967041,25.76451874
4/20/2018,4:12:51 PM,405,4.324,26.02527809,26.59438515,26.40911865,27.32019997,26.05008125,25.75208664
4/20/2018,4:12:51 PM,675,4.594,26.07487869,26.69307137,26.43383789,27.35698318,26.09967041,25.72721863
4/20/2018,4:12:52 PM,216,5.135,26.03767967,26.61906433,26.38439369,27.34472275,26.07487869,25.72721863
4/20/2018,4:12:52 PM,486,5.405,26.05008125,26.61906433,26.35966301,27.32019997,26.13685036,25.71478271
4/20/2018,4:12:52 PM,756,5.675,26.11206627,26.66840744,26.39675713,27.40600777,26.18640137,25.77694893
4/20/2018,4:12:53 PM,27,5.946,26.09967041,26.66840744,26.43383789,27.34472275,26.17401505,25.73965263
4/20/2018,4:12:53 PM,297,6.216,26.08727646,26.70540047,26.39675713,27.36924171,26.17401505,25.77694893
4/20/2018,4:12:53 PM,567,6.486,26.11206627,26.68074036,26.48326111,27.41826248,26.14923859,25.76451874
4/20/2018,4:12:53 PM,837,6.756,26.08727646,26.63140297,26.43383789,27.36924171,26.14923859,25.77694893
4/20/2018,4:12:54 PM,108,7.027,26.00046921,26.55735588,26.33492851,27.34472275,26.07487869,25.72721863
4/20/2018,4:12:54 PM,648,7.567,26.02527809,26.59438515,26.32255936,27.36924171,26.12445831,25.73965263
4/20/2018,4:12:54 PM,918,7.837,26.0128746,26.59438515,26.31018639,27.33246231,26.07487869,25.73965263
4/20/2018,4:12:55 PM,189,8.108,26.06248093,26.60672569,26.42148018,27.38149834,26.08727646,25.77694893
4/20/2018,4:12:55 PM,459,8.378,25.9632473,26.64373779,26.38439369,27.30793571,26.07487869,25.72721863
4/20/2018,4:12:55 PM,729,8.648,25.98806381,26.63140297,26.40911865,27.35698318,26.0128746,25.72721863
4/20/2018,4:12:55 PM,999,8.918,26.0128746,26.64373779,26.42148018,27.38149834,26.05008125,25.73965263
4/20/2018,4:12:56 PM,270,9.189,26.06248093,26.70540047,26.39675713,27.41826248,26.17401505,25.77694893
4/20/2018,4:12:56 PM,810,9.729,26.07487869,26.69307137,26.43383789,27.38149834,26.17401505,25.78937912
4/20/2018,4:12:57 PM,81,10,26.07487869,26.66840744,26.42148018,27.36924171,26.16162872,25.77694893
4/20/2018,4:12:57 PM,351,10.27,26.07487869,26.65607452,26.4461956,27.38149834,26.12445831,25.78937912
4/20/2018,4:12:57 PM,621,10.54,26.11206627,26.70540047,26.4461956,27.45501328,26.2111702,25.82665825
4/20/2018,4:12:57 PM,891,10.81,26.06248093,26.65607452,26.40911865,27.36924171,26.07487869,25.75208664
4/20/2018,4:12:58 PM,162,11.081,26.08727646,26.68074036,26.45855331,27.40600777,26.13685036,25.78937912
4/20/2018,4:12:58 PM,432,11.351,26.03767967,26.63140297,26.38439369,27.35698318,26.09967041,25.78937912
4/20/2018,4:12:58 PM,702,11.621,26.05008125,26.61906433,26.37203026,27.35698318,26.11206627,25.76451874
4/20/2018,4:12:59 PM,243,12.162,26.03767967,26.68074036,26.40911865,27.39375305,26.11206627,25.82665825
4/20/2018,4:12:59 PM,513,12.432,26.0128746,26.69307137,26.40911865,27.39375305,26.12445831,25.76451874
