Plot 2 FLIR USB Video,,,,,,,,,
,,,,,,,,,
,,,,Sp1.Value,Sp2.Value,Sp3.Value,Sp4.Value,Sp5.Value,Sp6.Value
Emissivity,,,,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881
Distance,,,,1,1,1,1,1,1
Reflected temperature,,,,19.9999939,19.9999939,19.9999939,19.9999939,19.9999939,19.9999939
Location X,,,,32,284,285,165,29,114
Location Y,,,,117,60,115,118,58,118
Size X,,,,,,,,,
Size Y,,,,,,,,,
Surface (pixels),,,,,,,,,
,,,,,,,,,
Date,Time,Milliseconds,Relative time,Sp1.Value,Sp2.Value,Sp3.Value,Sp4.Value,Sp5.Value,Sp6.Value
4/20/2018,5:05:54 PM,918,0,25.51561737,25.50315857,25.24119186,26.02527809,25.09122467,24.4516201
4/20/2018,5:05:55 PM,189,0.271,25.49069786,25.51561737,25.2911377,26.03767967,25.09122467,24.47677231
4/20/2018,5:05:55 PM,459,0.541,25.4533062,25.42837334,25.19122505,26.05008125,25.02867889,24.43904305
4/20/2018,5:05:55 PM,999,1.081,25.46577072,25.46577072,25.19122505,26.0128746,25.09122467,24.40130234
4/20/2018,5:05:56 PM,270,1.352,25.51561737,25.47823524,25.2911377,26.06248093,25.09122467,24.4516201
4/20/2018,5:05:56 PM,540,1.622,25.41590309,25.44083977,25.25368118,26.0128746,25.0537014,24.40130234
4/20/2018,5:05:56 PM,810,1.892,25.51561737,25.51561737,25.27865219,26.06248093,25.15373421,24.47677231
4/20/2018,5:05:57 PM,81,2.163,25.49069786,25.47823524,25.25368118,26.03767967,25.16623306,24.46419716
4/20/2018,5:05:57 PM,351,2.433,25.57789421,25.46577072,25.20371819,26.07487869,25.19122505,24.42646408
4/20/2018,5:05:57 PM,621,2.703,25.57789421,25.51561737,25.25368118,26.11206627,25.17873001,24.51448822
4/20/2018,5:05:57 PM,891,2.973,25.47823524,25.47823524,25.24119186,26.03767967,25.11623192,24.43904305
4/20/2018,5:05:58 PM,432,3.514,25.47823524,25.52807617,25.24119186,26.05008125,25.12873459,24.41388321
4/20/2018,5:05:58 PM,702,3.784,25.51561737,25.47823524,25.22870255,26.03767967,25.11623192,24.42646408
4/20/2018,5:05:58 PM,972,4.054,25.44083977,25.44083977,25.24119186,26.03767967,25.07871819,24.37613297
4/20/2018,5:05:59 PM,243,4.325,25.4533062,25.42837334,25.15373421,26.02527809,25.02867889,24.35095978
4/20/2018,5:05:59 PM,513,4.595,25.36601257,25.41590309,25.09122467,25.95083618,25.01616478,24.31318855
4/20/2018,5:05:59 PM,783,4.865,25.35353661,25.37848854,25.12873459,25.95083618,25.00365067,24.31318855
4/20/2018,5:06:00 PM,53,5.135,25.41590309,25.44083977,25.19122505,25.97565651,25.06620979,24.33837128
4/20/2018,5:06:00 PM,324,5.406,25.37848854,25.36601257,25.10372925,25.92601204,24.95357704,24.27540398
4/20/2018,5:06:00 PM,594,5.676,25.31610107,25.4533062,25.16623306,25.95083618,25.00365067,24.32578087
4/20/2018,5:06:01 PM,135,6.217,25.34106064,25.34106064,25.10372925,25.9632473,24.96609688,24.31318855
4/20/2018,5:06:01 PM,405,6.487,25.30361938,25.42837334,25.11623192,25.93842506,24.99113464,24.32578087
4/20/2018,5:06:01 PM,675,6.757,25.32858086,25.39096069,25.14123535,25.9632473,24.96609688,24.37613297
4/20/2018,5:06:01 PM,945,7.027,25.27865219,25.32858086,25.06620979,25.92601204,24.92853355,24.32578087
4/20/2018,5:06:02 PM,216,7.298,25.26616669,25.26616669,25.02867889,25.88876534,24.90348244,24.2502079
4/20/2018,5:06:02 PM,486,7.568,25.24119186,25.27865219,25.0537014,25.87634659,24.87842751,24.2502079
4/20/2018,5:06:02 PM,756,7.838,25.26616669,25.39096069,25.06620979,25.90118217,24.9410553,24.26280594
4/20/2018,5:06:03 PM,26,8.108,25.30361938,25.31610107,25.10372925,25.90118217,24.92853355,24.28800011
4/20/2018,5:06:03 PM,567,8.649,25.17873001,25.27865219,25.02867889,25.87634659,24.89095497,24.2250061
4/20/2018,5:06:03 PM,837,8.919,25.19122505,25.27865219,24.99113464,25.85150528,24.916008,24.19979858
4/20/2018,5:06:04 PM,108,9.19,25.22870255,25.32858086,25.06620979,25.86392593,24.916008,24.28800011
4/20/2018,5:06:04 PM,378,9.46,25.21621132,25.24119186,25.00365067,25.85150528,24.89095497,24.26280594
4/20/2018,5:06:04 PM,648,9.73,25.26616669,25.26616669,25.07871819,25.87634659,24.90348244,24.2250061
4/20/2018,5:06:04 PM,918,10,25.30361938,25.41590309,25.10372925,25.90118217,25.00365067,24.27540398
4/20/2018,5:06:05 PM,189,10.271,25.22870255,25.36601257,25.11623192,25.93842506,24.97861671,24.28800011
4/20/2018,5:06:05 PM,459,10.541,25.16623306,25.27865219,25.0537014,25.90118217,24.90348244,24.2250061
4/20/2018,5:06:05 PM,999,11.081,25.15373421,25.34106064,25.04118919,25.87634659,24.97861671,24.23760796
4/20/2018,5:06:06 PM,270,11.352,25.17873001,25.32858086,25.09122467,25.91359711,24.92853355,24.28800011
4/20/2018,5:06:06 PM,540,11.622,25.12873459,25.27865219,24.97861671,25.86392593,24.87842751,24.19979858
4/20/2018,5:06:06 PM,810,11.892,25.16623306,25.25368118,25.02867889,25.88876534,24.87842751,24.21240234
4/20/2018,5:06:07 PM,81,12.163,25.14123535,25.30361938,25.07871819,25.91359711,24.916008,24.21240234
