Plot 1 FLIR USB Video,,,,,,,,,
,,,,,,,,,
,,,,Sp1.Value,Sp2.Value,Sp3.Value,Sp4.Value,Sp5.Value,Sp6.Value
Emissivity,,,,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881
Distance,,,,1,1,1,1,1,1
Reflected temperature,,,,19.9999939,19.9999939,19.9999939,19.9999939,19.9999939,19.9999939
Location X,,,,31,283,283,166,30,121
Location Y,,,,119,63,118,116,64,118
Size X,,,,,,,,,
Size Y,,,,,,,,,
Surface (pixels),,,,,,,,,
,,,,,,,,,
Date,Time,Milliseconds,Relative time,Sp1.Value,Sp2.Value,Sp3.Value,Sp4.Value,Sp5.Value,Sp6.Value
4/23/2018,11:35:47 AM,266,0,28.40647316,25.2911377,25.14123535,25.59034538,27.2834034,24.64011765
4/23/2018,11:35:47 AM,400,0.134,28.34571648,25.31610107,25.14123535,25.52807617,27.30793571,24.61500359
4/23/2018,11:35:47 AM,466,0.2,28.33356094,25.30361938,25.14123535,25.51561737,27.27113724,24.62756157
4/23/2018,11:35:47 AM,599,0.333,28.3214035,25.2911377,25.12873459,25.50315857,27.24659729,24.62756157
4/23/2018,11:35:47 AM,733,0.467,28.28492737,25.34106064,25.10372925,25.52807617,27.29566956,24.62756157
4/23/2018,11:35:47 AM,800,0.534,28.3214035,25.34106064,25.12873459,25.54053307,27.25886726,24.65267181
4/23/2018,11:35:47 AM,933,0.667,28.33356094,25.34106064,25.15373421,25.56544113,27.2834034,24.69033051
4/23/2018,11:35:48 AM,66,0.8,28.3578701,25.39096069,25.22870255,25.61524391,27.30793571,24.70287895
4/23/2018,11:35:48 AM,133,0.867,28.34571648,25.41590309,25.22870255,25.60279465,27.27113724,24.7154274
4/23/2018,11:35:48 AM,266,1,28.29708862,25.37848854,25.17873001,25.55298805,27.25886726,24.65267181
4/23/2018,11:35:48 AM,400,1.134,28.30924606,25.32858086,25.24119186,25.55298805,27.25886726,24.64011765
4/23/2018,11:35:48 AM,466,1.2,28.29708862,25.40343285,25.25368118,25.56544113,27.24659729,24.65267181
4/23/2018,11:35:48 AM,599,1.333,28.28492737,25.42837334,25.21621132,25.56544113,27.27113724,24.65267181
4/23/2018,11:35:48 AM,733,1.467,28.3214035,25.41590309,25.21621132,25.56544113,27.2834034,24.70287895
4/23/2018,11:35:48 AM,866,1.6,28.29708862,25.42837334,25.24119186,25.56544113,27.2834034,24.69033051
4/23/2018,11:35:48 AM,933,1.667,28.28492737,25.40343285,25.25368118,25.55298805,27.25886726,24.70287895
4/23/2018,11:35:49 AM,66,1.8,28.29708862,25.46577072,25.26616669,25.56544113,27.33246231,24.70287895
4/23/2018,11:35:49 AM,133,1.867,28.34571648,25.49069786,25.31610107,25.59034538,27.34472275,24.7530632
4/23/2018,11:35:49 AM,266,2,28.38217354,25.52807617,25.32858086,25.61524391,27.40600777,24.76560593
4/23/2018,11:35:49 AM,400,2.134,28.34571648,25.52807617,25.32858086,25.62769127,27.34472275,24.74052048
4/23/2018,11:35:49 AM,533,2.267,28.34571648,25.54053307,25.31610107,25.64013672,27.34472275,24.76560593
4/23/2018,11:35:49 AM,599,2.333,28.33356094,25.54053307,25.27865219,25.61524391,27.33246231,24.7154274
4/23/2018,11:35:49 AM,733,2.467,28.3214035,25.55298805,25.36601257,25.65258026,27.2834034,24.74052048
4/23/2018,11:35:49 AM,866,2.6,28.30924606,25.54053307,25.37848854,25.65258026,27.29566956,24.7530632
4/23/2018,11:35:49 AM,933,2.667,28.28492737,25.52807617,25.34106064,25.65258026,27.29566956,24.7530632
4/23/2018,11:35:50 AM,66,2.8,28.26060295,25.59034538,25.36601257,25.67746544,27.34472275,24.7530632
4/23/2018,11:35:50 AM,200,2.934,28.28492737,25.57789421,25.31610107,25.67746544,27.33246231,24.76560593
4/23/2018,11:35:50 AM,266,3,28.28492737,25.55298805,25.36601257,25.6650238,27.30793571,24.7530632
4/23/2018,11:35:50 AM,400,3.134,28.33356094,25.56544113,25.37848854,25.70234489,27.33246231,24.80322647
4/23/2018,11:35:50 AM,533,3.267,28.22410774,25.4533062,25.24119186,25.61524391,27.25886726,24.69033051
4/23/2018,11:35:50 AM,666,3.4,28.19976997,25.41590309,25.26616669,25.59034538,27.22205353,24.67777824
4/23/2018,11:35:50 AM,733,3.467,28.16325569,25.44083977,25.24119186,25.59034538,27.19750214,24.66522598
4/23/2018,11:35:50 AM,866,3.6,28.19976997,25.4533062,25.25368118,25.57789421,27.22205353,24.69033051
4/23/2018,11:35:50 AM,933,3.667,28.12672806,25.44083977,25.21621132,25.57789421,27.19750214,24.67777824
4/23/2018,11:35:51 AM,66,3.8,28.12672806,25.39096069,25.17873001,25.57789421,27.16066933,24.65267181
4/23/2018,11:35:51 AM,133,3.867,28.11454964,25.37848854,25.19122505,25.59034538,27.17294884,24.66522598
4/23/2018,11:35:51 AM,333,4.067,28.11454964,25.37848854,25.16623306,25.55298805,27.22205353,24.64011765
4/23/2018,11:35:51 AM,400,4.134,28.11454964,25.40343285,25.17873001,25.61524391,27.22205353,24.70287895
4/23/2018,11:35:51 AM,533,4.267,28.17542839,25.4533062,25.24119186,25.61524391,27.27113724,24.7154274
4/23/2018,11:35:51 AM,599,4.333,28.11454964,25.4533062,25.22870255,25.61524391,27.25886726,24.7154274
4/23/2018,11:35:51 AM,733,4.467,28.12672806,25.47823524,25.25368118,25.62769127,27.24659729,24.74052048
