Plot 1 FLIR USB Video,,,,,,,,,
,,,,,,,,,
,,,,Sp1.Value,Sp2.Value,Sp3.Value,Sp4.Value,Sp5.Value,Sp6.Value
Emissivity,,,,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881
Distance,,,,1,1,1,1,1,1
Reflected temperature,,,,19.9999939,19.9999939,19.9999939,19.9999939,19.9999939,19.9999939
Location X,,,,33,287,287,166,32,123
Location Y,,,,110,60,116,119,60,120
Size X,,,,,,,,,
Size Y,,,,,,,,,
Surface (pixels),,,,,,,,,
,,,,,,,,,
Date,Time,Milliseconds,Relative time,Sp1.Value,Sp2.Value,Sp3.Value,Sp4.Value,Sp5.Value,Sp6.Value
4/23/2018,4:38:55 PM,459,0,41.46933365,36.39174271,36.09592819,36.20978546,37.84908295,34.99748611
4/23/2018,4:38:55 PM,729,0.27,41.39290237,36.39174271,36.09592819,36.20978546,37.80414963,34.98599243
4/23/2018,4:38:55 PM,999,0.54,41.44750214,36.49397278,36.18702316,36.2894249,37.89400101,35.06642914
4/23/2018,4:38:56 PM,540,1.081,41.41474533,36.40310287,36.17564011,36.26667404,37.88277435,35.02047348
4/23/2018,4:38:56 PM,810,1.351,41.45841599,36.45990372,36.17564011,36.2894249,37.88277435,35.07791519
4/23/2018,4:38:57 PM,81,1.622,41.4802475,36.51668167,36.24392319,36.30079651,37.90522766,35.08940125
4/23/2018,4:38:57 PM,351,1.892,41.43658447,36.44854736,36.16425323,36.24392319,37.86031723,35.02047348
4/23/2018,4:38:57 PM,621,2.162,41.45841599,36.48262024,36.19840622,36.30079651,37.89400101,35.10088348
4/23/2018,4:38:57 PM,891,2.432,41.51298904,36.55073166,36.23254395,36.33490753,37.89400101,35.11236954
4/23/2018,4:38:58 PM,162,2.703,41.49116135,36.53938293,36.25529861,36.31216812,37.88277435,35.12385178
4/23/2018,4:38:58 PM,702,3.243,41.5020752,36.49397278,36.17564011,36.32353973,37.84908295,35.10088348
4/23/2018,4:38:58 PM,972,3.513,41.46933365,36.51668167,36.19840622,36.36901093,37.89400101,35.12385178
4/23/2018,4:38:59 PM,243,3.784,41.49116135,36.5280304,36.24392319,36.35764313,37.87154388,35.15829086
4/23/2018,4:38:59 PM,513,4.054,41.49116135,36.59612274,36.25529861,36.35764313,37.88277435,35.14681244
4/23/2018,4:38:59 PM,783,4.324,41.42566681,36.56208038,36.2211647,36.32353973,37.81538773,35.16976929
4/23/2018,4:39:00 PM,54,4.595,41.46933365,36.55073166,36.24392319,36.33490753,37.88277435,35.10088348
4/23/2018,4:39:00 PM,324,4.865,41.36013412,36.40310287,36.09592819,36.2211647,37.69174576,34.98599243
4/23/2018,4:39:00 PM,594,5.135,41.32735443,36.35764313,36.0617485,36.20978546,37.70299149,34.97449875
4/23/2018,4:39:01 PM,135,5.676,41.31642914,36.34627914,36.0389595,36.20978546,37.72547913,34.96300125
4/23/2018,4:39:01 PM,405,5.946,41.42566681,36.45990372,36.09592819,36.25529861,37.80414963,35.06642914
4/23/2018,4:39:01 PM,675,6.216,41.43658447,36.49397278,36.11870575,36.27804947,37.80414963,35.08940125
4/23/2018,4:39:01 PM,945,6.486,41.43658447,36.45990372,36.15287018,36.32353973,37.78167725,35.08940125
4/23/2018,4:39:02 PM,216,6.757,41.42566681,36.49397278,36.19840622,36.30079651,37.82661819,35.05493927
4/23/2018,4:39:02 PM,486,7.027,41.36013412,36.42582703,36.13009644,36.25529861,37.77043915,35.0089798
4/23/2018,4:39:02 PM,756,7.297,41.36013412,36.45990372,36.10731888,36.25529861,37.74796295,35.03196335
4/23/2018,4:39:03 PM,297,7.838,41.03197861,36.40310287,35.98196411,36.2894249,37.51168823,35.04345322
4/23/2018,4:39:03 PM,567,8.108,40.87855148,36.41446686,35.93634796,36.2894249,37.41028976,35.05493927
4/23/2018,4:39:03 PM,837,8.378,40.9114418,36.39174271,35.91353607,36.30079651,37.42156219,35.02047348
4/23/2018,4:39:04 PM,108,8.649,40.94432831,36.42582703,36.00476456,36.27804947,37.53421021,35.03196335
4/23/2018,4:39:04 PM,378,8.919,40.99911499,36.42582703,36.050354,36.2894249,37.78167725,35.0089798
4/23/2018,4:39:04 PM,918,9.459,40.41716003,36.45990372,35.84506607,36.27804947,37.92768097,34.98599243
4/23/2018,4:39:05 PM,189,9.73,40.20788956,36.41446686,35.63943863,36.26667404,37.81538773,34.97449875
4/23/2018,4:39:05 PM,459,10,40.15275955,36.41446686,35.67373276,36.35764313,37.83785248,35.05493927
4/23/2018,4:39:05 PM,729,10.27,40.45017242,36.44854736,35.71944427,36.33490753,37.92768097,35.05493927
4/23/2018,4:39:05 PM,999,10.54,41.0538826,36.5280304,35.93634796,36.35764313,38.14076233,35.08940125
4/23/2018,4:39:06 PM,540,11.081,41.02102661,36.51668167,35.95915604,36.36901093,38.14076233,35.12385178
4/23/2018,4:39:06 PM,810,11.351,41.0429306,36.60746765,36.01616287,36.40310287,38.18557358,35.16976929
4/23/2018,4:39:07 PM,81,11.622,40.95528793,36.53938293,35.97056198,36.38037872,38.12955475,35.15829086
4/23/2018,4:39:07 PM,351,11.892,40.81274033,36.53938293,35.90212631,36.39174271,38.19677353,35.15829086
4/23/2018,4:39:07 PM,621,12.162,40.84564972,36.49397278,35.87930679,36.41446686,38.20797348,35.14681244
4/23/2018,4:39:07 PM,891,12.432,40.69199753,36.40310287,35.76514053,36.40310287,38.20797348,35.12385178
