Plot 1 FLIR USB Video,,,,,,,,,
,,,,,,,,,
,,,,Sp1.Value,Sp2.Value,Sp3.Value,Sp4.Value,Sp5.Value,Sp6.Value
Emissivity,,,,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881
Distance,,,,1,1,1,1,1,1
Reflected temperature,,,,19.9999939,19.9999939,19.9999939,19.9999939,19.9999939,19.9999939
Location X,,,,31,282,283,162,32,121
Location Y,,,,115,69,114,115,66,116
Size X,,,,,,,,,
Size Y,,,,,,,,,
Surface (pixels),,,,,,,,,
,,,,,,,,,
Date,Time,Milliseconds,Relative time,Sp1.Value,Sp2.Value,Sp3.Value,Sp4.Value,Sp5.Value,Sp6.Value
4/24/2018,10:11:56 AM,243,0,37.52294922,28.9518528,28.83087921,29.98709106,34.74436951,28.97603416
4/24/2018,10:11:56 AM,783,0.54,37.50042343,29.0002079,28.86718369,29.97510529,34.75588608,29.01229286
4/24/2018,10:11:57 AM,54,0.811,37.46663284,28.93976212,28.83087921,29.96311951,34.75588608,28.9518528
4/24/2018,10:11:57 AM,324,1.081,37.44409943,28.9518528,28.78245354,29.92715263,34.77891541,28.93976212
4/24/2018,10:11:57 AM,594,1.351,37.45536423,28.98812103,28.85508347,30.02303886,34.76739883,28.96394348
4/24/2018,10:11:57 AM,864,1.621,37.47789764,29.0002079,28.86718369,30.02303886,34.76739883,29.0002079
4/24/2018,10:11:58 AM,135,1.892,37.51168823,29.06062317,28.96394348,30.10687447,34.8479805,29.06062317
4/24/2018,10:11:58 AM,675,2.432,37.63550568,29.18136024,29.01229286,30.16672134,34.94000626,29.13307953
4/24/2018,10:11:58 AM,945,2.702,37.64675522,29.16929245,29.03646088,30.11884689,34.94000626,29.13307953
4/24/2018,10:11:59 AM,216,2.973,37.64675522,29.13307953,28.98812103,30.15475464,35.0089798,29.12100792
4/24/2018,10:11:59 AM,486,3.243,37.63550568,29.14515114,29.02437782,30.13081741,34.90550613,29.08477974
4/24/2018,10:11:59 AM,756,3.513,37.68050003,29.18136024,29.07270241,30.17868614,34.95150375,29.14515114
4/24/2018,10:12:00 AM,27,3.784,37.55672836,29.12100792,28.97603416,30.11884689,34.8479805,29.08477974
4/24/2018,10:12:00 AM,297,4.054,37.61300278,29.14515114,29.02437782,30.09490204,34.89400101,29.09685707
4/24/2018,10:12:00 AM,837,4.594,37.60174942,29.14515114,29.01229286,30.13081741,34.89400101,29.1089325
4/24/2018,10:12:01 AM,108,4.865,37.65800476,29.18136024,29.07270241,30.19065094,34.89400101,29.15722275
4/24/2018,10:12:01 AM,378,5.135,37.62425613,29.08477974,28.97603416,30.11884689,34.8479805,29.08477974
4/24/2018,10:12:01 AM,648,5.405,37.6692543,29.19342613,29.02437782,30.19065094,34.95150375,29.16929245
4/24/2018,10:12:01 AM,918,5.675,37.63550568,29.16929245,29.04854202,30.20261383,34.94000626,29.15722275
4/24/2018,10:12:02 AM,459,6.216,37.54546738,29.07270241,28.92766953,30.14278603,34.85948563,29.06062317
4/24/2018,10:12:02 AM,729,6.486,37.54546738,29.04854202,28.90347862,30.09490204,34.79042816,29.02437782
4/24/2018,10:12:02 AM,999,6.756,37.48916245,29.01229286,28.85508347,30.04699707,34.81345367,29.01229286
4/24/2018,10:12:03 AM,270,7.027,37.54546738,29.09685707,28.87928391,30.10687447,34.85948563,29.04854202
4/24/2018,10:12:03 AM,540,7.297,37.60174942,29.07270241,28.96394348,30.11884689,34.89400101,29.04854202
4/24/2018,10:12:04 AM,81,7.838,37.56798553,29.07270241,28.9518528,30.09490204,34.83647156,29.04854202
4/24/2018,10:12:04 AM,351,8.108,37.60174942,29.07270241,28.97603416,30.11884689,34.85948563,29.07270241
4/24/2018,10:12:04 AM,621,8.378,37.63550568,29.09685707,28.98812103,30.15475464,34.83647156,29.12100792
4/24/2018,10:12:04 AM,891,8.648,37.60174942,29.08477974,28.97603416,30.13081741,34.88249969,29.08477974
4/24/2018,10:12:05 AM,162,8.919,37.59049606,29.07270241,28.9518528,30.09490204,34.87099457,29.08477974
4/24/2018,10:12:05 AM,702,9.459,37.55672836,29.04854202,28.93976212,30.11884689,34.83647156,29.09685707
4/24/2018,10:12:05 AM,972,9.729,37.48916245,29.03646088,28.93976212,30.07095146,34.82496262,29.03646088
4/24/2018,10:12:06 AM,243,10,37.56798553,29.09685707,29.04854202,30.10687447,34.8479805,29.1089325
4/24/2018,10:12:06 AM,513,10.27,37.54546738,29.04854202,28.92766953,30.09490204,34.77891541,29.07270241
4/24/2018,10:12:06 AM,783,10.54,37.53421021,29.04854202,28.9518528,30.03501892,34.82496262,29.03646088
4/24/2018,10:12:07 AM,54,10.811,37.47789764,29.07270241,28.92766953,30.03501892,34.70981216,29.04854202
4/24/2018,10:12:07 AM,324,11.081,37.47789764,29.08477974,28.84298134,30.05897522,34.79042816,29.01229286
4/24/2018,10:12:07 AM,864,11.621,37.48916245,29.08477974,28.91557503,30.02303886,34.73284912,29.06062317
4/24/2018,10:12:08 AM,135,11.892,37.52294922,29.1089325,28.97603416,30.07095146,34.81345367,29.06062317
4/24/2018,10:12:08 AM,405,12.162,37.52294922,29.04854202,28.91557503,30.09490204,34.77891541,29.03646088
4/24/2018,10:12:08 AM,675,12.432,37.54546738,29.09685707,28.9518528,30.10687447,34.81345367,29.01229286
4/24/2018,10:12:08 AM,945,12.702,37.59049606,29.09685707,28.96394348,30.11884689,34.8479805,29.08477974
