Plot 1 FLIR USB Video,,,,,,,,,,,
,,,,,,,,,,,
,,,,Sp1.Value,Sp2.Value,Sp3.Value,Sp4.Value,Sp5.Value,Sp6.Value,Sp7.Value,Sp8.Value
Emissivity,,,,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881
Distance,,,,1,1,1,1,1,1,1,1
Reflected temperature,,,,19.9999939,19.9999939,19.9999939,19.9999939,19.9999939,19.9999939,19.9999939,19.9999939
Location X,,,,31,285,284,166,34,120,31,287
Location Y,,,,115,74,119,115,68,114,175,178
Size X,,,,,,,,,,,
Size Y,,,,,,,,,,,
Surface (pixels),,,,,,,,,,,
,,,,,,,,,,,
Date,Time,Milliseconds,Relative time,Sp1.Value,Sp2.Value,Sp3.Value,Sp4.Value,Sp5.Value,Sp6.Value,Sp7.Value,Sp8.Value
4/24/2018,1:43:37 PM,648,0,40.74689484,36.78883743,36.40310287,32.25423813,39.48933792,30.82303238,37.29753113,35.29595184
4/24/2018,1:43:37 PM,918,0.27,40.88951492,36.81148911,36.51668167,32.289505,39.58907318,30.87062073,37.39901733,35.38764191
4/24/2018,1:43:38 PM,189,0.541,40.84564972,36.80016327,36.49397278,32.25423813,39.55583954,30.84682846,37.3877449,35.31888199
4/24/2018,1:43:38 PM,459,0.811,40.87855148,36.8454628,36.51668167,32.25423813,39.64444733,30.84682846,37.34264755,35.28448868
4/24/2018,1:43:38 PM,729,1.081,40.94432831,36.85678482,36.57342911,32.30125809,39.66659164,30.91819191,37.46663284,35.38764191
4/24/2018,1:43:38 PM,999,1.351,40.93336868,36.83414078,36.5280304,32.32476044,39.5779953,30.87062073,37.45536423,35.39910126
4/24/2018,1:43:39 PM,540,1.892,40.87855148,36.85678482,36.50532913,32.27774811,39.58907318,30.85872459,37.41028976,35.33034515
4/24/2018,1:43:39 PM,810,2.162,40.86758423,36.7775116,36.47126389,32.289505,39.56691742,30.84682846,37.33136749,35.28448868
4/24/2018,1:43:40 PM,80,2.432,40.85661697,36.81148911,36.51668167,32.31300735,39.63337326,30.84682846,37.36520004,35.31888199
4/24/2018,1:43:40 PM,351,2.703,40.88951492,36.82281494,36.48262024,32.27774811,39.58907318,30.84682846,37.36520004,35.30741882
4/24/2018,1:43:40 PM,891,3.243,40.92240524,36.86810303,36.51668167,32.30125809,39.60015106,30.88251495,37.39901733,35.39910126
4/24/2018,1:43:41 PM,162,3.514,40.93336868,36.85678482,36.58477783,32.289505,39.65552139,30.88251495,37.33136749,35.33034515
4/24/2018,1:43:41 PM,432,3.784,40.9114418,36.81148911,36.53938293,32.26599503,39.60015106,30.85872459,37.32009125,35.35326767
4/24/2018,1:43:41 PM,702,4.054,40.98815918,36.969944,36.64149475,32.289505,39.66659164,30.87062073,37.36520004,35.35326767
4/24/2018,1:43:42 PM,243,4.595,40.96624374,36.90206146,36.56208038,32.27774811,39.65552139,30.84682846,37.3877449,35.39910126
4/24/2018,1:43:42 PM,513,4.865,40.97720337,36.92469406,36.60746765,32.27774811,39.62230301,30.87062073,37.34264755,35.39910126
4/24/2018,1:43:42 PM,783,5.135,40.98815918,36.90206146,36.63015366,32.289505,39.65552139,30.84682846,37.43283081,35.41055679
4/24/2018,1:43:43 PM,53,5.405,40.98815918,36.95863342,36.70952225,32.30125809,39.71086502,30.85872459,37.53421021,35.47926331
4/24/2018,1:43:43 PM,324,5.676,41.0429306,36.95863342,36.72085571,32.32476044,39.72193146,30.9063015,37.51168823,35.51360321
4/24/2018,1:43:43 PM,594,5.946,41.03197861,36.93600845,36.58477783,32.3365097,39.72193146,30.88251495,37.46663284,35.4678154
