Plot 1 FLIR USB Video,,,,,
,,,,,
,,,,Sp1.Value,Sp2.Value
Emissivity,,,,0.9499999881,0.9499999881
Distance,,,,1,1
Reflected temperature,,,,23.9999939,23.9999939
Location X,,,,265,25
Location Y,,,,123,48
Size X,,,,,
Size Y,,,,,
Surface (pixels),,,,,
,,,,,
Date,Time,Milliseconds,Relative time,Sp1.Value,Sp2.Value
4/24/2018,2:51:30 PM,351,0,35.12413788,27.32579041
4/24/2018,2:51:30 PM,621,0.27,35.12413788,27.32579041
4/24/2018,2:51:30 PM,891,0.54,35.12413788,27.38704491
4/24/2018,2:51:31 PM,432,1.081,35.12413788,27.36254692
4/24/2018,2:51:31 PM,702,1.351,35.13560867,27.38704491
4/24/2018,2:51:31 PM,972,1.621,35.11266327,27.43602562
4/24/2018,2:51:32 PM,243,1.892,35.04379272,27.26450157
4/24/2018,2:51:32 PM,513,2.162,35.05527115,27.32579041
4/24/2018,2:51:32 PM,783,2.432,35.06675339,27.28902054
4/24/2018,2:51:33 PM,324,2.973,35.19296265,27.38704491
4/24/2018,2:51:33 PM,594,3.243,35.13560867,27.30127716
4/24/2018,2:51:33 PM,864,3.513,35.10118484,27.32579041
4/24/2018,2:51:34 PM,134,3.783,35.08971024,27.33804321
4/24/2018,2:51:34 PM,405,4.054,35.11266327,27.37479591
4/24/2018,2:51:34 PM,675,4.324,35.07823181,27.39929199
4/24/2018,2:51:34 PM,945,4.594,35.08971024,27.41153908
4/24/2018,2:51:35 PM,216,4.865,35.10118484,27.32579041
4/24/2018,2:51:35 PM,486,5.135,35.15855408,27.38704491
4/24/2018,2:51:36 PM,26,5.675,35.14708328,27.42378235
4/24/2018,2:51:36 PM,297,5.946,35.17002487,27.37479591
4/24/2018,2:51:36 PM,567,6.216,35.13560867,27.33804321
4/24/2018,2:51:36 PM,837,6.486,35.19296265,27.39929199
4/24/2018,2:51:37 PM,107,6.756,35.19296265,27.43602562
4/24/2018,2:51:37 PM,378,7.027,35.21589279,27.43602562
4/24/2018,2:51:37 PM,648,7.297,35.17002487,27.32579041
4/24/2018,2:51:38 PM,188,7.837,35.11266327,27.31353378
4/24/2018,2:51:38 PM,459,8.108,35.12413788,27.32579041
4/24/2018,2:51:38 PM,729,8.378,35.10118484,27.30127716
4/24/2018,2:51:38 PM,999,8.648,35.12413788,27.38704491
4/24/2018,2:51:39 PM,270,8.919,35.10118484,27.31353378
4/24/2018,2:51:39 PM,540,9.189,35.05527115,27.30127716
4/24/2018,2:51:40 PM,80,9.729,35.13560867,27.38704491
4/24/2018,2:51:40 PM,351,10,35.10118484,27.39929199
4/24/2018,2:51:40 PM,621,10.27,35.17002487,27.43602562
4/24/2018,2:51:40 PM,891,10.54,35.14708328,27.32579041
4/24/2018,2:51:41 PM,161,10.81,35.15855408,27.39929199
4/24/2018,2:51:41 PM,702,11.351,35.08971024,27.37479591
4/24/2018,2:51:41 PM,702,11.351,35.08971024,27.37479591
4/24/2018,2:51:41 PM,702,11.351,35.08971024,27.37479591
4/24/2018,2:51:43 PM,53,12.702,35.13560867,27.32579041
4/24/2018,2:51:43 PM,324,12.973,35.10118484,27.31353378
4/24/2018,2:51:43 PM,594,13.243,35.14708328,27.38704491
4/24/2018,2:51:43 PM,864,13.513,35.15855408,27.37479591
4/24/2018,2:51:44 PM,405,14.054,35.17002487,27.41153908
4/24/2018,2:51:44 PM,675,14.324,35.15855408,27.32579041
4/24/2018,2:51:44 PM,945,14.594,35.12413788,27.25223923
4/24/2018,2:51:45 PM,216,14.865,35.13560867,27.31353378
4/24/2018,2:51:45 PM,486,15.135,35.18149185,27.36254692
4/24/2018,2:51:45 PM,756,15.405,35.19296265,27.39929199
4/24/2018,2:51:46 PM,26,15.675,35.18149185,27.32579041
4/24/2018,2:51:46 PM,297,15.946,35.18149185,27.37479591
4/24/2018,2:51:46 PM,567,16.216,35.22735977,27.46050835
4/24/2018,2:51:47 PM,107,16.756,35.17002487,27.36254692
4/24/2018,2:51:47 PM,378,17.027,35.14708328,27.37479591
4/24/2018,2:51:47 PM,648,17.297,35.20442963,27.38704491
4/24/2018,2:51:47 PM,918,17.567,35.17002487,27.28902054
4/24/2018,2:51:48 PM,459,18.108,35.17002487,27.31353378
4/24/2018,2:51:48 PM,729,18.378,35.27320862,27.42378235
4/24/2018,2:51:48 PM,999,18.648,35.34194946,27.48498726
4/24/2018,2:51:49 PM,270,18.919,35.36485672,27.54615784
4/24/2018,2:51:49 PM,540,19.189,35.30758286,27.53392601
4/24/2018,2:51:49 PM,810,19.459,35.28466797,27.53392601
4/24/2018,2:51:50 PM,80,19.729,35.33049393,27.54615784
4/24/2018,2:51:50 PM,621,20.27,35.33049393,27.53392601
4/24/2018,2:51:50 PM,891,20.54,35.41065216,27.61952019
4/24/2018,2:51:51 PM,161,20.81,35.29612732,27.50945854
4/24/2018,2:51:51 PM,432,21.081,35.30758286,27.55838776
4/24/2018,2:51:51 PM,702,21.351,35.31904221,27.58284569
4/24/2018,2:51:51 PM,972,21.621,35.23882294,27.38704491
4/24/2018,2:51:52 PM,243,21.892,35.20442963,27.44826889
