Plot 1 FLIR USB Video,,,,,,,,,,
,,,,,,,,,,
,,,,Sp1.Value,Sp2.Value,Sp3.Value,Sp4.Value,Sp5.Value,Sp6.Value,Sp7.Value
Emissivity,,,,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881
Distance,,,,1,1,1,1,1,1,1
Reflected temperature,,,,23.9999939,23.9999939,23.9999939,23.9999939,23.9999939,23.9999939,23.9999939
Location X,,,,293,296,295,20,22,19,78
Location Y,,,,60,111,169,56,114,167,117
Size X,,,,,,,,,,
Size Y,,,,,,,,,,
Surface (pixels),,,,,,,,,,
,,,,,,,,,,
Date,Time,Milliseconds,Relative time,Sp1.Value,Sp2.Value,Sp3.Value,Sp4.Value,Sp5.Value,Sp6.Value,Sp7.Value
4/24/2018,4:48:58 PM,729,0,34.9519043,34.21429825,34.30674362,32.25643158,32.84246445,32.47946167,33.56520081
4/24/2018,4:48:58 PM,999,0.27,34.96339417,34.26053238,34.32984543,32.25643158,32.87753677,32.4560051,33.61168289
4/24/2018,4:48:59 PM,269,0.54,34.91742706,34.20273972,34.20273972,32.20942307,32.86584854,32.4442749,33.58844376
4/24/2018,4:48:59 PM,540,0.811,34.90593338,34.2258606,34.26053238,32.24468231,32.86584854,32.46773529,33.61168289
4/24/2018,4:48:59 PM,810,1.081,34.96339417,34.24897385,34.31829453,32.25643158,32.85415649,32.43254471,33.56520081
4/24/2018,4:49:00 PM,80,1.351,34.91742706,34.2258606,34.28364182,32.22117615,32.85415649,32.46773529,33.57682419
4/24/2018,4:49:00 PM,621,1.892,34.92892075,34.29519272,34.30674362,32.23292923,32.90091324,32.43254471,33.60006332
4/24/2018,4:49:00 PM,891,2.162,34.8829422,34.24897385,34.24897385,32.17415619,32.8307724,32.4442749,33.55358124
4/24/2018,4:49:01 PM,161,2.432,34.90593338,34.2720871,34.26053238,32.22117615,32.81908035,32.4442749,33.55358124
4/24/2018,4:49:01 PM,432,2.703,34.84844589,34.23741913,34.20273972,32.15063858,32.79568863,32.36212921,33.53033066
4/24/2018,4:49:01 PM,702,2.973,34.8714447,34.2720871,34.26053238,32.19766998,32.81908035,32.40907669,33.56520081
4/24/2018,4:49:01 PM,972,3.243,34.8714447,34.26053238,34.28364182,32.16239929,32.79568863,32.40907669,33.54195404
4/24/2018,4:49:02 PM,242,3.513,34.8944397,34.31829453,34.32984543,32.26818085,32.88922501,32.47946167,33.60006332
4/24/2018,4:49:02 PM,513,3.784,34.8944397,34.29519272,34.29519272,32.25643158,32.88922501,32.39734268,33.58844376
4/24/2018,4:49:03 PM,53,4.324,34.8599472,34.26053238,34.26053238,32.23292923,32.87753677,32.37386703,33.60006332
4/24/2018,4:49:03 PM,324,4.595,34.84844589,34.30674362,34.24897385,32.25643158,32.90091324,32.4208107,33.62329865
4/24/2018,4:49:03 PM,594,4.865,34.8944397,34.29519272,34.29519272,32.25643158,32.88922501,32.4442749,33.62329865
4/24/2018,4:49:03 PM,864,5.135,34.8944397,34.2720871,34.24897385,32.31516266,32.91259766,32.4442749,33.60006332
4/24/2018,4:49:04 PM,134,5.405,34.8944397,34.30674362,34.34139252,32.31516266,32.91259766,32.50291443,33.64653015
4/24/2018,4:49:04 PM,675,5.946,34.8944397,34.23741913,34.31829453,32.19766998,32.85415649,32.37386703,33.58844376
4/24/2018,4:49:04 PM,945,6.216,34.76792145,34.13335419,34.14492035,32.15063858,32.72548676,32.26818085,33.47219086
4/24/2018,4:49:05 PM,215,6.486,34.8714447,34.26053238,34.29519272,32.19766998,32.86584854,32.40907669,33.58844376
4/24/2018,4:49:05 PM,486,6.757,34.8944397,34.31829453,34.30674362,32.26818085,32.91259766,32.49118805,33.66975784
4/24/2018,4:49:05 PM,756,7.027,35.00934219,34.34139252,34.38757706,32.30342102,32.87753677,32.46773529,33.66975784
4/24/2018,4:49:06 PM,26,7.297,34.91742706,34.32984543,34.34139252,32.29167557,32.85415649,32.4208107,33.61168289
4/24/2018,4:49:06 PM,567,7.838,34.91742706,34.32984543,34.34139252,32.2799263,32.79568863,32.4208107,33.58844376
4/24/2018,4:49:06 PM,837,8.108,34.97488022,34.34139252,34.35294342,32.30342102,32.86584854,32.4442749,33.64653015
4/24/2018,4:49:07 PM,107,8.378,34.8829422,34.21429825,34.2720871,32.18591309,32.79568863,32.40907669,33.56520081
4/24/2018,4:49:07 PM,378,8.649,34.8944397,34.24897385,34.29519272,32.2799263,32.80738449,32.43254471,33.54195404
4/24/2018,4:49:07 PM,648,8.919,34.96339417,34.31829453,34.35294342,32.31516266,32.8307724,32.4442749,33.58844376
4/24/2018,4:49:07 PM,918,9.189,34.97488022,34.28364182,34.32984543,32.29167557,32.8307724,32.4560051,33.57682419
4/24/2018,4:49:08 PM,188,9.459,34.91742706,34.29519272,34.31829453,32.24468231,32.80738449,32.40907669,33.55358124
4/24/2018,4:49:08 PM,459,9.73,34.96339417,34.29519272,34.35294342,32.2799263,32.8307724,32.40907669,33.55358124
4/24/2018,4:49:08 PM,999,10.27,34.90593338,34.28364182,34.29519272,32.22117615,32.79568863,32.40907669,33.55358124
4/24/2018,4:49:09 PM,269,10.54,34.8829422,34.17961502,34.26053238,32.17415619,32.76059341,32.38560486,33.54195404
