Plot 1 FLIR USB Video,,,,,,,,,,
,,,,,,,,,,
,,,,Sp1.Value,Sp2.Value,Sp3.Value,Sp4.Value,Sp5.Value,Sp6.Value,Sp7.Value
Emissivity,,,,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881
Distance,,,,1,1,1,1,1,1,1
Reflected temperature,,,,23.9999939,23.9999939,23.9999939,23.9999939,23.9999939,23.9999939,23.9999939
Location X,,,,293,296,295,20,22,19,78
Location Y,,,,60,111,169,56,114,167,117
Size X,,,,,,,,,,
Size Y,,,,,,,,,,
Surface (pixels),,,,,,,,,,
,,,,,,,,,,
Date,Time,Milliseconds,Relative time,Sp1.Value,Sp2.Value,Sp3.Value,Sp4.Value,Sp5.Value,Sp6.Value,Sp7.Value
4/24/2018,5:09:22 PM,513,0,31.14683533,31.26537132,31.36011505,30.23011017,30.81430435,29.30617905,31.19426537
4/24/2018,5:09:22 PM,783,0.27,31.12311554,31.22982407,31.37195206,30.17033386,30.7905159,29.24593163,31.17055321
4/24/2018,5:09:23 PM,324,0.811,31.13497543,31.27721786,31.38378906,30.21815681,30.81430435,29.30617905,31.15869522
4/24/2018,5:09:23 PM,594,1.081,31.14683533,31.25352287,31.38378906,30.21815681,30.82619667,29.33027077,31.2179718
4/24/2018,5:09:23 PM,864,1.351,31.18240929,31.25352287,31.36011505,30.25401115,30.83808708,29.25798416,31.20611954
4/24/2018,5:09:24 PM,134,1.621,31.05192184,31.15869522,31.28906441,30.07463074,30.70722008,29.23387718,31.18240929
4/24/2018,5:09:24 PM,405,1.892,31.11125183,31.14683533,31.27721786,30.13445473,30.73102379,29.20976639,31.12311554
4/24/2018,5:09:24 PM,675,2.162,31.11125183,31.22982407,31.36011505,30.15837479,30.7905159,29.22182274,31.17055321
4/24/2018,5:09:24 PM,945,2.432,31.14683533,31.25352287,31.34827614,30.17033386,30.80241013,29.30617905,31.20611954
4/24/2018,5:09:25 PM,486,2.973,31.15869522,31.24167442,31.33643532,30.1942482,30.80241013,29.29413223,31.17055321
4/24/2018,5:09:25 PM,756,3.243,31.15869522,31.25352287,31.37195206,30.15837479,30.81430435,29.28208351,31.17055321
4/24/2018,5:09:26 PM,26,3.513,31.25352287,31.28906441,31.43112183,30.25401115,30.88563919,29.36639786,31.24167442
4/24/2018,5:09:26 PM,296,3.783,31.22982407,31.31275368,31.38378906,30.1942482,30.84997749,29.31822586,31.18240929
4/24/2018,5:09:26 PM,567,4.054,31.26537132,31.27721786,31.39562416,30.26595879,30.89752388,29.37843704,31.27721786
4/24/2018,5:09:26 PM,837,4.324,31.20611954,31.2179718,31.33643532,30.12249184,30.76672363,29.23387718,31.14683533
4/24/2018,5:09:27 PM,107,4.594,31.31275368,31.40745735,31.50208855,30.31374359,30.9450531,29.39047623,31.3245945
4/24/2018,5:09:27 PM,648,5.135,31.44295311,31.39562416,31.58482742,30.3256855,30.95693207,29.49876595,31.39562416
4/24/2018,5:09:27 PM,918,5.405,31.37195206,31.45478249,31.5139122,30.33762741,30.99256325,29.45064926,31.38378906
4/24/2018,5:09:28 PM,188,5.675,31.27721786,31.38378906,31.45478249,30.27790833,30.93317223,29.41454887,31.33643532
4/24/2018,5:09:28 PM,459,5.946,31.25352287,31.3245945,31.40745735,30.23011017,30.87375259,29.36639786,31.28906441
4/24/2018,5:09:28 PM,729,6.216,31.41929054,31.44295311,31.5139122,30.30179977,30.96881104,29.41454887,31.3245945
4/24/2018,5:09:29 PM,269,6.756,31.27721786,31.3245945,31.44295311,30.27790833,30.95693207,29.43861771,31.27721786
4/24/2018,5:09:29 PM,540,7.027,31.34827614,31.37195206,31.47843742,30.30179977,30.90940857,29.36639786,31.26537132
4/24/2018,5:09:29 PM,810,7.297,31.34827614,31.36011505,31.44295311,30.27790833,30.90940857,29.36639786,31.28906441
4/24/2018,5:09:30 PM,80,7.567,31.3245945,31.39562416,31.46660995,30.34956741,30.98068619,29.4025135,31.27721786
4/24/2018,5:09:30 PM,621,8.108,31.36011505,31.37195206,31.47843742,30.28985405,30.95693207,29.39047623,31.31275368
4/24/2018,5:09:30 PM,891,8.378,31.25352287,31.33643532,31.39562416,30.28985405,30.90940857,29.4025135,31.28906441
4/24/2018,5:09:31 PM,161,8.648,31.27721786,31.31275368,31.38378906,30.28985405,30.95693207,29.4025135,31.24167442
4/24/2018,5:09:31 PM,432,8.919,31.33643532,31.34827614,31.41929054,30.25401115,30.90940857,29.34231377,31.25352287
4/24/2018,5:09:31 PM,702,9.189,31.38378906,31.36011505,31.43112183,30.25401115,30.861866,29.35435677,31.26537132
4/24/2018,5:09:31 PM,972,9.459,31.45478249,31.46660995,31.49026299,30.34956741,30.9450531,29.37843704,31.36011505
4/24/2018,5:09:32 PM,513,10,31.28906441,31.34827614,31.41929054,30.20620346,30.92129135,29.33027077,31.26537132
4/24/2018,5:09:32 PM,783,10.27,31.20611954,31.25352287,31.28906441,30.11052895,30.82619667,29.28208351,31.18240929
4/24/2018,5:09:33 PM,53,10.54,31.31275368,31.38378906,31.31275368,30.23011017,30.93317223,29.34231377,31.27721786
4/24/2018,5:09:33 PM,324,10.811,31.27721786,31.3245945,31.38378906,30.18229103,30.861866,29.33027077,31.24167442
