Plot 1 FLIR USB Video,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,Sp1.Value,Sp2.Value,Sp3.Value,Sp4.Value,Sp5.Value,Sp6.Value,Sp7.Value,Sp8.Value,Sp9.Value,Sp10.Value
Emissivity,,,,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881
Distance,,,,1,1,1,1,1,1,1,1,1,1
Reflected temperature,,,,21.9999939,21.9999939,21.9999939,21.9999939,21.9999939,21.9999939,21.9999939,21.9999939,21.9999939,21.9999939
Location X,,,,25,28,26,281,283,283,104,236,239,241
Location Y,,,,62,119,174,62,116,172,114,63,115,172
Size X,,,,,,,,,,,,,
Size Y,,,,,,,,,,,,,
Surface (pixels),,,,,,,,,,,,,
,,,,,,,,,,,,,
Date,Time,Milliseconds,Relative time,Sp1.Value,Sp2.Value,Sp3.Value,Sp4.Value,Sp5.Value,Sp6.Value,Sp7.Value,Sp8.Value,Sp9.Value,Sp10.Value
4/25/2018,10:44:38 AM,756,0,41.26612854,45.89607239,41.22237778,39.78119278,40.45430374,39.40446472,35.44765091,37.72885513,37.7625885,37.45866776
4/25/2018,10:44:39 AM,26,0.27,41.24425507,45.90662766,41.22237778,39.73693085,40.43229294,39.49320602,35.49346161,37.72885513,37.74010086,37.48120499
4/25/2018,10:44:39 AM,297,0.541,41.29893112,45.86440277,41.18955231,39.77013016,40.45430374,39.43775177,35.51636124,37.72885513,37.78507233,37.41358185
4/25/2018,10:44:39 AM,567,0.811,41.21143723,45.83272552,41.21143723,39.72586441,40.45430374,39.41556168,35.48200989,37.71760941,37.80755234,37.33463669
4/25/2018,10:44:39 AM,837,1.081,41.32079697,45.86440277,41.23331833,39.79225922,40.50931931,39.42665482,35.49346161,37.75134659,37.78507233,37.32335663
4/25/2018,10:44:40 AM,378,1.622,41.18955231,45.83272552,41.2551918,39.75906372,40.49831772,39.41556168,35.49346161,37.65011215,37.84126282,37.34591675
4/25/2018,10:44:40 AM,648,1.892,41.18955231,45.89607239,41.26612854,39.79225922,40.53131866,39.43775177,35.42473984,37.72885513,37.81879044,37.4023056
4/25/2018,10:44:40 AM,918,2.162,41.32079697,45.90662766,41.342659,39.82544327,40.53131866,39.44884491,35.43619537,37.68386459,37.8524971,37.34591675
4/25/2018,10:44:41 AM,189,2.433,41.26612854,45.93828583,41.29893112,39.81438065,40.57530594,39.4821167,35.48200989,37.69511414,37.83002472,37.37975311
4/25/2018,10:44:41 AM,459,2.703,41.27706528,45.90662766,41.2551918,39.75906372,40.55331421,39.45993423,35.48200989,37.78507233,37.8524971,37.30078888
4/25/2018,10:44:41 AM,729,2.973,41.22237778,45.89607239,41.342659,39.89178467,40.55331421,39.5486412,35.48200989,37.72885513,37.80755234,37.30078888
4/25/2018,10:44:41 AM,999,3.243,41.2551918,45.94883728,41.32079697,39.86967468,40.57530594,39.45993423,35.47055817,37.72885513,37.80755234,37.34591675
4/25/2018,10:44:42 AM,540,3.784,41.16766739,45.83272552,41.2551918,39.77013016,40.55331421,39.42665482,35.48200989,37.69511414,37.80755234,37.31207275
4/25/2018,10:44:42 AM,810,4.054,41.09103394,45.82216263,41.2551918,39.78119278,40.48731613,39.39336777,35.39036179,37.68386459,37.83002472,37.35719681
4/25/2018,10:44:43 AM,81,4.325,41.0033989,45.79047394,41.2551918,39.84756088,40.54231644,39.51538467,35.51636124,37.69511414,37.84126282,37.34591675
4/25/2018,10:44:43 AM,351,4.595,41.18955231,45.88551712,41.342659,39.88072968,40.57530594,39.58189011,35.44765091,37.66136551,37.80755234,37.4023056
4/25/2018,10:44:43 AM,621,4.865,41.15672302,45.83272552,41.30986404,39.86967468,40.53131866,39.49320602,35.47055817,37.74010086,37.86373138,37.35719681
4/25/2018,10:44:44 AM,162,5.406,41.12388229,45.79047394,41.23331833,39.72586441,40.46530914,39.45993423,35.45910645,37.72885513,37.81879044,37.4023056
4/25/2018,10:44:44 AM,432,5.676,41.18955231,45.81159973,41.26612854,39.75906372,40.48731613,39.42665482,35.47055817,37.71760941,37.74010086,37.37975311
4/25/2018,10:44:44 AM,702,5.946,41.13483047,45.85384369,41.26612854,39.79225922,40.49831772,39.39336777,35.45910645,37.78507233,37.79631042,37.41358185
4/25/2018,10:44:44 AM,972,6.216,41.18955231,45.85384369,41.24425507,39.82544327,40.49831772,39.42665482,35.48200989,37.74010086,37.77383041,37.42485428
4/25/2018,10:44:45 AM,243,6.487,41.2879982,45.82216263,41.342659,39.82544327,40.48731613,39.40446472,35.43619537,37.77383041,37.77383041,37.4023056
4/25/2018,10:44:45 AM,783,7.027,41.23331833,45.88551712,41.35358429,39.82544327,40.47631454,39.43775177,35.45910645,37.80755234,37.74010086,37.44739914
4/25/2018,10:44:46 AM,53,7.297,41.23331833,45.91718292,41.43006134,39.83650208,40.47631454,39.45993423,35.48200989,37.75134659,37.86373138,37.44739914
4/25/2018,10:44:46 AM,324,7.568,41.23331833,45.90662766,41.30986404,39.80331802,40.44329834,39.43775177,35.44765091,37.7625885,37.83002472,37.44739914
4/25/2018,10:44:46 AM,594,7.838,41.23331833,45.92773438,41.29893112,39.82544327,40.41027451,39.41556168,35.44765091,37.77383041,37.79631042,37.42485428
4/25/2018,10:44:46 AM,864,8.108,41.26612854,45.89607239,41.2879982,39.83650208,40.52032089,39.45993423,35.48200989,37.7625885,37.83002472,37.4023056
4/25/2018,10:44:47 AM,135,8.379,41.09103394,45.86440277,41.26612854,39.80331802,40.47631454,39.47102737,35.50491333,37.78507233,37.80755234,37.43612671
4/25/2018,10:44:47 AM,405,8.649,41.24425507,45.89607239,41.30986404,39.81438065,40.45430374,39.47102737,35.49346161,37.80755234,37.81879044,37.45866776
4/25/2018,10:44:47 AM,945,9.189,41.14577866,45.80103683,41.21143723,39.77013016,40.41027451,39.382267,35.53925705,37.75134659,37.79631042,37.35719681
4/25/2018,10:44:48 AM,216,9.46,41.04722214,45.84328461,41.33172607,39.74799728,40.46530914,39.41556168,35.49346161,37.72885513,37.78507233,37.41358185
4/25/2018,10:44:48 AM,486,9.73,41.18955231,45.86440277,41.3645134,39.79225922,40.54231644,39.51538467,35.52780914,37.74010086,37.80755234,37.43612671
4/25/2018,10:44:48 AM,756,10,41.11293411,45.80103683,41.27706528,39.80331802,40.46530914,39.47102737,35.47055817,37.70636368,37.87496567,37.4023056
4/25/2018,10:44:49 AM,26,10.27,41.08008194,45.79047394,41.2879982,39.77013016,40.50931931,39.42665482,35.51636124,37.75134659,37.81879044,37.45866776
4/25/2018,10:44:49 AM,297,10.541,41.14577866,45.84328461,41.27706528,39.88072968,40.49831772,39.382267,35.53925705,37.67261505,37.78507233,37.43612671
4/25/2018,10:44:49 AM,567,10.811,41.24425507,45.82216263,41.29893112,39.80331802,40.48731613,39.37117004,35.49346161,37.68386459,37.83002472,37.45866776
4/25/2018,10:44:49 AM,837,11.081,41.18955231,45.85384369,41.2879982,39.72586441,40.47631454,39.34896851,35.51636124,37.67261505,37.89742661,37.43612671
4/25/2018,10:44:50 AM,378,11.622,41.2551918,45.87495804,41.29893112,39.71479416,40.47631454,39.33786774,35.47055817,37.75134659,37.89742661,37.45866776
4/25/2018,10:44:50 AM,648,11.892,41.29893112,45.91718292,41.3645134,39.82544327,40.50931931,39.40446472,35.56214523,37.7625885,37.9311142,37.45866776
4/25/2018,10:44:50 AM,918,12.162,41.2551918,45.93828583,41.40821838,39.80331802,40.54231644,39.4821167,35.49346161,37.75134659,37.9535675,37.42485428
4/25/2018,10:44:51 AM,189,12.433,41.30986404,45.94883728,41.33172607,39.81438065,40.48731613,39.43775177,35.43619537,37.72885513,37.90865707,37.45866776
4/25/2018,10:44:51 AM,459,12.703,41.11293411,45.88551712,41.33172607,39.80331802,40.53131866,39.42665482,35.50491333,37.74010086,37.9535675,37.4924736
4/25/2018,10:44:51 AM,729,12.973,41.29893112,45.95938873,41.35358429,39.88072968,40.52032089,39.45993423,35.45910645,37.7625885,37.94234085,37.44739914
4/25/2018,10:44:52 AM,270,13.514,41.32079697,46.00158691,41.3863678,39.86967468,40.59729385,39.50429535,35.43619537,37.7625885,37.976017,37.45866776
4/25/2018,10:44:52 AM,540,13.784,41.26612854,45.92773438,41.43006134,39.86967468,40.61928177,39.44884491,35.40182495,37.74010086,37.89742661,37.44739914
4/25/2018,10:44:52 AM,810,14.054,41.2879982,45.98048782,41.4519043,39.94704437,40.68521118,39.49320602,35.55070114,37.77383041,37.89742661,37.51500702
4/25/2018,10:44:53 AM,81,14.325,41.3754425,46.04376602,41.50649261,39.99123383,40.66323853,39.61512756,35.50491333,37.83002472,37.94234085,37.46993637
4/25/2018,10:44:53 AM,351,14.595,41.3863678,46.08593369,41.55014801,39.99123383,40.70718002,39.62620544,35.49346161,37.7625885,37.90865707,37.44739914
4/25/2018,10:44:53 AM,621,14.865,41.43006134,46.04376602,41.47374344,40.06852722,40.72914505,39.61512756,35.52780914,37.75134659,37.9535675,37.52627182
