Plot 1 FLIR USB Video,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,Sp1.Value,Sp2.Value,Sp3.Value,Sp4.Value,Sp5.Value,Sp6.Value,Sp7.Value,Sp8.Value,Sp9.Value,Sp10.Value
Emissivity,,,,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881
Distance,,,,1,1,1,1,1,1,1,1,1,1
Reflected temperature,,,,21.9999939,21.9999939,21.9999939,21.9999939,21.9999939,21.9999939,21.9999939,21.9999939,21.9999939,21.9999939
Location X,,,,25,28,26,281,283,283,104,236,239,241
Location Y,,,,62,119,174,62,116,172,114,63,115,172
Size X,,,,,,,,,,,,,
Size Y,,,,,,,,,,,,,
Surface (pixels),,,,,,,,,,,,,
,,,,,,,,,,,,,
Date,Time,Milliseconds,Relative time,Sp1.Value,Sp2.Value,Sp3.Value,Sp4.Value,Sp5.Value,Sp6.Value,Sp7.Value,Sp8.Value,Sp9.Value,Sp10.Value
4/25/2018,12:40:11 PM,999,0,40.99243927,45.71650696,41.01435471,46.14916229,45.21879578,42.00762939,33.40310669,41.29893112,39.75906372,37.18789291
4/25/2018,12:40:12 PM,270,0.271,40.98147964,45.65307236,40.99243927,46.1280899,45.15512466,41.9750061,33.42640305,41.27706528,39.70372391,37.16530228
4/25/2018,12:40:12 PM,540,0.541,40.97052002,45.68479538,40.95955658,46.1280899,45.19757843,42.02937698,33.43804932,41.30986404,39.77013016,37.15400696
4/25/2018,12:40:13 PM,80,1.081,40.99243927,45.74821472,40.98147964,46.1070137,45.18696594,42.04024506,33.46133804,41.29893112,39.73693085,37.15400696
4/25/2018,12:40:13 PM,351,1.352,40.99243927,45.72707748,40.99243927,46.1280899,45.2506218,41.98588181,33.48462296,41.27706528,39.77013016,37.19918823
4/25/2018,12:40:13 PM,621,1.622,40.9376297,45.67422104,41.05817795,46.17023087,45.2506218,42.05111694,33.50790405,41.33172607,39.79225922,37.26692963
4/25/2018,12:40:13 PM,891,1.892,40.84988785,45.63192368,40.94859314,46.11755371,45.2081871,42.00762939,33.4729805,41.26612854,39.74799728,37.1765976
4/25/2018,12:40:14 PM,432,2.433,40.78404236,45.45199966,40.90473557,45.99103928,45.05955887,41.9532547,33.34484863,41.11293411,39.62620544,37.07489777
4/25/2018,12:40:14 PM,702,2.703,40.87182999,45.5367012,40.92666626,45.99103928,45.16574097,41.94237518,33.3914566,41.21143723,39.73693085,37.12010956
4/25/2018,12:40:14 PM,972,2.973,40.83891678,45.51552963,40.92666626,45.95938873,45.09142303,41.90973663,33.36815643,41.14577866,39.65943146,37.08620071
4/25/2018,12:40:15 PM,243,3.244,40.9376297,45.61076736,40.88279724,45.99103928,45.17635345,41.98588181,33.37980652,41.16766739,39.69265366,37.15400696
4/25/2018,12:40:15 PM,513,3.514,40.79502106,45.54728317,40.84988785,46.0332222,45.17635345,41.93149567,33.35650253,41.15672302,39.68157959,37.08620071
4/25/2018,12:40:16 PM,53,4.054,40.82794571,45.61076736,40.82794571,46.1386261,45.14451218,41.90973663,33.3914566,41.21143723,39.72586441,37.10880661
4/25/2018,12:40:16 PM,324,4.325,40.9376297,45.6636467,40.88279724,46.09647369,45.16574097,41.94237518,33.40310669,41.22237778,39.70372391,37.13140869
4/25/2018,12:40:16 PM,594,4.595,40.94859314,45.67422104,40.9376297,46.11755371,45.2506218,42.04024506,33.3914566,41.24425507,39.70372391,37.15400696
4/25/2018,12:40:16 PM,864,4.865,40.91569901,45.64249802,40.98147964,46.15969849,45.19757843,42.02937698,33.44969559,41.2551918,39.74799728,37.16530228
4/25/2018,12:40:17 PM,134,5.135,41.13483047,45.71650696,40.94859314,46.25447464,45.28244019,42.10545349,33.50790405,41.35358429,39.82544327,37.24435425
4/25/2018,12:40:17 PM,405,5.406,41.04722214,45.63192368,40.94859314,46.1280899,45.2506218,42.08372116,33.46133804,41.21143723,39.74799728,37.1765976
4/25/2018,12:40:17 PM,675,5.676,41.02531052,45.63192368,40.99243927,46.23342133,45.33544922,42.05111694,33.50790405,41.33172607,39.77013016,37.1765976
4/25/2018,12:40:17 PM,945,5.946,40.97052002,45.6636467,40.98147964,46.19129944,45.27183533,42.07285309,33.44969559,41.2879982,39.78119278,37.22177124
4/25/2018,12:40:18 PM,486,6.487,40.89376831,45.67422104,40.97052002,46.19129944,45.29304123,42.18148422,33.4962616,41.27706528,39.81438065,37.25564194
4/25/2018,12:40:18 PM,756,6.757,40.99243927,45.63192368,40.91569901,46.17023087,45.27183533,42.10545349,33.48462296,41.30986404,39.78119278,37.18789291
4/25/2018,12:40:19 PM,26,7.027,40.91569901,45.57902908,40.91569901,46.1280899,45.24001312,42.06198502,33.41475677,41.22237778,39.72586441,37.18789291
4/25/2018,12:40:19 PM,297,7.298,41.0033989,45.65307236,41.10198593,46.21236038,45.36724854,42.22491074,33.50790405,41.342659,39.83650208,37.289505
4/25/2018,12:40:19 PM,567,7.568,40.97052002,45.7376442,41.10198593,46.2650032,45.43081665,42.25747299,33.54281235,41.33172607,39.85861588,37.30078888
4/25/2018,12:40:19 PM,837,7.838,41.05817795,45.69536591,41.06912994,46.25447464,45.37784576,42.21405792,33.57771683,41.30986404,39.85861588,37.289505
4/25/2018,12:40:20 PM,107,8.108,41.14577866,45.65307236,41.02531052,46.2860527,45.39903641,42.25747299,33.4962616,41.342659,39.84756088,37.31207275
4/25/2018,12:40:20 PM,648,8.649,40.98147964,45.61076736,40.95955658,46.18076706,45.34605026,42.18148422,33.41475677,41.2879982,39.75906372,37.22177124
4/25/2018,12:40:20 PM,918,8.919,40.99243927,45.60018921,40.95955658,46.18076706,45.33544922,42.14890671,33.46133804,41.26612854,39.75906372,37.16530228
4/25/2018,12:40:21 PM,189,9.19,40.84988785,45.61076736,40.91569901,46.17023087,45.28244019,42.12718201,33.3914566,41.2551918,39.72586441,37.1765976
4/25/2018,12:40:21 PM,459,9.46,40.88279724,45.55786514,40.90473557,46.18076706,45.29304123,42.09458542,33.35650253,41.16766739,39.68157959,37.10880661
4/25/2018,12:40:21 PM,729,9.73,40.89376831,45.60018921,41.01435471,46.18076706,45.38843918,42.09458542,33.44969559,41.2879982,39.78119278,37.19918823
4/25/2018,12:40:22 PM,270,10.271,40.99243927,45.65307236,41.02531052,46.2650032,45.42022324,42.21405792,33.4962616,41.342659,39.82544327,37.23306274
4/25/2018,12:40:22 PM,540,10.541,40.92666626,45.67422104,41.08008194,46.2650032,45.44141006,42.23576736,33.50790405,41.33172607,39.84756088,37.27821732
4/25/2018,12:40:22 PM,810,10.811,40.88279724,45.64249802,41.01435471,46.18076706,45.40962982,42.20320129,33.44969559,41.2879982,39.80331802,37.25564194
4/25/2018,12:40:23 PM,80,11.081,40.86085892,45.58961105,40.94859314,46.20183182,45.44141006,42.23576736,33.4729805,41.33172607,39.80331802,37.21047974
4/25/2018,12:40:23 PM,351,11.352,40.97052002,45.65307236,41.04722214,46.2650032,45.43081665,42.2791748,33.4962616,41.30986404,39.82544327,37.27821732
4/25/2018,12:40:23 PM,621,11.622,40.9376297,45.62134552,41.03627014,46.22289276,45.46258926,42.24662018,33.48462296,41.2879982,39.80331802,37.27821732
4/25/2018,12:40:23 PM,891,11.892,41.03627014,45.70593643,41.04722214,46.2860527,45.52611542,42.3117218,33.54281235,41.3863678,39.89178467,37.32335663
4/25/2018,12:40:24 PM,162,12.163,40.89376831,45.7376442,41.06912994,46.29657745,45.46258926,42.36594772,33.54281235,41.39729309,39.90283966,37.32335663
4/25/2018,12:40:24 PM,702,12.703,41.04722214,45.77991104,41.15672302,46.35970688,45.56844711,42.38763428,33.61260605,41.44098282,39.89178467,37.34591675
4/25/2018,12:40:24 PM,972,12.973,41.0033989,45.7376442,41.16766739,46.24394989,45.54728317,42.32256699,33.55444717,41.3863678,39.90283966,37.34591675
4/25/2018,12:40:25 PM,243,13.244,41.0033989,45.67422104,41.11293411,46.33866882,45.52611542,42.2791748,33.51953888,41.3645134,39.88072968,37.27821732
4/25/2018,12:40:25 PM,783,13.784,40.94859314,45.63192368,41.12388229,46.31762314,45.49435806,42.24662018,33.48462296,41.32079697,39.82544327,37.289505
4/25/2018,12:40:26 PM,53,14.054,40.92666626,45.64249802,41.14577866,46.27552795,45.47317886,42.2900238,33.51953888,41.30986404,39.84756088,37.289505
4/25/2018,12:40:26 PM,324,14.325,40.95955658,45.63192368,41.10198593,46.29657745,45.48376846,42.3008728,33.50790405,41.32079697,39.85861588,37.26692963
4/25/2018,12:40:26 PM,594,14.595,40.90473557,45.60018921,41.06912994,46.3071022,45.42022324,42.25747299,33.48462296,41.33172607,39.84756088,37.26692963
4/25/2018,12:40:26 PM,864,14.865,40.95955658,45.69536591,41.11293411,46.29657745,45.47317886,42.2900238,33.53117752,41.41913986,39.88072968,37.32335663
4/25/2018,12:40:27 PM,134,15.135,40.84988785,45.60018921,41.04722214,46.25447464,45.47317886,42.3008728,33.48462296,41.33172607,39.80331802,37.26692963
