Plot 1 FLIR USB Video,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,Sp1.Value,Sp2.Value,Sp3.Value,Sp4.Value,Sp5.Value,Sp6.Value,Sp7.Value,Sp8.Value,Sp9.Value,Sp10.Value
Emissivity,,,,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881
Distance,,,,1,1,1,1,1,1,1,1,1,1
Reflected temperature,,,,19.9999939,19.9999939,19.9999939,19.9999939,19.9999939,19.9999939,19.9999939,19.9999939,19.9999939,19.9999939
Location X,,,,29,29,31,280,283,285,104,237,241,243
Location Y,,,,71,121,180,61,112,174,116,60,116,176
Size X,,,,,,,,,,,,,
Size Y,,,,,,,,,,,,,
Surface (pixels),,,,,,,,,,,,,
,,,,,,,,,,,,,
Date,Time,Milliseconds,Relative time,Sp1.Value,Sp2.Value,Sp3.Value,Sp4.Value,Sp5.Value,Sp6.Value,Sp7.Value,Sp8.Value,Sp9.Value,Sp10.Value
4/26/2018,10:34:55 AM,54,0,40.97720337,43.37629318,39.9651413,40.46117401,40.64806366,39.15632248,35.04345322,36.7775116,36.64149475,36.0617485
4/26/2018,10:34:55 AM,594,0.54,40.98815918,43.40855789,40.10863876,40.40615463,40.56015015,39.10073471,35.03196335,36.74351883,36.60746765,35.98196411
4/26/2018,10:34:55 AM,864,0.81,40.94432831,43.40855789,40.14173126,40.39514923,40.53816223,39.11185455,34.99748611,36.74351883,36.56208038,35.94775391
4/26/2018,10:34:56 AM,135,1.081,40.94432831,43.41931152,40.04243088,40.40615463,40.56015015,39.07849503,34.99748611,36.69818497,36.5280304,35.93634796
4/26/2018,10:34:56 AM,405,1.351,40.92240524,43.44081497,40.00931168,40.43917084,40.54915619,39.07849503,34.97449875,36.72085571,36.49397278,35.92494202
4/26/2018,10:34:56 AM,675,1.621,40.94432831,43.37629318,40.10863876,40.35111237,40.52716827,39.04512405,34.94000626,36.66417313,36.48262024,35.8336525
4/26/2018,10:34:56 AM,945,1.891,40.87855148,43.34402466,40.15275955,40.41716003,40.50517273,38.96722412,34.87099457,36.60746765,36.43718719,35.81081772
4/26/2018,10:34:57 AM,486,2.432,40.92240524,43.39780426,40.06450272,40.39514923,40.56015015,39.06737137,34.89400101,36.68684769,36.48262024,35.89071655
4/26/2018,10:34:57 AM,756,2.702,41.02102661,43.41931152,40.38414001,40.52716827,40.61510468,39.13409042,34.96300125,36.70952225,36.53938293,35.93634796
4/26/2018,10:34:58 AM,26,2.972,40.93336868,43.40855789,38.43175888,40.43917084,40.56015015,39.08961487,34.89400101,36.65283585,36.43718719,35.87930679
4/26/2018,10:34:58 AM,297,3.243,40.9114418,43.39780426,40.17481232,40.40615463,40.58213425,39.04512405,34.89400101,36.63015366,36.44854736,35.8336525
4/26/2018,10:34:58 AM,567,3.513,41.02102661,43.46231461,40.02035141,40.41716003,40.68101501,39.06737137,34.90550613,36.69818497,36.49397278,35.92494202
4/26/2018,10:34:58 AM,837,3.783,40.98815918,43.52679062,40.07553864,40.48317719,40.70298004,39.11185455,34.89400101,36.70952225,36.56208038,35.95915604
4/26/2018,10:34:59 AM,378,4.324,41.06483078,43.50530243,40.11967087,40.56015015,40.73591614,39.16743851,34.90550613,36.7775116,36.58477783,36.00476456
4/26/2018,10:34:59 AM,648,4.594,41.19615936,43.63418198,38.10713959,40.68101501,40.79079437,39.25632095,35.02047348,36.87942505,36.60746765,36.02756119
4/26/2018,10:34:59 AM,918,4.864,41.18522263,43.67711258,37.19595718,40.626091,40.79079437,39.31184006,35.06642914,36.81148911,36.63015366,36.0617485
4/26/2018,10:35:00 AM,459,5.405,41.20709991,43.67711258,36.55073166,40.59312439,40.79079437,39.35623932,34.96300125,36.82281494,36.63015366,36.00476456
4/26/2018,10:35:00 AM,729,5.675,41.25084305,43.72003174,36.74351883,40.63707733,40.83467865,39.36733627,35.14681244,36.76618195,36.58477783,36.050354
4/26/2018,10:35:00 AM,999,5.945,41.23990631,42.9021759,36.56208038,40.61510468,40.84564972,39.37843323,35.14681244,36.80016327,36.56208038,36.0389595
4/26/2018,10:35:01 AM,270,6.216,41.29457092,37.46663284,36.81148911,40.64806366,40.84564972,39.27853012,34.99748611,36.78883743,36.61880875,36.0389595
4/26/2018,10:35:01 AM,540,6.486,41.32735443,37.02648544,37.03779221,40.58213425,40.87855148,39.34513855,35.0089798,36.78883743,36.60746765,36.02756119
4/26/2018,10:35:02 AM,81,7.027,41.33828354,36.76618195,38.02865982,40.61510468,40.88951492,39.41171265,34.96300125,36.74351883,36.57342911,36.01616287
4/26/2018,10:35:02 AM,351,7.297,41.29457092,36.91337585,38.97835541,40.68101501,40.88951492,39.36733627,34.94000626,36.75485229,36.58477783,36.01616287
4/26/2018,10:35:02 AM,621,7.567,41.27270889,37.12819672,39.40061951,40.72493744,40.86758423,39.42280579,34.88249969,36.75485229,36.5280304,35.98196411
4/26/2018,10:35:02 AM,891,7.837,41.42566681,40.99911499,37.50042343,40.79079437,40.96624374,39.47825241,34.95150375,36.75485229,36.59612274,36.0617485
4/26/2018,10:35:03 AM,432,8.378,41.44750214,40.71395874,37.57923889,40.74689484,40.96624374,39.4671669,34.94000626,36.7775116,36.60746765,36.00476456
4/26/2018,10:35:03 AM,702,8.648,41.33828354,43.83798218,38.09593201,40.70298004,40.93336868,39.41171265,35.14681244,36.70952225,36.57342911,35.98196411
4/26/2018,10:35:03 AM,972,8.918,41.31642914,43.73075867,36.63015366,40.54915619,40.76884842,39.26742554,35.07791519,36.64149475,36.48262024,35.92494202
4/26/2018,10:35:04 AM,243,9.189,41.36013412,43.8915596,36.25529861,40.63707733,40.86758423,39.35623932,35.49071121,36.68684769,36.59612274,35.95915604
4/26/2018,10:35:04 AM,513,9.459,41.44750214,43.31174469,36.49397278,40.69199753,40.83467865,39.35623932,35.22714233,36.68684769,36.53938293,35.94775391
4/26/2018,10:35:04 AM,783,9.729,41.42566681,36.83414078,36.85678482,40.63707733,40.84564972,39.34513855,36.10731888,36.70952225,36.53938293,35.97056198
4/26/2018,10:35:05 AM,324,10.27,41.4802475,44.50082016,36.24392319,40.58213425,40.81274033,39.27853012,36.23254395,36.66417313,36.51668167,35.95915604
4/26/2018,10:35:05 AM,594,10.54,41.44750214,37.57923889,36.68684769,40.50517273,40.73591614,39.26742554,36.34627914,36.69818497,36.58477783,36.0389595
4/26/2018,10:35:05 AM,864,10.81,41.44750214,37.04909515,36.81148911,40.52716827,40.79079437,39.32294083,36.40310287,36.70952225,36.60746765,36.0617485
4/26/2018,10:35:06 AM,135,11.081,41.31642914,44.04146576,41.25084305,40.5161705,40.8237114,39.25632095,36.10731888,36.70952225,36.59612274,36.0389595
4/26/2018,10:35:06 AM,405,11.351,41.36013412,44.36211395,36.99256516,40.5161705,40.75786972,39.23410416,35.07791519,36.68684769,36.61880875,36.0389595
4/26/2018,10:35:06 AM,945,11.891,41.25084305,44.28736496,37.54546738,40.34009933,40.65904999,39.13409042,35.0089798,36.59612274,36.49397278,35.92494202
4/26/2018,10:35:07 AM,216,12.162,41.30550003,44.3194046,36.59612274,40.41716003,40.60411453,39.07849503,34.87099457,36.59612274,36.45990372,35.91353607
4/26/2018,10:35:07 AM,486,12.432,41.29457092,44.08426285,41.11956787,40.42816544,40.68101501,39.14520645,34.88249969,36.61880875,36.5280304,35.98196411
4/26/2018,10:35:07 AM,756,12.702,41.23990631,43.99865341,41.27270889,40.35111237,40.69199753,39.14520645,34.85948563,36.65283585,36.53938293,36.00476456
4/26/2018,10:35:08 AM,26,12.972,41.23990631,43.92369843,40.08657455,40.3731308,40.64806366,39.04512405,34.83647156,36.63015366,36.53938293,35.93634796
4/26/2018,10:35:08 AM,297,13.243,41.22897339,43.95582581,39.37843323,40.3731308,40.73591614,39.07849503,34.87099457,36.63015366,36.56208038,35.99336624
4/26/2018,10:35:08 AM,567,13.513,41.19615936,43.93440628,40.36212158,40.39514923,40.71395874,39.1229744,34.87099457,36.68684769,36.53938293,36.02756119
4/26/2018,10:35:09 AM,108,14.054,41.25084305,43.92369843,40.20788956,40.35111237,40.72493744,39.11185455,34.80194092,36.63015366,36.53938293,36.01616287
4/26/2018,10:35:09 AM,378,14.324,41.25084305,43.94511795,40.19686508,40.39514923,40.6700325,39.15632248,34.82496262,36.59612274,36.5280304,35.98196411
4/26/2018,10:35:09 AM,648,14.594,41.29457092,43.94511795,40.22993469,40.42816544,40.70298004,39.1229744,34.85948563,36.67551041,36.56208038,36.01616287
4/26/2018,10:35:09 AM,918,14.864,41.31642914,43.97724152,40.2960434,40.39514923,40.73591614,39.15632248,34.87099457,36.68684769,36.57342911,36.050354
4/26/2018,10:35:10 AM,189,15.135,41.34920883,44.00935745,40.22993469,40.39514923,40.69199753,39.15632248,34.85948563,36.64149475,36.60746765,36.0389595
4/26/2018,10:35:10 AM,459,15.405,41.41474533,44.07356644,40.2519722,40.42816544,40.71395874,39.18966293,34.88249969,36.70952225,36.60746765,36.08453369
