Plot 1 FLIR USB Video,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,Sp1.Value,Sp2.Value,Sp3.Value,Sp4.Value,Sp5.Value,Sp6.Value,Sp7.Value,Sp8.Value,Sp9.Value,Sp10.Value
Emissivity,,,,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881
Distance,,,,1,1,1,1,1,1,1,1,1,1
Reflected temperature,,,,19.9999939,19.9999939,19.9999939,19.9999939,19.9999939,19.9999939,19.9999939,19.9999939,19.9999939,19.9999939
Location X,,,,24,28,30,278,282,283,114,243,245,249
Location Y,,,,68,117,180,60,110,174,118,59,113,173
Size X,,,,,,,,,,,,,
Size Y,,,,,,,,,,,,,
Surface (pixels),,,,,,,,,,,,,
,,,,,,,,,,,,,
Date,Time,Milliseconds,Relative time,Sp1.Value,Sp2.Value,Sp3.Value,Sp4.Value,Sp5.Value,Sp6.Value,Sp7.Value,Sp8.Value,Sp9.Value,Sp10.Value
4/26/2018,2:17:00 PM,27,1529.19,40.13069916,42.92376328,38.8781395,39.14520645,39.76618576,38.12955475,32.65332031,34.89400101,34.65219498,34.37525177
4/26/2018,2:17:00 PM,297,1529.46,40.14173126,42.9129715,38.94495773,39.17855072,39.76618576,38.15196609,32.66503906,34.90550613,34.64066696,34.42145538
4/26/2018,2:17:00 PM,567,1529.73,40.26299286,42.96693039,38.98948669,39.24521255,39.77724838,38.2415657,32.74702835,34.96300125,34.72133255,34.44454956
4/26/2018,2:17:01 PM,108,1530.271,40.18584061,43.01008224,38.97835541,39.27853012,39.799366,38.19677353,32.73532104,35.0089798,34.75588608,34.37525177
4/26/2018,2:17:01 PM,378,1530.541,40.18584061,42.99929428,39.10073471,39.27853012,39.8104248,38.2415657,32.77044678,35.02047348,34.74436951,34.43300247
4/26/2018,2:17:01 PM,648,1530.811,40.20788956,42.97771835,39.07849503,39.26742554,39.89885712,38.28634262,32.78215027,35.0089798,34.74436951,34.44454956
4/26/2018,2:17:01 PM,918,1531.081,40.2519722,43.06399918,39.06737137,39.25632095,39.86570358,38.30872726,32.78215027,35.0089798,34.76739883,34.51380157
4/26/2018,2:17:02 PM,189,1531.352,40.19686508,43.05321884,39.08961487,39.27853012,39.88780594,38.34229279,32.79385757,35.04345322,34.77891541,34.47917938
4/26/2018,2:17:02 PM,729,1531.892,40.24095535,43.05321884,39.10073471,39.2896347,39.92095566,38.35348129,32.78215027,35.06642914,34.77891541,34.50226212
4/26/2018,2:17:02 PM,999,1532.162,40.2519722,43.07478333,39.04512405,39.32294083,39.95409775,38.37585068,32.82896423,35.10088348,34.82496262,34.50226212
4/26/2018,2:17:03 PM,270,1532.433,40.34009933,43.18254471,39.11185455,39.32294083,39.97618484,38.40939713,32.84066391,35.11236954,34.79042816,34.59455109
4/26/2018,2:17:03 PM,540,1532.703,40.3290863,43.12867355,39.05624771,39.30073929,39.97618484,38.34229279,32.81726456,35.06642914,34.77891541,34.50226212
4/26/2018,2:17:03 PM,810,1532.973,40.28503036,43.08556366,39.07849503,39.2896347,39.87675476,38.31991577,32.73532104,35.02047348,34.75588608,34.49072266
4/26/2018,2:17:04 PM,351,1533.514,40.15275955,43.11789703,39.06737137,39.31184006,39.89885712,38.29753494,32.77044678,35.03196335,34.76739883,34.44454956
4/26/2018,2:17:04 PM,621,1533.784,40.20788956,43.09634018,38.98948669,39.30073929,39.90990829,38.29753494,32.72360992,35.0089798,34.72133255,34.43300247
4/26/2018,2:17:04 PM,891,1534.054,40.28503036,43.171772,39.05624771,39.32294083,39.95409775,38.36466599,32.77044678,35.0089798,34.75588608,34.47917938
4/26/2018,2:17:05 PM,162,1534.325,40.24095535,43.2040863,39.1229744,39.32294083,39.99827194,38.420578,32.78215027,35.02047348,34.79042816,34.47917938
4/26/2018,2:17:05 PM,432,1534.595,40.26299286,43.1609993,39.04512405,39.34513855,39.95409775,38.39821625,32.72360992,35.03196335,34.79042816,34.49072266
4/26/2018,2:17:05 PM,972,1535.135,40.40615463,43.24716187,39.07849503,39.37843323,39.97618484,38.40939713,32.74702835,35.06642914,34.82496262,34.52534103
4/26/2018,2:17:06 PM,243,1535.406,40.34009933,43.22562408,39.08961487,39.36733627,39.95409775,38.36466599,32.70018387,35.0089798,34.80194092,34.50226212
4/26/2018,2:17:06 PM,513,1535.676,40.26299286,43.1609993,39.10073471,39.37843323,39.90990829,38.39821625,32.74702835,35.03196335,34.76739883,34.49072266
4/26/2018,2:17:06 PM,783,1535.946,40.34009933,43.30098343,39.13409042,39.40061951,39.97618484,38.38703537,32.77044678,35.05493927,34.77891541,34.51380157
4/26/2018,2:17:07 PM,54,1536.217,40.31807327,43.19331741,39.04512405,39.36733627,39.9651413,38.36466599,32.77044678,34.97449875,34.74436951,34.47917938
4/26/2018,2:17:07 PM,324,1536.487,40.41716003,43.19331741,39.08961487,39.40061951,39.99827194,38.40939713,32.77044678,35.04345322,34.77891541,34.52534103
4/26/2018,2:17:07 PM,594,1536.757,40.36212158,43.22562408,39.08961487,39.42280579,39.99827194,38.35348129,32.74702835,35.05493927,34.79042816,34.54841614
4/26/2018,2:17:08 PM,135,1537.298,40.26299286,43.23639297,39.07849503,39.32294083,39.98722839,38.35348129,32.73532104,34.99748611,34.81345367,34.52534103
4/26/2018,2:17:08 PM,405,1537.568,40.3731308,43.21485519,39.10073471,39.38952637,39.99827194,38.39821625,32.71189499,35.10088348,34.77891541,34.50226212
4/26/2018,2:17:08 PM,675,1537.838,40.43917084,43.30098343,39.18966293,39.4671669,40.07553864,38.50999069,32.81726456,35.15829086,34.91700745,34.57148361
4/26/2018,2:17:08 PM,945,1538.108,40.53816223,43.41931152,39.30073929,39.58907318,40.15275955,38.57700729,32.86406326,35.25008392,34.92850494,34.72133255
4/26/2018,2:17:09 PM,486,1538.649,40.58213425,43.47306061,39.2896347,39.5779953,40.20788956,38.64398575,32.88745499,35.28448868,35.03196335,34.76739883
4/26/2018,2:17:09 PM,756,1538.919,40.60411453,43.51604462,39.41171265,39.63337326,40.2519722,38.6997757,32.92253876,35.2730217,34.99748611,34.76739883
4/26/2018,2:17:10 PM,27,1539.19,40.58213425,43.50530243,39.32294083,39.63337326,40.22993469,38.63282394,32.9108429,35.29595184,35.02047348,34.74436951
4/26/2018,2:17:10 PM,297,1539.46,40.6700325,43.61270905,39.38952637,39.6776619,40.26299286,38.68862152,32.99266815,35.30741882,35.04345322,34.79042816
4/26/2018,2:17:10 PM,837,1540,40.73591614,43.68784332,39.4671669,39.74406052,40.3290863,38.6997757,33.00435257,35.35326767,35.08940125,34.83647156
4/26/2018,2:17:11 PM,108,1540.271,40.72493744,43.70930099,39.41171265,39.6776619,40.2519722,38.66630554,32.94591904,35.34180832,35.05493927,34.83647156
4/26/2018,2:17:11 PM,378,1540.541,40.71395874,43.64491653,39.38952637,39.68872833,40.26299286,38.64398575,32.94591904,35.29595184,35.07791519,34.81345367
4/26/2018,2:17:11 PM,648,1540.811,40.71395874,43.64491653,39.44498825,39.73299789,40.2519722,38.61050034,32.9108429,35.30741882,35.04345322,34.79042816
4/26/2018,2:17:12 PM,189,1541.352,40.72493744,43.63418198,39.41171265,39.69979858,40.2519722,38.64398575,32.89915085,35.31888199,35.05493927,34.76739883
4/26/2018,2:17:12 PM,459,1541.622,40.74689484,43.73075867,39.41171265,39.76618576,40.2740097,38.66630554,32.95760727,35.41055679,35.08940125,34.82496262
4/26/2018,2:17:12 PM,729,1541.892,40.80176926,43.76293182,39.44498825,39.8104248,40.31807327,38.65514755,32.9692955,35.43346405,35.08940125,34.82496262
4/26/2018,2:17:12 PM,999,1542.162,40.81274033,43.7414856,39.43389893,39.78830719,40.2740097,38.68862152,32.93422699,35.38764191,35.07791519,34.81345367
4/26/2018,2:17:13 PM,270,1542.433,40.86758423,43.75220871,39.44498825,39.78830719,40.28503036,38.67746353,32.9692955,35.37618637,35.08940125,34.77891541
4/26/2018,2:17:13 PM,810,1542.973,40.84564972,43.75220871,39.37843323,39.77724838,40.2740097,38.65514755,32.88745499,35.35326767,35.06642914,34.76739883
4/26/2018,2:17:14 PM,81,1543.244,40.70298004,43.70930099,39.48933792,39.72193146,40.28503036,38.59933853,32.93422699,35.37618637,35.12385178,34.80194092
4/26/2018,2:17:14 PM,351,1543.514,40.80176926,43.75220871,39.51150894,39.75512314,40.34009933,38.66630554,32.99266815,35.38764191,35.10088348,34.82496262
4/26/2018,2:17:14 PM,621,1543.784,40.73591614,43.70930099,39.47825241,39.69979858,40.2740097,38.59933853,32.9108429,35.30741882,35.06642914,34.77891541
4/26/2018,2:17:15 PM,162,1544.325,40.74689484,43.67711258,39.41171265,39.69979858,40.21891022,38.53233337,32.84066391,35.28448868,35.04345322,34.72133255
4/26/2018,2:17:15 PM,432,1544.595,40.76884842,43.75220871,39.4671669,39.68872833,40.24095535,38.56583786,32.9108429,35.29595184,35.07791519,34.81345367
4/26/2018,2:17:15 PM,702,1544.865,40.81274033,43.80582428,39.52259445,39.73299789,40.30706024,38.61050034,32.95760727,35.34180832,35.12385178,34.83647156
