25000,32,29,33,32,336,TurnOnPhone,Sometime
27000,29,27,29,29,307,2DBL255_3DBL0_airplane_0min,Sometime
28000,29,28,29,29,310,2DBL255_3DBL0_airplane_8min,date
28000,29,28,30,29,313,2DBL255_3DBL0_airplane_10min,12:10:18
28000,30,28,30,29,313,2DBL255_3DBL0_airplane_12min,12:12:03
28000,29,28,29,29,307,2DBL255_3DBL0_airplane_20min,12:20:16
28000,29,28,30,29,307,2DBL0_3DBL0_airplane_0min,12:20:57
28000,28,27,28,28,294,2DBL0_3DBL0_airplane_5min,12:24:58
26000,26,25,26,26,275,2DBL0_3DBL0_airplane_40min,12:59:47
26000,26,25,26,26,278,2DBL0_3DBL0_airplane_40min,13:00:55
26000,28,27,28,27,291,2DBL0_3DBL0_airplane_2,13:08:40
26000,27,26,27,27,288,2DBL0_3DBL0_airplane_2,13:10:41
26000,27,26,27,26,281,2DBL0_3DBL0_airplane_2,13:12:41
26000,26,26,27,26,281,2DBL0_3DBL0_airplane_2,13:14:41
26000,27,26,27,26,281,2DBL0_3DBL0_airplane_2,13:16:42
26000,27,26,27,27,285,2DBL0_3DBL0_airplane_2,13:18:42
26000,27,26,27,26,281,2DBL0_3DBL0_airplane_2,13:20:43
26000,27,26,27,26,281,2DBL0_3DBL0_airplane_2,13:22:43
26000,26,25,26,26,278,2DBL0_3DBL0_airplane_2,13:24:29
26000,26,25,26,26,281,2DBL0_3DBL0_airplane_2,13:26:30
26000,26,25,27,26,281,2DBL0_3DBL0_airplane_2,13:28:30
26000,27,25,27,26,281,2DBL0_3DBL0_airplane_2,13:30:31
26000,26,25,27,26,281,2DBL0_3DBL0_airplane_2,13:32:31
26000,26,25,27,26,278,2DBL0_3DBL0_airplane_2,13:34:32
26000,27,26,27,26,281,2DBL0_3DBL0_airplane_2,13:36:32
26000,27,26,27,27,285,2DBL0_3DBL0_airplane_2,13:38:32
26000,27,26,27,26,281,2DBL0_3DBL0_airplane_2,13:40:33
26000,26,25,27,26,281,2DBL0_3DBL0_airplane_2,13:42:33
26000,26,25,27,26,281,2DBL0_3DBL0_airplane_2,13:44:34
26000,27,25,27,27,285,2DBL0_3DBL0_airplane_2,13:46:34
26000,28,29,28,28,294,2DBL0_3DBL255_airplane,13:51:59
27000,30,31,30,30,313,2DBL0_3DBL255_airplane,13:53:59
27000,31,33,32,31,333,2DBL0_3DBL255_airplane,13:56:00
28000,32,34,33,32,339,2DBL0_3DBL255_airplane,13:58:00
29000,33,34,33,33,345,2DBL0_3DBL255_airplane,14:00:01
29000,34,35,34,33,355,2DBL0_3DBL255_airplane,14:02:01
30000,34,36,34,34,355,2DBL0_3DBL255_airplane,14:04:01
30000,35,36,35,34,361,2DBL0_3DBL255_airplane,14:06:02
31000,35,36,35,35,365,2DBL0_3DBL255_airplane,14:08:02
31000,35,37,35,35,365,2DBL0_3DBL255_airplane,14:10:03
32000,36,37,36,35,371,2DBL0_3DBL255_airplane,14:12:03
32000,36,37,36,36,374,2DBL0_3DBL255_airplane,14:14:03
32000,36,37,36,36,377,2DBL0_3DBL255_airplane,14:16:04
32000,36,37,36,36,374,2DBL0_3DBL255_airplane,14:18:04
32000,36,37,36,36,374,2DBL0_3DBL255_airplane,14:20:05
32000,36,37,36,36,377,2DBL0_3DBL255_airplane,14:22:05
33000,36,38,36,36,377,2DBL0_3DBL255_airplane,14:24:06
33000,35,34,35,35,371,2DBL0_3DBL255_airplane,14:26:06
32000,33,32,33,33,342,2DBL0_3DBL255_airplane,14:28:06
32000,32,31,32,31,329,2DBL0_3DBL255_airplane,14:30:07
31000,33,34,33,32,342,2DBL0_3DBL255_airplane,14:32:07
31000,34,35,34,33,355,2DBL0_3DBL255_airplane,14:34:08
31000,35,36,35,34,361,2DBL0_3DBL255_airplane,14:36:08
31000,35,36,35,35,365,2DBL0_3DBL255_airplane,14:38:09
31000,35,37,36,35,368,2DBL0_3DBL255_airplane,14:40:09
32000,36,38,36,36,374,2DBL0_3DBL255_airplane,14:42:09
32000,36,38,37,36,381,2DBL0_3DBL255_airplane,14:44:10
32000,36,38,37,36,377,2DBL0_3DBL255_airplane,14:46:10
33000,37,38,37,36,381,2DBL0_3DBL255_airplane,14:48:11
33000,36,38,37,36,381,2DBL0_3DBL255_airplane,14:50:11
33000,37,38,37,36,381,2DBL0_3DBL255_airplane,14:52:12
33000,36,38,37,36,381,2DBL0_3DBL255_airplane,14:54:12
33000,36,38,36,36,377,2DBL0_3DBL255_airplane,14:54:59
33000,37,38,37,36,384,2DBL0_3DBL255_airplane,14:56:59
33000,37,38,37,37,390,2DBL0_3DBL255_airplane,14:59:00
33000,37,38,37,37,387,2DBL0_3DBL255_airplane,15:01:00
33000,37,39,37,37,390,2DBL0_3DBL255_airplane,15:03:01
33000,37,39,37,37,390,2DBL0_3DBL255_airplane,15:05:01
33000,37,39,37,37,387,2DBL0_3DBL255_airplane,15:07:02
33000,46,42,46,46,528,DungeonMasters,15:19:05
33000,48,44,49,48,550,DungeonMasters,15:21:06
34000,50,45,50,50,566,DungeonMasters,15:23:06
34000,50,46,51,51,573,DungeonMasters,15:25:06
35000,50,46,51,50,573,DungeonMasters,15:27:07
35000,51,47,51,51,579,DungeonMasters,15:29:07
36000,52,47,52,52,582,DungeonMasters,15:31:08
36000,52,48,52,52,589,DungeonMasters,15:33:08
36000,52,48,52,52,579,DungeonMasters,15:35:09
37000,52,48,53,52,586,DungeonMasters,15:37:09
37000,53,49,53,53,586,DungeonMasters,15:39:10
37000,52,48,53,52,586,DungeonMasters,15:41:10
37000,52,48,53,52,586,DungeonMasters,15:43:11
34000,40,41,40,40,435,RedPlayer,16:01:27
34000,41,42,42,41,448,RedPlayer,16:03:36
34000,42,43,42,42,458,RedPlayer,16:05:36
34000,43,43,43,42,461,RedPlayer,16:07:37
34000,39,39,40,39,413,RedPlayer,16:09:37
34000,37,36,37,37,387,RedPlayer,16:11:37
