Plot 1 FLIR USB Video,,,,,,
,,,,,,
,,,Sp1.Value,Sp2.Value,Sp3.Value,Sp4.Value
Emissivity,,,0.9499999881,0.9499999881,0.9499999881,0.9499999881
Distance,,,1,1,1,1
Reflected temperature,,,19.9999939,19.9999939,19.9999939,19.9999939
Location X,,,32,287,288,157
Location Y,,,110,53,106,110
Size X,,,,,,
Size Y,,,,,,
Surface (pixels),,,,,,
,,,,,,
Date,Time,Time,Sp1.Value,Sp2.Value,Sp3.Value,Sp4.Value
4/18/2018,5:05:45 PM,17:05:45,45.0966568,39.41171265,40.13069916,34.47917938
4/18/2018,5:05:45 PM,17:05:45,45.04356766,39.34513855,40.06450272,34.44454956
4/18/2018,5:05:46 PM,17:05:46,44.99045563,39.40061951,40.08657455,34.47917938
4/18/2018,5:05:46 PM,17:05:46,44.92669296,39.3340416,39.97618484,34.43300247
4/18/2018,5:05:47 PM,17:05:47,44.87353516,39.24521255,39.86570358,34.44454956
4/18/2018,5:05:47 PM,17:05:47,44.90542984,39.2896347,39.86570358,34.47917938
4/18/2018,5:05:47 PM,17:05:47,44.87353516,39.2896347,39.94305038,34.53688049
4/18/2018,5:05:47 PM,17:05:47,44.73521805,39.16743851,39.799366,34.47917938
4/18/2018,5:05:48 PM,17:05:48,44.75650787,39.13409042,39.8435936,34.55995178
4/18/2018,5:05:48 PM,17:05:48,44.7032814,39.13409042,39.75512314,34.50226212
4/18/2018,5:05:48 PM,17:05:48,44.68198395,39.10073471,39.78830719,34.54841614
4/18/2018,5:05:49 PM,17:05:49,44.62872696,39.10073471,39.73299789,34.55995178
4/18/2018,5:05:49 PM,17:05:49,44.60741806,39.06737137,39.72193146,34.54841614
4/18/2018,5:05:49 PM,17:05:49,44.52214432,38.96722412,39.63337326,34.53688049
4/18/2018,5:05:49 PM,17:05:49,44.52214432,38.95609283,39.60015106,34.52534103
4/18/2018,5:05:50 PM,17:05:50,44.49015427,38.92268753,39.54475784,34.57148361
4/18/2018,5:05:50 PM,17:05:50,44.41547775,38.83357239,39.47825241,34.52534103
4/18/2018,5:05:51 PM,17:05:51,44.41547775,38.80013657,39.41171265,34.53688049
4/18/2018,5:05:51 PM,17:05:51,44.40480804,38.72208405,39.43389893,34.52534103
4/18/2018,5:05:51 PM,17:05:51,44.35143661,38.7443924,39.40061951,34.52534103
4/18/2018,5:05:51 PM,17:05:51,44.36211395,38.71092987,39.34513855,34.55995178
4/18/2018,5:05:52 PM,17:05:52,44.18050766,38.65514755,39.24521255,34.51380157
4/18/2018,5:05:52 PM,17:05:52,44.12704849,38.56583786,39.25632095,34.49072266
4/18/2018,5:05:52 PM,17:05:52,44.11635208,38.55467224,39.18966293,34.47917938
4/18/2018,5:05:53 PM,17:05:53,44.02006149,38.44293976,39.08961487,34.43300247
4/18/2018,5:05:53 PM,17:05:53,43.95582581,38.38703537,39.06737137,34.40990448
4/18/2018,5:05:54 PM,17:05:54,43.94511795,38.40939713,39.06737137,34.40990448
4/18/2018,5:05:54 PM,17:05:54,43.85941696,38.37585068,39.00061417,34.38680649
4/18/2018,5:05:54 PM,17:05:54,43.82726288,38.31991577,38.91155243,34.43300247
4/18/2018,5:05:54 PM,17:05:54,43.82726288,38.29753494,38.95609283,34.50226212
4/18/2018,5:05:55 PM,17:05:55,43.78438187,38.30872726,38.90041351,34.51380157
4/18/2018,5:05:55 PM,17:05:55,43.77365875,38.2751503,38.8781395,34.50226212
4/18/2018,5:05:55 PM,17:05:55,43.81654358,38.2751503,38.84471512,34.50226212
4/18/2018,5:05:56 PM,17:05:56,43.78438187,38.26395798,38.82242584,34.50226212
4/18/2018,5:05:56 PM,17:05:56,43.64491653,38.19677353,38.73323822,34.49072266
4/18/2018,5:05:56 PM,17:05:56,43.58049774,38.10713959,38.63282394,34.50226212
4/18/2018,5:05:57 PM,17:05:57,43.58049774,38.12955475,38.67746353,34.50226212
4/18/2018,5:05:57 PM,17:05:57,43.51604462,38.05108643,38.56583786,34.47917938
4/18/2018,5:05:57 PM,17:05:57,43.41931152,38.02865982,38.52116013,34.47917938
4/18/2018,5:05:58 PM,17:05:58,43.3332634,38.00622559,38.47646713,34.40990448
4/18/2018,5:05:58 PM,17:05:58,43.29021835,37.90522766,38.40939713,34.43300247
4/18/2018,5:05:58 PM,17:05:58,43.18254471,37.81538773,38.39821625,34.39835739
4/18/2018,5:05:58 PM,17:05:58,43.11789703,37.80414963,38.34229279,34.40990448
4/18/2018,5:05:59 PM,17:05:59,43.09634018,37.75920105,38.33110428,34.40990448
4/18/2018,5:05:59 PM,17:05:59,43.10712051,37.81538773,38.34229279,34.49072266
4/18/2018,5:05:59 PM,17:05:59,43.08556366,37.73672104,38.34229279,34.45609283
4/18/2018,5:05:59 PM,17:05:59,43.02086639,37.72547913,38.23036957,34.43300247
4/18/2018,5:06:00 PM,17:06:00,42.95613861,37.7142334,38.17437363,34.39835739
4/18/2018,5:06:00 PM,17:06:00,42.99929428,37.75920105,38.20797348,34.42145538
4/18/2018,5:06:01 PM,17:06:01,42.9021759,37.63550568,38.12955475,34.40990448
4/18/2018,5:06:01 PM,17:06:01,42.81578445,37.57923889,38.07351303,34.36370087
4/18/2018,5:06:01 PM,17:06:01,42.84819031,37.63550568,38.09593201,34.42145538
4/18/2018,5:06:01 PM,17:06:01,42.74014664,37.56798553,37.99500656,34.35214615
4/18/2018,5:06:02 PM,17:06:02,42.76176453,37.50042343,37.99500656,34.36370087
4/18/2018,5:06:02 PM,17:06:02,42.66446686,37.46663284,37.84908295,34.31747818
