Plot 1 FLIR USB Video,,,,,,
,,,,,,
,,,Sp1.Value,Sp2.Value,Sp3.Value,Sp4.Value
Emissivity,,,0.9499999881,0.9499999881,0.9499999881,0.9499999881
Distance,,,1,1,1,1
Reflected temperature,,,19.9999939,19.9999939,19.9999939,19.9999939
Location X,,,32,287,288,157
Location Y,,,110,53,106,110
Size X,,,,,,
Size Y,,,,,,
Surface (pixels),,,,,,
,,,,,,
Date,Time,Time,Sp1.Value,Sp2.Value,Sp3.Value,Sp4.Value
4/18/2018,2:53:18 PM,14:53:18,41.08672714,42.27454758,41.44750214,35.94775391
4/18/2018,2:53:18 PM,14:53:18,41.1414566,42.31792831,41.49116135,35.95915604
4/18/2018,2:53:18 PM,14:53:18,41.07577896,42.37213516,41.52389908,35.93634796
4/18/2018,2:53:19 PM,14:53:19,41.1414566,42.33961487,41.49116135,35.91353607
4/18/2018,2:53:19 PM,14:53:19,41.11956787,42.33961487,41.43658447,35.91353607
4/18/2018,2:53:19 PM,14:53:19,41.1086235,42.33961487,41.43658447,35.91353607
4/18/2018,2:53:19 PM,14:53:19,41.15240097,42.37213516,41.5020752,35.90212631
4/18/2018,2:53:20 PM,14:53:20,41.1414566,42.31792831,41.46933365,35.89071655
4/18/2018,2:53:20 PM,14:53:20,41.13051224,42.29623795,41.46933365,35.91353607
4/18/2018,2:53:21 PM,14:53:21,41.06483078,42.3287735,41.5020752,35.90212631
4/18/2018,2:53:21 PM,14:53:21,41.1086235,42.30708313,41.53480911,35.95915604
4/18/2018,2:53:21 PM,14:53:21,41.16334152,42.37213516,41.46933365,35.92494202
4/18/2018,2:53:21 PM,14:53:21,41.07577896,42.3287735,41.42566681,35.87930679
4/18/2018,2:53:22 PM,14:53:22,41.13051224,42.33961487,41.44750214,35.85647964
4/18/2018,2:53:22 PM,14:53:22,41.09767532,42.28539276,41.53480911,35.85647964
4/18/2018,2:53:22 PM,14:53:22,41.13051224,42.28539276,41.5020752,35.86789322
4/18/2018,2:53:23 PM,14:53:23,41.26177597,42.40465164,41.5675354,35.97056198
4/18/2018,2:53:23 PM,14:53:23,41.16334152,42.33961487,41.5675354,35.90212631
4/18/2018,2:53:23 PM,14:53:23,41.15240097,42.38297653,41.53480911,35.92494202
4/18/2018,2:53:24 PM,14:53:24,41.19615936,42.40465164,41.58934784,35.93634796
4/18/2018,2:53:24 PM,14:53:24,41.22897339,42.44799042,41.63295746,35.99336624
4/18/2018,2:53:24 PM,14:53:24,41.23990631,42.43715668,41.67655945,35.98196411
4/18/2018,2:53:24 PM,14:53:24,41.15240097,42.50214386,41.63295746,35.98196411
4/18/2018,2:53:25 PM,14:53:25,41.09767532,42.39381409,41.53480911,35.93634796
4/18/2018,2:53:25 PM,14:53:25,41.1414566,42.43715668,41.57844162,35.95915604
4/18/2018,2:53:25 PM,14:53:25,41.16334152,42.45882034,41.58934784,35.95915604
4/18/2018,2:53:26 PM,14:53:26,41.16334152,42.44799042,41.63295746,35.98196411
4/18/2018,2:53:26 PM,14:53:26,41.17428207,42.44799042,41.62205887,35.87930679
4/18/2018,2:53:27 PM,14:53:27,41.1086235,42.35045624,41.57844162,35.89071655
4/18/2018,2:53:27 PM,14:53:27,41.1086235,42.35045624,41.57844162,35.82223511
4/18/2018,2:53:27 PM,14:53:27,41.1086235,42.33961487,41.5675354,35.86789322
4/18/2018,2:53:27 PM,14:53:27,41.15240097,42.39381409,41.57844162,35.89071655
4/18/2018,2:53:28 PM,14:53:28,41.16334152,42.38297653,41.63295746,35.91353607
4/18/2018,2:53:28 PM,14:53:28,41.15240097,42.36129761,41.5675354,35.89071655
4/18/2018,2:53:28 PM,14:53:28,41.18522263,42.43715668,41.67655945,35.93634796
4/18/2018,2:53:29 PM,14:53:29,41.20709991,42.48048401,41.72014236,35.95915604
4/18/2018,2:53:29 PM,14:53:29,41.15240097,42.41548538,41.70924759,35.98196411
4/18/2018,2:53:29 PM,14:53:29,41.09767532,42.35045624,41.64385986,35.90212631
4/18/2018,2:53:29 PM,14:53:29,41.11956787,42.3287735,41.62205887,35.93634796
4/18/2018,2:53:30 PM,14:53:30,41.02102661,42.24200058,41.55662537,35.82223511
4/18/2018,2:53:30 PM,14:53:30,41.07577896,42.24200058,41.54571915,35.78798294
4/18/2018,2:53:31 PM,14:53:31,41.03197861,42.26369858,41.4802475,35.81081772
4/18/2018,2:53:31 PM,14:53:31,40.99911499,42.25284958,41.49116135,35.82223511
4/18/2018,2:53:31 PM,14:53:31,41.07577896,42.27454758,41.53480911,35.8336525
4/18/2018,2:53:31 PM,14:53:31,41.11956787,42.3287735,41.57844162,35.86789322
4/18/2018,2:53:32 PM,14:53:32,41.13051224,42.35045624,41.63295746,35.93634796
4/18/2018,2:53:32 PM,14:53:32,41.1414566,42.3287735,41.61115265,35.87930679
4/18/2018,2:53:32 PM,14:53:32,41.0429306,42.27454758,41.51298904,35.8336525
4/18/2018,2:53:33 PM,14:53:33,41.0538826,42.26369858,41.5020752,35.84506607
4/18/2018,2:53:33 PM,14:53:33,41.17428207,42.40465164,41.61115265,35.99336624
4/18/2018,2:53:33 PM,14:53:33,41.13051224,42.38297653,41.63295746,35.93634796
4/18/2018,2:53:34 PM,14:53:34,41.1414566,42.35045624,41.58934784,35.94775391
4/18/2018,2:53:34 PM,14:53:34,41.16334152,42.3287735,41.5675354,35.92494202
4/18/2018,2:53:34 PM,14:53:34,41.15240097,42.30708313,41.57844162,35.99336624
4/18/2018,2:53:35 PM,14:53:35,41.1414566,42.33961487,41.57844162,35.93634796
