Time,Description,Zone 9,Zone 9 Annotations
15:40:05,2D_70,43,
15:41:06,2D_70,40,
15:42:06,2D_70,38,
15:43:06,2D_70,37,
15:44:07,2D_70,37,
15:45:07,2D_70,36,
15:46:08,2D_70,35,
15:47:08,2D_70,35,
15:48:09,2D_70,35,
15:49:09,2D_70,34,
15:50:10,2D_70,34,
15:51:10,2D_70,33,
15:52:10,2D_70,33,
15:53:11,2D_70,33,
15:54:11,2D_70,32,
15:55:12,2D_70,32,
15:56:12,2D_70,32,
15:57:13,2D_70,32,
15:58:13,2D_70,32,
15:59:14,2D_70,31,
16:00:14,2D_70,31,
16:01:15,2D_70,31,
16:02:15,2D_70,31,
16:03:16,2D_70,31,
16:04:16,2D_70,31,
16:05:16,2D_70,31,
16:06:17,2D_70,30,
16:07:17,2D_70,30,
16:08:18,2D_70,30,
16:09:18,2D_70,30,
16:10:19,2D_70,30,
16:11:19,2D_70,30,After 30min - 30C
