Time,Description,Zone 9,Zone 9 Annotations
15:10:15,Dungeon3D255,47,
15:11:15,Dungeon3D255,47,
15:12:15,Dungeon3D255,48,
15:13:16,Dungeon3D255,48,
15:14:16,Dungeon3D255,49,
15:15:16,Dungeon3D255,49,
15:16:17,Dungeon3D255,49,
15:17:17,Dungeon3D255,49,
15:18:18,Dungeon3D255,50,
15:19:18,Dungeon3D255,50,
15:20:18,Dungeon3D255,49,
15:21:19,Dungeon3D255,50,
15:22:19,Dungeon3D255,50,
15:23:20,Dungeon3D255,50,
15:24:20,Dungeon3D255,49,
15:25:21,Dungeon3D255,49,
15:26:21,Dungeon3D255,50,
15:27:21,Dungeon3D255,50,
15:28:22,Dungeon3D255,50,
15:29:22,Dungeon3D255,50,
15:30:23,Dungeon3D255,49,
15:31:23,Dungeon3D255,50,
15:32:24,Dungeon3D255,50,
15:33:24,Dungeon3D255,49,
15:34:25,Dungeon3D255,49,
15:35:25,Dungeon3D255,50,
15:36:25,Dungeon3D255,50,After 26min - 50C
