Plot 1 FLIR USB Video,,,,,,,,
,,,,,,,,
,,,,Sp1.Value,Sp2.Value,Sp3.Value,Sp4.Value,Sp5.Value
Emissivity,,,,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881
Distance,,,,1,1,1,1,1
Reflected temperature,,,,19.9999939,19.9999939,19.9999939,19.9999939,19.9999939
Location X,,,,36,282,283,166,34
Location Y,,,,115,58,113,116,58
Size X,,,,,,,,
Size Y,,,,,,,,
Surface (pixels),,,,,,,,
,,,,,,,,
Date,Time,Milliseconds,Relative time,Sp1.Value,Sp2.Value,Sp3.Value,Sp4.Value,Sp5.Value
4/20/2018,12:07:39 PM,675,0,27.84630585,24.82829857,24.64011765,25.41590309,24.916008
4/20/2018,12:07:39 PM,945,0.27,27.80967903,24.77814674,24.61500359,25.41590309,24.82829857
4/20/2018,12:07:40 PM,216,0.541,27.80967903,24.79068756,24.5773201,25.41590309,24.82829857
4/20/2018,12:07:40 PM,756,1.081,27.84630585,24.81576347,24.64011765,25.44083977,24.87842751
4/20/2018,12:07:41 PM,26,1.351,27.85851097,24.89095497,24.5898819,25.44083977,25.01616478
4/20/2018,12:07:41 PM,297,1.622,27.78525352,24.80322647,24.56475639,25.40343285,24.916008
4/20/2018,12:07:41 PM,567,1.892,27.83409691,24.7530632,24.56475639,25.42837334,24.87842751
4/20/2018,12:07:41 PM,837,2.162,27.87071609,24.80322647,24.5898819,25.39096069,24.9410553
4/20/2018,12:07:42 PM,378,2.703,27.85851097,24.84083176,24.5773201,25.37848854,24.96609688
4/20/2018,12:07:42 PM,648,2.973,27.82188797,24.82829857,24.56475639,25.36601257,24.95357704
4/20/2018,12:07:42 PM,918,3.243,27.87071609,24.84083176,24.5898819,25.4533062,24.9410553
4/20/2018,12:07:43 PM,189,3.514,27.78525352,24.76560593,24.52705765,25.36601257,24.87842751
4/20/2018,12:07:43 PM,459,3.784,27.79746628,24.74052048,24.52705765,25.35353661,24.85336494
4/20/2018,12:07:43 PM,999,4.324,27.77303886,24.74052048,24.50191689,25.35353661,24.86589622
4/20/2018,12:07:44 PM,270,4.595,27.83409691,24.80322647,24.5898819,25.35353661,24.89095497
4/20/2018,12:07:44 PM,540,4.865,27.79746628,24.80322647,24.56475639,25.37848854,24.87842751
4/20/2018,12:07:44 PM,810,5.135,27.82188797,24.7530632,24.51448822,25.35353661,24.89095497
4/20/2018,12:07:45 PM,81,5.406,27.80967903,24.7154274,24.55219078,25.36601257,24.87842751
4/20/2018,12:07:45 PM,351,5.676,27.7608242,24.7530632,24.48934555,25.35353661,24.85336494
4/20/2018,12:07:45 PM,891,6.216,27.84630585,24.79068756,24.6024437,25.42837334,24.92853355
4/20/2018,12:07:46 PM,162,6.487,27.84630585,24.76560593,24.56475639,25.40343285,24.92853355
4/20/2018,12:07:46 PM,432,6.757,27.82188797,24.81576347,24.6024437,25.42837334,24.85336494
4/20/2018,12:07:46 PM,702,7.027,27.80967903,24.81576347,24.5773201,25.35353661,24.90348244
4/20/2018,12:07:46 PM,972,7.297,27.80967903,24.7154274,24.53962517,25.40343285,24.89095497
4/20/2018,12:07:47 PM,243,7.568,27.7608242,24.77814674,24.52705765,25.36601257,24.86589622
4/20/2018,12:07:47 PM,513,7.838,27.7608242,24.74052048,24.52705765,25.37848854,24.86589622
4/20/2018,12:07:47 PM,783,8.108,27.79746628,24.69033051,24.48934555,25.35353661,24.85336494
4/20/2018,12:07:48 PM,53,8.378,27.89512253,24.81576347,24.5898819,25.44083977,24.97861671
4/20/2018,12:07:48 PM,594,8.919,27.85851097,24.80322647,24.53962517,25.40343285,24.92853355
4/20/2018,12:07:48 PM,864,9.189,27.82188797,24.7154274,24.47677231,25.35353661,24.86589622
4/20/2018,12:07:49 PM,135,9.46,27.80967903,24.72797394,24.50191689,25.39096069,24.82829857
4/20/2018,12:07:49 PM,405,9.73,27.82188797,24.72797394,24.55219078,25.39096069,24.85336494
4/20/2018,12:07:49 PM,675,10,27.80967903,24.72797394,24.52705765,25.36601257,24.86589622
4/20/2018,12:07:49 PM,945,10.27,27.83409691,24.76560593,24.55219078,25.35353661,24.86589622
4/20/2018,12:07:50 PM,486,10.811,27.80967903,24.72797394,24.51448822,25.36601257,24.89095497
4/20/2018,12:07:50 PM,756,11.081,27.80967903,24.69033051,24.53962517,25.39096069,24.86589622
4/20/2018,12:07:51 PM,26,11.351,27.82188797,24.74052048,24.55219078,25.42837334,24.95357704
4/20/2018,12:07:51 PM,297,11.622,27.80967903,24.77814674,24.53962517,25.37848854,24.89095497
4/20/2018,12:07:51 PM,567,11.892,27.7608242,24.72797394,24.50191689,25.35353661,24.84083176
4/20/2018,12:07:51 PM,837,12.162,27.87071609,24.82829857,24.6024437,25.39096069,24.92853355
4/20/2018,12:07:52 PM,378,12.703,27.78525352,24.85336494,24.56475639,25.40343285,24.92853355
4/20/2018,12:07:52 PM,648,12.973,27.83409691,24.84083176,24.56475639,25.41590309,24.95357704
4/20/2018,12:07:52 PM,918,13.243,27.89512253,24.85336494,24.6024437,25.46577072,25.02867889
4/20/2018,12:07:53 PM,189,13.514,27.89512253,24.86589622,24.62756157,25.4533062,25.00365067
4/20/2018,12:07:53 PM,459,13.784,27.87071609,24.82829857,24.55219078,25.4533062,24.90348244
4/20/2018,12:07:53 PM,999,14.324,27.85851097,24.84083176,24.6024437,25.41590309,24.92853355
4/20/2018,12:07:54 PM,270,14.595,27.82188797,24.82829857,24.55219078,25.41590309,24.87842751
4/20/2018,12:07:54 PM,540,14.865,27.85851097,24.86589622,24.55219078,25.40343285,24.916008
4/20/2018,12:07:54 PM,810,15.135,27.7608242,24.79068756,24.53962517,25.40343285,24.87842751
4/20/2018,12:07:55 PM,81,15.406,27.80967903,24.81576347,24.52705765,25.41590309,24.9410553
4/20/2018,12:07:55 PM,351,15.676,27.87071609,24.76560593,24.55219078,25.4533062,24.92853355
4/20/2018,12:07:55 PM,621,15.946,27.89512253,24.79068756,24.53962517,25.40343285,24.92853355
4/20/2018,12:07:55 PM,891,16.216,27.87071609,24.80322647,24.5773201,25.42837334,24.916008
4/20/2018,12:07:56 PM,432,16.757,27.88292122,24.82829857,24.56475639,25.39096069,24.9410553
4/20/2018,12:07:56 PM,702,17.027,27.89512253,24.89095497,24.64011765,25.46577072,24.9410553
4/20/2018,12:07:56 PM,972,17.297,27.88292122,24.85336494,24.5898819,25.47823524,24.96609688
4/20/2018,12:07:57 PM,243,17.568,27.87071609,24.89095497,24.5898819,25.44083977,24.97861671
4/20/2018,12:07:57 PM,513,17.838,27.77303886,24.7154274,24.46419716,25.39096069,24.82829857
4/20/2018,12:07:57 PM,783,18.108,27.72416878,24.7154274,24.50191689,25.2911377,24.80322647
4/20/2018,12:07:58 PM,53,18.378,27.7608242,24.69033051,24.47677231,25.34106064,24.80322647
4/20/2018,12:07:58 PM,594,18.919,27.66305351,24.61500359,24.37613297,25.2911377,24.72797394
