Plot 1 FLIR USB Video,,,,,,,,
,,,,,,,,
,,,,Sp1.Value,Sp2.Value,Sp3.Value,Sp4.Value,Sp5.Value
Emissivity,,,,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881
Distance,,,,1,1,1,1,1
Reflected temperature,,,,19.9999939,19.9999939,19.9999939,19.9999939,19.9999939
Location X,,,,36,282,283,166,34
Location Y,,,,115,58,113,116,58
Size X,,,,,,,,
Size Y,,,,,,,,
Surface (pixels),,,,,,,,
,,,,,,,,
Date,Time,Milliseconds,Relative time,Sp1.Value,Sp2.Value,Sp3.Value,Sp4.Value,Sp5.Value
4/20/2018,3:03:00 PM,216,2384.325,40.95528793,36.34627914,37.59049606,33.76143265,36.93600845
4/20/2018,3:03:00 PM,486,2384.595,41.0100708,36.49397278,37.68050003,33.85428238,37.1169014
4/20/2018,3:03:01 PM,26,2385.135,41.0538826,36.42582703,37.6692543,33.79626083,37.083004
4/20/2018,3:03:01 PM,297,2385.406,41.08672714,36.50532913,37.77043915,33.80786514,37.19595718
4/20/2018,3:03:01 PM,567,2385.676,41.06483078,36.48262024,37.74796295,33.83107758,37.15078735
4/20/2018,3:03:01 PM,837,2385.946,41.09767532,36.57342911,37.73672104,33.80786514,37.15078735
4/20/2018,3:03:02 PM,378,2386.487,41.16334152,36.49397278,37.77043915,33.83107758,37.22982407
4/20/2018,3:03:02 PM,648,2386.757,41.11956787,36.45990372,37.70299149,33.79626083,37.15078735
4/20/2018,3:03:02 PM,918,2387.027,41.11956787,36.53938293,37.72547913,33.77304077,37.17337418
4/20/2018,3:03:03 PM,188,2387.297,41.16334152,36.48262024,37.7142334,33.81947327,37.24111176
4/20/2018,3:03:03 PM,459,2387.568,41.18522263,36.47126389,37.83785248,33.83107758,37.25239563
4/20/2018,3:03:03 PM,729,2387.838,41.16334152,36.51668167,37.79291534,33.76143265,37.13949203
4/20/2018,3:03:03 PM,999,2388.108,41.26177597,36.55073166,37.81538773,33.79626083,37.34264755
4/20/2018,3:03:04 PM,540,2388.649,41.29457092,36.60746765,37.86031723,33.80786514,37.28624725
4/20/2018,3:03:04 PM,810,2388.919,41.33828354,36.50532913,37.80414963,33.78465271,37.18466568
4/20/2018,3:03:05 PM,80,2389.189,41.3819809,36.60746765,37.81538773,33.80786514,37.42156219
4/20/2018,3:03:05 PM,351,2389.46,41.33828354,36.64149475,37.87154388,33.83107758,37.33136749
4/20/2018,3:03:05 PM,621,2389.73,41.44750214,36.68684769,37.86031723,33.85428238,37.34264755
4/20/2018,3:03:05 PM,891,2390,41.52389908,36.58477783,37.95012665,33.91228104,37.42156219
4/20/2018,3:03:06 PM,161,2390.27,41.53480911,36.61880875,37.88277435,33.84268188,37.41028976
4/20/2018,3:03:06 PM,432,2390.541,41.54571915,36.66417313,37.91645432,33.88908386,37.52294922
4/20/2018,3:03:06 PM,702,2390.811,41.51298904,36.67551041,37.91645432,33.84268188,37.47789764
4/20/2018,3:03:07 PM,243,2391.352,41.58934784,36.67551041,37.98378754,33.88908386,37.54546738
4/20/2018,3:03:07 PM,513,2391.622,41.5675354,36.64149475,37.90522766,33.84268188,37.45536423
4/20/2018,3:03:07 PM,783,2391.892,41.66566086,36.73218918,37.96134949,33.83107758,37.50042343
4/20/2018,3:03:08 PM,53,2392.162,41.63295746,36.66417313,37.90522766,33.79626083,37.44409943
4/20/2018,3:03:08 PM,324,2392.433,41.75281906,36.68684769,38.00622559,33.81947327,37.60174942
4/20/2018,3:03:08 PM,864,2392.973,41.7419281,36.82281494,38.06229782,33.87748337,37.63550568
4/20/2018,3:03:09 PM,134,2393.243,41.75281906,36.70952225,38.06229782,33.81947327,37.60174942
4/20/2018,3:03:09 PM,405,2393.514,41.85080338,36.85678482,38.10713959,33.86588287,37.68050003
4/20/2018,3:03:09 PM,675,2393.784,41.7419281,36.75485229,38.14076233,33.83107758,37.56798553
4/20/2018,3:03:09 PM,945,2394.054,41.93783951,36.78883743,38.19677353,33.81947327,37.61300278
4/20/2018,3:03:10 PM,216,2394.325,42.13345337,37.03779221,38.34229279,33.85428238,37.7142334
4/20/2018,3:03:10 PM,756,2394.865,42.37213516,37.16208267,38.46529388,33.81947327,37.61300278
4/20/2018,3:03:11 PM,26,2395.135,42.48048401,37.25239563,38.55467224,33.80786514,37.69174576
4/20/2018,3:03:11 PM,297,2395.406,42.5454483,37.19595718,38.61050034,33.83107758,37.95012665
4/20/2018,3:03:11 PM,567,2395.676,42.57791901,37.10560226,38.66630554,33.87748337,38.14076233
4/20/2018,3:03:11 PM,837,2395.946,42.61038208,36.87942505,38.66630554,33.88908386,38.33110428
4/20/2018,3:03:12 PM,107,2396.216,42.63201904,36.93600845,38.68862152,33.88908386,38.39821625
4/20/2018,3:03:12 PM,648,2396.757,42.59955978,37.26368332,38.64398575,33.86588287,38.36466599
4/20/2018,3:03:12 PM,918,2397.027,42.61038208,37.45536423,38.63282394,33.87748337,38.46529388
4/20/2018,3:03:13 PM,188,2397.297,42.66446686,37.52294922,38.65514755,33.85428238,38.4876442
4/20/2018,3:03:13 PM,459,2397.568,42.74014664,37.54546738,38.65514755,33.93547058,38.47646713
4/20/2018,3:03:13 PM,729,2397.838,42.78337479,37.64675522,38.77783966,33.97024918,38.52116013
4/20/2018,3:03:14 PM,270,2398.379,42.74014664,37.64675522,38.80013657,34.01660156,38.50999069
4/20/2018,3:03:14 PM,540,2398.649,42.64283371,37.64675522,38.68862152,33.93547058,38.29753494
4/20/2018,3:03:14 PM,810,2398.919,42.69690704,37.70299149,38.6997757,33.93547058,38.90041351
4/20/2018,3:03:15 PM,80,2399.189,42.68609238,37.79291534,38.64398575,33.9238739,39.18966293
4/20/2018,3:03:15 PM,351,2399.46,42.75095749,37.86031723,38.63282394,33.91228104,39.44498825
4/20/2018,3:03:15 PM,621,2399.73,42.76176453,37.80414963,38.61050034,33.90068054,39.56691742
4/20/2018,3:03:15 PM,891,2400,42.76176453,37.87154388,38.68862152,33.94706345,39.54475784
4/20/2018,3:03:16 PM,161,2400.27,42.77257156,37.90522766,38.65514755,33.90068054,39.52259445
4/20/2018,3:03:16 PM,432,2400.541,42.80498505,37.96134949,38.67746353,33.91228104,39.61122513
4/20/2018,3:03:16 PM,972,2401.081,42.88058472,37.97256851,38.75554276,33.97024918,39.66659164
4/20/2018,3:03:17 PM,243,2401.352,42.83738708,37.93890381,38.72208405,33.97024918,39.64444733
4/20/2018,3:03:17 PM,513,2401.622,42.79417801,37.81538773,38.61050034,33.93547058,39.52259445
4/20/2018,3:03:17 PM,783,2401.892,42.9021759,37.88277435,38.61050034,33.9238739,39.52259445
4/20/2018,3:03:18 PM,53,2402.162,42.94534683,37.98378754,38.66630554,33.95865631,39.6776619
4/20/2018,3:03:18 PM,324,2402.433,42.98850632,38.0174408,38.71092987,34.01660156,39.71086502
4/20/2018,3:03:18 PM,594,2402.703,42.97771835,37.97256851,38.71092987,33.97024918,39.76618576
