Plot 1 FLIR USB Video,,,,,,,,
,,,,,,,,
,,,,Sp1.Value,Sp2.Value,Sp3.Value,Sp4.Value,Sp5.Value
Emissivity,,,,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881
Distance,,,,1,1,1,1,1
Reflected temperature,,,,19.9999939,19.9999939,19.9999939,19.9999939,19.9999939
Location X,,,,36,282,283,166,34
Location Y,,,,115,58,113,116,58
Size X,,,,,,,,
Size Y,,,,,,,,
Surface (pixels),,,,,,,,
,,,,,,,,
Date,Time,Milliseconds,Relative time,Sp1.Value,Sp2.Value,Sp3.Value,Sp4.Value,Sp5.Value
4/20/2018,1:03:36 PM,972,0,24.67777824,24.86589622,24.5898819,24.31318855,24.69033051
4/20/2018,1:03:37 PM,243,0.271,24.69033051,24.84083176,24.64011765,24.35095978,24.62756157
4/20/2018,1:03:37 PM,513,0.541,24.77814674,24.87842751,24.67777824,24.35095978,24.7154274
4/20/2018,1:03:37 PM,783,0.811,24.7154274,24.84083176,24.62756157,24.37613297,24.69033051
4/20/2018,1:03:38 PM,53,1.081,24.67777824,24.80322647,24.62756157,24.36354637,24.64011765
4/20/2018,1:03:38 PM,324,1.352,24.67777824,24.85336494,24.61500359,24.36354637,24.66522598
4/20/2018,1:03:38 PM,594,1.622,24.64011765,24.81576347,24.61500359,24.33837128,24.69033051
4/20/2018,1:03:39 PM,135,2.163,24.62756157,24.7154274,24.56475639,24.30059433,24.55219078
4/20/2018,1:03:39 PM,405,2.433,24.66522598,24.87842751,24.67777824,24.36354637,24.66522598
4/20/2018,1:03:39 PM,675,2.703,24.66522598,24.81576347,24.74052048,24.30059433,24.6024437
4/20/2018,1:03:39 PM,945,2.973,24.5773201,24.80322647,24.62756157,24.2502079,24.56475639
4/20/2018,1:03:40 PM,216,3.244,24.5898819,24.82829857,24.61500359,24.23760796,24.6024437
4/20/2018,1:03:40 PM,486,3.514,24.65267181,24.86589622,24.70287895,24.32578087,24.67777824
4/20/2018,1:03:41 PM,26,4.054,24.66522598,24.82829857,24.74052048,24.28800011,24.64011765
4/20/2018,1:03:41 PM,297,4.325,24.67777824,24.84083176,24.70287895,24.28800011,24.65267181
4/20/2018,1:03:41 PM,567,4.595,24.74052048,24.89095497,24.7530632,24.38871765,24.72797394
4/20/2018,1:03:41 PM,837,4.865,24.79068756,24.9410553,24.81576347,24.48934555,24.7530632
4/20/2018,1:03:42 PM,108,5.136,24.70287895,24.90348244,24.70287895,24.40130234,24.69033051
4/20/2018,1:03:42 PM,378,5.406,24.72797394,24.89095497,24.74052048,24.42646408,24.74052048
4/20/2018,1:03:42 PM,648,5.676,24.72797394,24.96609688,24.74052048,24.43904305,24.7530632
4/20/2018,1:03:43 PM,189,6.217,24.72797394,24.89095497,24.76560593,24.46419716,24.7154274
4/20/2018,1:03:43 PM,459,6.487,24.67777824,24.80322647,24.66522598,24.4516201,24.65267181
4/20/2018,1:03:43 PM,729,6.757,24.7530632,24.87842751,24.72797394,24.43904305,24.7154274
4/20/2018,1:03:43 PM,999,7.027,24.72797394,24.84083176,24.70287895,24.35095978,24.66522598
4/20/2018,1:03:44 PM,270,7.298,24.70287895,24.85336494,24.69033051,24.38871765,24.67777824
4/20/2018,1:03:44 PM,540,7.568,24.70287895,24.85336494,24.70287895,24.36354637,24.66522598
4/20/2018,1:03:44 PM,810,7.838,24.72797394,24.95357704,24.72797394,24.41388321,24.69033051
4/20/2018,1:03:45 PM,351,8.379,24.72797394,24.86589622,24.74052048,24.38871765,24.74052048
4/20/2018,1:03:45 PM,621,8.649,24.65267181,24.81576347,24.64011765,24.33837128,24.64011765
4/20/2018,1:03:45 PM,891,8.919,24.67777824,24.76560593,24.64011765,24.32578087,24.64011765
4/20/2018,1:03:46 PM,162,9.19,24.65267181,24.72797394,24.62756157,24.31318855,24.61500359
4/20/2018,1:03:46 PM,432,9.46,24.7154274,24.80322647,24.66522598,24.35095978,24.66522598
4/20/2018,1:03:46 PM,702,9.73,24.7154274,24.81576347,24.67777824,24.41388321,24.65267181
4/20/2018,1:03:46 PM,972,10,24.74052048,24.74052048,24.62756157,24.37613297,24.62756157
4/20/2018,1:03:47 PM,513,10.541,24.62756157,24.79068756,24.64011765,24.30059433,24.64011765
4/20/2018,1:03:47 PM,783,10.811,24.61500359,24.79068756,24.6024437,24.26280594,24.64011765
4/20/2018,1:03:48 PM,53,11.081,24.64011765,24.7154274,24.5898819,24.28800011,24.56475639
4/20/2018,1:03:48 PM,324,11.352,24.64011765,24.79068756,24.6024437,24.28800011,24.65267181
4/20/2018,1:03:48 PM,594,11.622,24.61500359,24.72797394,24.61500359,24.27540398,24.61500359
4/20/2018,1:03:49 PM,135,12.163,24.6024437,24.77814674,24.6024437,24.30059433,24.62756157
4/20/2018,1:03:49 PM,405,12.433,24.56475639,24.69033051,24.5773201,24.27540398,24.5773201
4/20/2018,1:03:49 PM,675,12.703,24.55219078,24.64011765,24.55219078,24.23760796,24.46419716
4/20/2018,1:03:49 PM,945,12.973,24.53962517,24.62756157,24.50191689,24.23760796,24.51448822
4/20/2018,1:03:50 PM,216,13.244,24.5898819,24.66522598,24.50191689,24.26280594,24.6024437
4/20/2018,1:03:50 PM,486,13.514,24.6024437,24.64011765,24.52705765,24.28800011,24.6024437
4/20/2018,1:03:50 PM,756,13.784,24.6024437,24.70287895,24.56475639,24.32578087,24.64011765
4/20/2018,1:03:51 PM,297,14.325,24.64011765,24.77814674,24.6024437,24.30059433,24.66522598
4/20/2018,1:03:51 PM,567,14.595,24.69033051,24.77814674,24.6024437,24.33837128,24.7154274
4/20/2018,1:03:51 PM,837,14.865,24.67777824,24.7530632,24.67777824,24.33837128,24.70287895
4/20/2018,1:03:52 PM,108,15.136,24.69033051,24.85336494,24.67777824,24.38871765,24.7530632
4/20/2018,1:03:52 PM,378,15.406,24.67777824,24.79068756,24.61500359,24.37613297,24.67777824
4/20/2018,1:03:52 PM,648,15.676,24.76560593,24.84083176,24.67777824,24.42646408,24.76560593
4/20/2018,1:03:52 PM,918,15.946,24.76560593,24.82829857,24.66522598,24.40130234,24.76560593
4/20/2018,1:03:53 PM,189,16.217,24.69033051,24.76560593,24.66522598,24.35095978,24.69033051
4/20/2018,1:03:53 PM,459,16.487,24.65267181,24.7154274,24.56475639,24.33837128,24.65267181
4/20/2018,1:03:53 PM,999,17.027,24.61500359,24.76560593,24.62756157,24.27540398,24.66522598
4/20/2018,1:03:54 PM,270,17.298,24.64011765,24.80322647,24.65267181,24.32578087,24.66522598
4/20/2018,1:03:54 PM,540,17.568,24.69033051,24.76560593,24.65267181,24.40130234,24.7154274
4/20/2018,1:03:54 PM,810,17.838,24.65267181,24.7530632,24.62756157,24.32578087,24.70287895
4/20/2018,1:03:55 PM,80,18.108,24.69033051,24.80322647,24.66522598,24.36354637,24.7530632
4/20/2018,1:03:55 PM,351,18.379,24.70287895,24.76560593,24.65267181,24.33837128,24.7154274
