Plot 1 FLIR USB Video,,,,,,,,,
,,,,,,,,,
,,,,Sp1.Value,Sp2.Value,Sp3.Value,Sp4.Value,Sp5.Value,Sp6.Value
Emissivity,,,,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881
Distance,,,,1,1,1,1,1,1
Reflected temperature,,,,19.9999939,19.9999939,19.9999939,19.9999939,19.9999939,19.9999939
Location X,,,,29,300,297,163,28,114
Location Y,,,,118,65,120,118,61,121
Size X,,,,,,,,,
Size Y,,,,,,,,,
Surface (pixels),,,,,,,,,
,,,,,,,,,
Date,Time,Milliseconds,Relative time,Sp1.Value,Sp2.Value,Sp3.Value,Sp4.Value,Sp5.Value,Sp6.Value
4/23/2018,12:18:54 PM,783,0,25.67746544,25.8018074,25.54053307,26.05008125,25.39096069,24.52705765
4/23/2018,12:18:55 PM,54,0.271,25.67746544,25.82665825,25.50315857,26.09967041,25.40343285,24.56475639
4/23/2018,12:18:55 PM,324,0.541,25.65258026,25.85150528,25.55298805,26.05008125,25.37848854,24.51448822
4/23/2018,12:18:55 PM,594,0.811,25.67746544,25.85150528,25.51561737,26.07487869,25.4533062,24.50191689
4/23/2018,12:18:55 PM,864,1.081,25.65258026,25.85150528,25.51561737,26.06248093,25.39096069,24.51448822
4/23/2018,12:18:56 PM,135,1.352,25.61524391,25.85150528,25.47823524,26.02527809,25.39096069,24.51448822
4/23/2018,12:18:56 PM,405,1.622,25.57789421,25.82665825,25.4533062,26.03767967,25.37848854,24.47677231
4/23/2018,12:18:56 PM,675,1.892,25.57789421,25.83908272,25.51561737,26.02527809,25.36601257,24.47677231
4/23/2018,12:18:57 PM,216,2.433,25.59034538,25.86392593,25.50315857,26.03767967,25.37848854,24.51448822
4/23/2018,12:18:57 PM,486,2.703,25.56544113,25.8018074,25.4533062,26.0128746,25.31610107,24.48934555
4/23/2018,12:18:57 PM,756,2.973,25.56544113,25.71478271,25.44083977,26.00046921,25.2911377,24.48934555
4/23/2018,12:18:58 PM,27,3.244,25.52807617,25.72721863,25.41590309,25.95083618,25.2911377,24.41388321
4/23/2018,12:18:58 PM,297,3.514,25.52807617,25.8018074,25.46577072,25.98806381,25.26616669,24.46419716
4/23/2018,12:18:58 PM,567,3.784,25.51561737,25.72721863,25.42837334,25.93842506,25.26616669,24.46419716
4/23/2018,12:18:58 PM,837,4.054,25.4533062,25.71478271,25.41590309,25.93842506,25.24119186,24.43904305
4/23/2018,12:18:59 PM,108,4.325,25.44083977,25.65258026,25.39096069,25.91359711,25.24119186,24.43904305
4/23/2018,12:18:59 PM,648,4.865,25.40343285,25.65258026,25.35353661,25.90118217,25.24119186,24.38871765
4/23/2018,12:18:59 PM,918,5.135,25.42837334,25.6650238,25.35353661,25.95083618,25.17873001,24.40130234
4/23/2018,12:19:00 PM,189,5.406,25.37848854,25.68990517,25.35353661,25.93842506,25.16623306,24.36354637
4/23/2018,12:19:00 PM,459,5.676,25.41590309,25.71478271,25.36601257,25.93842506,25.22870255,24.40130234
4/23/2018,12:19:00 PM,729,5.946,25.47823524,25.70234489,25.40343285,25.9632473,25.26616669,24.43904305
4/23/2018,12:19:00 PM,999,6.216,25.4533062,25.70234489,25.36601257,25.9632473,25.22870255,24.41388321
4/23/2018,12:19:01 PM,270,6.487,25.47823524,25.76451874,25.4533062,26.0128746,25.2911377,24.42646408
4/23/2018,12:19:01 PM,810,7.027,25.42837334,25.77694893,25.42837334,25.98806381,25.26616669,24.41388321
4/23/2018,12:19:02 PM,81,7.298,25.49069786,25.8018074,25.50315857,26.03767967,25.30361938,24.47677231
4/23/2018,12:19:02 PM,351,7.568,25.55298805,25.85150528,25.55298805,26.07487869,25.36601257,24.52705765
4/23/2018,12:19:02 PM,621,7.838,25.50315857,25.83908272,25.51561737,26.09967041,25.32858086,24.51448822
4/23/2018,12:19:02 PM,891,8.108,25.49069786,25.88876534,25.54053307,26.06248093,25.36601257,24.5773201
4/23/2018,12:19:03 PM,432,8.649,25.49069786,25.81423378,25.50315857,26.08727646,25.32858086,24.5773201
4/23/2018,12:19:03 PM,702,8.919,25.44083977,25.85150528,25.56544113,26.05008125,25.30361938,24.55219078
4/23/2018,12:19:03 PM,972,9.189,25.40343285,25.77694893,25.46577072,26.03767967,25.24119186,24.50191689
4/23/2018,12:19:04 PM,243,9.46,25.37848854,25.73965263,25.46577072,25.98806381,25.20371819,24.48934555
4/23/2018,12:19:04 PM,513,9.73,25.42837334,25.75208664,25.46577072,26.02527809,25.2911377,24.50191689
4/23/2018,12:19:04 PM,783,10,25.39096069,25.81423378,25.4533062,26.05008125,25.27865219,24.52705765
4/23/2018,12:19:05 PM,54,10.271,25.42837334,25.78937912,25.50315857,26.05008125,25.2911377,24.51448822
4/23/2018,12:19:05 PM,324,10.541,25.39096069,25.78937912,25.37848854,26.00046921,25.22870255,24.4516201
4/23/2018,12:19:05 PM,594,10.811,25.42837334,25.8018074,25.42837334,26.02527809,25.32858086,24.46419716
4/23/2018,12:19:06 PM,135,11.352,25.41590309,25.86392593,25.47823524,26.05008125,25.26616669,24.52705765
4/23/2018,12:19:06 PM,405,11.622,25.49069786,25.9632473,25.56544113,26.11206627,25.36601257,24.53962517
4/23/2018,12:19:06 PM,675,11.892,25.42837334,25.82665825,25.46577072,26.05008125,25.34106064,24.50191689
4/23/2018,12:19:06 PM,945,12.162,25.34106064,25.73965263,25.40343285,25.98806381,25.20371819,24.42646408
