Plot 1 FLIR USB Video,,,,,,,,,
,,,,,,,,,
,,,,Sp1.Value,Sp2.Value,Sp3.Value,Sp4.Value,Sp5.Value,Sp6.Value
Emissivity,,,,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881
Distance,,,,1,1,1,1,1,1
Reflected temperature,,,,19.9999939,19.9999939,19.9999939,19.9999939,19.9999939,19.9999939
Location X,,,,29,300,297,163,28,114
Location Y,,,,118,65,120,118,61,121
Size X,,,,,,,,,
Size Y,,,,,,,,,
Surface (pixels),,,,,,,,,
,,,,,,,,,
Date,Time,Milliseconds,Relative time,Sp1.Value,Sp2.Value,Sp3.Value,Sp4.Value,Sp5.Value,Sp6.Value
4/23/2018,1:33:58 PM,26,0,29.16929245,27.91952515,27.29566956,27.82188797,27.89512253,26.06248093
4/23/2018,1:33:58 PM,297,0.271,29.20549202,27.87071609,27.29566956,27.87071609,27.89512253,26.06248093
4/23/2018,1:33:58 PM,567,0.541,29.14515114,27.95611763,27.34472275,27.85851097,27.88292122,26.00046921
4/23/2018,1:33:58 PM,837,0.811,29.06062317,27.87071609,27.29566956,27.85851097,27.82188797,26.00046921
4/23/2018,1:33:59 PM,378,1.352,29.08477974,27.98050499,27.33246231,27.89512253,27.91952515,26.09967041
4/23/2018,1:33:59 PM,648,1.622,29.08477974,27.99269867,27.34472275,27.88292122,27.88292122,26.05008125
4/23/2018,1:33:59 PM,918,1.892,29.09685707,27.95611763,27.29566956,27.85851097,27.89512253,26.05008125
4/23/2018,1:34:00 PM,189,2.163,29.08477974,28.04145432,27.32019997,27.89512253,27.90732384,26.07487869
4/23/2018,1:34:00 PM,459,2.433,29.08477974,27.94392014,27.34472275,27.88292122,27.88292122,26.12445831
4/23/2018,1:34:00 PM,729,2.703,29.08477974,28.10237122,27.39375305,27.91952515,27.90732384,26.11206627
4/23/2018,1:34:01 PM,270,3.244,28.9518528,27.94392014,27.30793571,27.83409691,27.82188797,26.11206627
4/23/2018,1:34:01 PM,540,3.514,28.90347862,27.91952515,27.25886726,27.79746628,27.78525352,26.02527809
4/23/2018,1:34:01 PM,810,3.784,28.90347862,27.98050499,27.32019997,27.84630585,27.77303886,26.07487869
4/23/2018,1:34:02 PM,81,4.055,28.93976212,27.96831131,27.33246231,27.90732384,27.87071609,26.06248093
4/23/2018,1:34:02 PM,351,4.325,28.84298134,27.94392014,27.2834034,27.83409691,27.72416878,26.02527809
4/23/2018,1:34:02 PM,891,4.865,28.86718369,27.99269867,27.25886726,27.85851097,27.78525352,26.07487869
4/23/2018,1:34:03 PM,162,5.136,28.87928391,27.94392014,27.32019997,27.79746628,27.74860764,26.08727646
4/23/2018,1:34:03 PM,432,5.406,28.77034378,27.84630585,27.23432541,27.79746628,27.68750381,26.00046921
4/23/2018,1:34:03 PM,702,5.676,28.75823402,27.83409691,27.24659729,27.79746628,27.68750381,25.97565651
4/23/2018,1:34:03 PM,972,5.946,28.79456139,27.91952515,27.29566956,27.82188797,27.6997261,26.02527809
4/23/2018,1:34:04 PM,243,6.217,28.73400879,27.91952515,27.25886726,27.80967903,27.71194839,26.03767967
4/23/2018,1:34:04 PM,513,6.487,28.66130257,27.89512253,27.25886726,27.80967903,27.62636757,26.02527809
4/23/2018,1:34:05 PM,53,7.027,28.64917946,27.91952515,27.25886726,27.79746628,27.60190392,25.98806381
4/23/2018,1:34:05 PM,324,7.298,28.63705635,27.82188797,27.20977783,27.79746628,27.58967018,25.93842506
4/23/2018,1:34:05 PM,594,7.568,28.64917946,27.85851097,27.23432541,27.87071609,27.62636757,25.9632473
4/23/2018,1:34:05 PM,864,7.838,28.66130257,27.93172264,27.25886726,27.88292122,27.66305351,25.98806381
4/23/2018,1:34:06 PM,135,8.109,28.61280632,27.85851097,27.27113724,27.85851097,27.61413574,26.0128746
4/23/2018,1:34:06 PM,405,8.379,28.64917946,27.88292122,27.24659729,27.89512253,27.63859749,26.03767967
4/23/2018,1:34:06 PM,675,8.649,28.6006794,27.94392014,27.27113724,27.83409691,27.6508255,26.05008125
4/23/2018,1:34:06 PM,945,8.919,28.55215836,27.91952515,27.27113724,27.84630585,27.61413574,26.0128746
4/23/2018,1:34:07 PM,486,9.46,28.6006794,27.90732384,27.2834034,27.83409691,27.66305351,26.09967041
4/23/2018,1:34:07 PM,756,9.73,28.6006794,27.94392014,27.29566956,27.85851097,27.67527962,26.03767967
4/23/2018,1:34:08 PM,26,10,28.62493324,27.95611763,27.36924171,27.91952515,27.6508255,26.08727646
4/23/2018,1:34:08 PM,297,10.271,28.57642174,27.96831131,27.38149834,27.90732384,27.63859749,26.09967041
4/23/2018,1:34:08 PM,567,10.541,28.47933769,27.93172264,27.34472275,27.85851097,27.5651989,26.05008125
4/23/2018,1:34:08 PM,837,10.811,28.52788925,27.99269867,27.34472275,27.89512253,27.63859749,26.05008125
4/23/2018,1:34:09 PM,378,11.352,28.47933769,27.99269867,27.39375305,27.90732384,27.62636757,26.07487869
4/23/2018,1:34:09 PM,648,11.622,28.5157547,28.05364037,27.41826248,27.91952515,27.66305351,26.08727646
4/23/2018,1:34:09 PM,918,11.892,28.50361633,28.05364037,27.41826248,27.94392014,27.62636757,26.12445831
4/23/2018,1:34:10 PM,189,12.163,28.49147797,27.96831131,27.36924171,27.94392014,27.58967018,26.11206627
4/23/2018,1:34:10 PM,459,12.433,28.45505524,28.0170784,27.34472275,27.89512253,27.62636757,26.13685036
