Plot 1 FLIR USB Video,,,,,,,,,
,,,,,,,,,
,,,,Sp1.Value,Sp2.Value,Sp3.Value,Sp4.Value,Sp5.Value,Sp6.Value
Emissivity,,,,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881
Distance,,,,1,1,1,1,1,1
Reflected temperature,,,,19.9999939,19.9999939,19.9999939,19.9999939,19.9999939,19.9999939
Location X,,,,29,278,280,163,28,114
Location Y,,,,118,58,120,118,61,121
Size X,,,,,,,,,
Size Y,,,,,,,,,
Surface (pixels),,,,,,,,,
,,,,,,,,,
Date,Time,Milliseconds,Relative time,Sp1.Value,Sp2.Value,Sp3.Value,Sp4.Value,Sp5.Value,Sp6.Value
4/23/2018,2:22:38 PM,567,0,37.57923889,32.32476044,32.9692955,27.47950745,34.25967407,25.98806381
4/23/2018,2:22:39 PM,108,0.541,37.56798553,32.3365097,32.86406326,27.46726227,34.17870712,25.88876534
4/23/2018,2:22:39 PM,378,0.811,37.59049606,32.36000443,32.9108429,27.39375305,34.20184326,25.88876534
4/23/2018,2:22:39 PM,648,1.081,37.52294922,32.27774811,32.82896423,27.36924171,34.21341324,25.85150528
4/23/2018,2:22:39 PM,918,1.351,37.57923889,32.21895981,32.86406326,27.43051338,34.28279877,25.85150528
4/23/2018,2:22:40 PM,189,1.622,37.60174942,32.27774811,32.88745499,27.44276428,34.34059143,25.88876534
4/23/2018,2:22:40 PM,459,1.892,37.69174576,32.37175369,32.93422699,27.45501328,34.34059143,25.93842506
4/23/2018,2:22:40 PM,999,2.432,37.69174576,32.38349915,33.01603699,27.49175453,34.35214615,25.98806381
4/23/2018,2:22:41 PM,270,2.703,37.70299149,32.4304657,32.99266815,27.45501328,34.35214615,25.98806381
4/23/2018,2:22:41 PM,540,2.973,37.72547913,32.47741699,33.03939819,27.45501328,34.36370087,25.9632473
4/23/2018,2:22:41 PM,810,3.243,37.74796295,32.44220734,33.0627594,27.5039978,34.37525177,25.9632473
4/23/2018,2:22:42 PM,80,3.513,37.7142334,32.4304657,32.99266815,27.47950745,34.28279877,25.91359711
4/23/2018,2:22:42 PM,351,3.784,37.74796295,32.45394516,32.98098373,27.44276428,34.39835739,25.93842506
4/23/2018,2:22:42 PM,891,4.324,37.78167725,32.489151,33.09778976,27.58967018,34.39835739,26.00046921
4/23/2018,2:22:43 PM,162,4.595,37.84908295,32.52434921,33.12113571,27.61413574,34.44454956,26.06248093
4/23/2018,2:22:43 PM,432,4.865,37.81538773,32.47741699,33.09778976,27.62636757,34.35214615,26.06248093
4/23/2018,2:22:43 PM,702,5.135,37.72547913,32.45394516,32.93422699,27.47950745,34.42145538,25.93842506
4/23/2018,2:22:43 PM,972,5.405,37.70299149,32.34825897,32.94591904,27.45501328,34.30591965,25.92601204
4/23/2018,2:22:44 PM,243,5.676,37.70299149,32.36000443,32.99266815,27.51624107,34.34059143,25.93842506
4/23/2018,2:22:44 PM,513,5.946,37.70299149,32.37175369,32.95760727,27.47950745,34.42145538,25.88876534
4/23/2018,2:22:44 PM,783,6.216,37.77043915,32.44220734,32.99266815,27.47950745,34.47917938,25.93842506
4/23/2018,2:22:45 PM,324,6.757,37.74796295,32.44220734,33.01603699,27.49175453,34.47917938,25.95083618
4/23/2018,2:22:45 PM,594,7.027,37.84908295,32.46568298,33.08611298,27.5651989,34.54841614,25.9632473
4/23/2018,2:22:45 PM,864,7.297,37.74796295,32.45394516,33.0627594,27.44276428,34.46763611,25.92601204
4/23/2018,2:22:46 PM,135,7.568,37.70299149,32.47741699,33.0627594,27.46726227,34.40990448,25.90118217
4/23/2018,2:22:46 PM,405,7.838,37.72547913,32.50088501,33.0627594,27.47950745,34.46763611,25.93842506
4/23/2018,2:22:46 PM,675,8.108,37.7142334,32.40698624,32.99266815,27.35698318,34.34059143,25.86392593
4/23/2018,2:22:46 PM,945,8.378,37.65800476,32.26599503,32.9108429,27.2834034,34.37525177,25.76451874
4/23/2018,2:22:47 PM,216,8.649,37.7142334,32.34825897,33.01603699,27.33246231,34.37525177,25.81423378
4/23/2018,2:22:47 PM,756,9.189,37.72547913,32.39524078,33.0510788,27.34472275,34.40990448,25.86392593
4/23/2018,2:22:48 PM,26,9.459,37.75920105,32.39524078,33.03939819,27.36924171,34.44454956,25.83908272
4/23/2018,2:22:48 PM,297,9.73,37.82661819,32.41872787,33.08611298,27.38149834,34.47917938,25.88876534
4/23/2018,2:22:48 PM,567,10,37.84908295,32.47741699,33.0510788,27.41826248,34.52534103,25.86392593
4/23/2018,2:22:48 PM,837,10.27,37.87154388,32.47741699,33.0510788,27.43051338,34.65219498,25.83908272
4/23/2018,2:22:49 PM,378,10.811,37.88277435,32.46568298,33.15615082,27.47950745,34.65219498,25.88876534
4/23/2018,2:22:49 PM,648,11.081,37.93890381,32.53607941,33.16781998,27.46726227,34.6060791,25.95083618
4/23/2018,2:22:49 PM,918,11.351,37.99500656,32.58298874,33.16781998,27.52848244,34.67524338,25.90118217
4/23/2018,2:22:50 PM,189,11.622,37.96134949,32.53607941,33.14447784,27.49175453,34.64066696,25.91359711
4/23/2018,2:22:50 PM,459,11.892,37.97256851,32.5478096,33.12113571,27.55296135,34.68676758,25.90118217
4/23/2018,2:22:50 PM,729,12.162,37.98378754,32.53607941,33.15615082,27.46726227,34.68676758,25.88876534
4/23/2018,2:22:50 PM,999,12.432,38.05108643,32.65332031,33.24946594,27.5651989,34.70981216,25.95083618
