Plot 1 FLIR USB Video,,,,,,,,,,
,,,,,,,,,,
,,,,Sp1.Value,Sp2.Value,Sp3.Value,Sp4.Value,Sp5.Value,Sp6.Value,Sp7.Value
Emissivity,,,,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881
Distance,,,,1,1,1,1,1,1,1
Reflected temperature,,,,19.9999939,19.9999939,19.9999939,19.9999939,19.9999939,19.9999939,19.9999939
Location X,,,,33,287,287,166,32,123,276
Location Y,,,,110,60,116,119,60,120,181
Size X,,,,,,,,,,
Size Y,,,,,,,,,,
Surface (pixels),,,,,,,,,,
,,,,,,,,,,
Date,Time,Milliseconds,Relative time,Sp1.Value,Sp2.Value,Sp3.Value,Sp4.Value,Sp5.Value,Sp6.Value,Sp7.Value
4/23/2018,4:47:43 PM,567,0,34.70981216,34.75588608,35.45636749,35.89071655,34.43300247,35.81081772,37.47789764
4/23/2018,4:47:43 PM,837,0.27,34.73284912,34.74436951,35.50215912,35.85647964,34.45609283,35.79940033,37.43283081
4/23/2018,4:47:44 PM,108,0.541,34.72133255,34.80194092,35.50215912,35.84506607,34.46763611,35.76514053,37.50042343
4/23/2018,4:47:44 PM,108,0.541,34.72133255,34.80194092,35.50215912,35.84506607,34.46763611,35.76514053,37.47789764
4/23/2018,4:47:44 PM,108,0.541,34.72133255,34.80194092,35.50215912,35.84506607,34.46763611,35.76514053,37.46663284
4/23/2018,4:47:44 PM,108,0.541,34.72133255,34.80194092,35.50215912,35.84506607,34.46763611,35.76514053,37.47789764
4/23/2018,4:47:44 PM,108,0.541,34.72133255,34.80194092,35.50215912,35.84506607,34.46763611,35.76514053,37.48916245
4/23/2018,4:47:44 PM,108,0.541,34.72133255,34.80194092,35.50215912,35.84506607,34.46763611,35.76514053,37.51168823
4/23/2018,4:47:44 PM,108,0.541,34.72133255,34.80194092,35.50215912,35.84506607,34.46763611,35.76514053,37.50042343
4/23/2018,4:47:44 PM,108,0.541,34.72133255,34.80194092,35.50215912,35.84506607,34.46763611,35.76514053,37.44409943
4/23/2018,4:47:44 PM,108,0.541,34.72133255,34.80194092,35.50215912,35.84506607,34.46763611,35.76514053,37.45536423
4/23/2018,4:47:44 PM,108,0.541,34.72133255,34.80194092,35.50215912,35.84506607,34.46763611,35.76514053,37.48916245
4/23/2018,4:47:44 PM,108,0.541,34.72133255,34.80194092,35.50215912,35.84506607,34.46763611,35.76514053,37.47789764
4/23/2018,4:47:44 PM,108,0.541,34.72133255,34.80194092,35.50215912,35.84506607,34.46763611,35.76514053,37.46663284
4/23/2018,4:47:44 PM,108,0.541,34.72133255,34.80194092,35.50215912,35.84506607,34.46763611,35.76514053,37.50042343
4/23/2018,4:47:44 PM,108,0.541,34.72133255,34.80194092,35.50215912,35.84506607,34.46763611,35.76514053,37.53421021
4/23/2018,4:47:44 PM,378,0.811,34.76739883,34.82496262,35.50215912,35.86789322,34.47917938,35.79940033,37.50042343
4/23/2018,4:47:44 PM,378,0.811,34.76739883,34.82496262,35.50215912,35.86789322,34.47917938,35.79940033,37.47789764
4/23/2018,4:47:44 PM,378,0.811,34.76739883,34.82496262,35.50215912,35.86789322,34.47917938,35.79940033,37.60174942
4/23/2018,4:47:44 PM,378,0.811,34.76739883,34.82496262,35.50215912,35.86789322,34.47917938,35.79940033,37.53421021
4/23/2018,4:47:44 PM,378,0.811,34.76739883,34.82496262,35.50215912,35.86789322,34.47917938,35.79940033,37.54546738
4/23/2018,4:47:44 PM,378,0.811,34.76739883,34.82496262,35.50215912,35.86789322,34.47917938,35.79940033,37.50042343
4/23/2018,4:47:44 PM,378,0.811,34.76739883,34.82496262,35.50215912,35.86789322,34.47917938,35.79940033,37.55672836
4/23/2018,4:47:44 PM,378,0.811,34.76739883,34.82496262,35.50215912,35.86789322,34.47917938,35.79940033,37.51168823
4/23/2018,4:47:44 PM,378,0.811,34.76739883,34.82496262,35.50215912,35.86789322,34.47917938,35.79940033,37.48916245
4/23/2018,4:47:44 PM,378,0.811,34.76739883,34.82496262,35.50215912,35.86789322,34.47917938,35.79940033,37.48916245
4/23/2018,4:47:44 PM,378,0.811,34.76739883,34.82496262,35.50215912,35.86789322,34.47917938,35.79940033,37.46663284
4/23/2018,4:47:44 PM,378,0.811,34.76739883,34.82496262,35.50215912,35.86789322,34.47917938,35.79940033,37.48916245
4/23/2018,4:47:44 PM,378,0.811,34.76739883,34.82496262,35.50215912,35.86789322,34.47917938,35.79940033,37.43283081
4/23/2018,4:47:44 PM,648,1.081,34.76739883,34.82496262,35.58225632,35.86789322,34.53688049,35.84506607,37.41028976
4/23/2018,4:47:44 PM,648,1.081,34.76739883,34.82496262,35.58225632,35.86789322,34.53688049,35.84506607,37.43283081
4/23/2018,4:47:44 PM,648,1.081,34.76739883,34.82496262,35.58225632,35.86789322,34.53688049,35.84506607,37.44409943
4/23/2018,4:47:44 PM,918,1.351,34.77891541,34.80194092,35.58225632,35.81081772,34.49072266,35.82223511,37.3539238
4/23/2018,4:47:44 PM,918,1.351,34.77891541,34.80194092,35.58225632,35.81081772,34.49072266,35.82223511,37.39901733
4/23/2018,4:47:44 PM,918,1.351,34.77891541,34.80194092,35.58225632,35.81081772,34.49072266,35.82223511,37.39901733
