Plot 1 FLIR USB Video,,,,,,,,,,,
,,,,,,,,,,,
,,,,Sp1.Value,Sp2.Value,Sp3.Value,Sp4.Value,Sp5.Value,Sp6.Value,Sp7.Value,Sp8.Value
Emissivity,,,,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881
Distance,,,,1,1,1,1,1,1,1,1
Reflected temperature,,,,19.9999939,19.9999939,19.9999939,19.9999939,19.9999939,19.9999939,19.9999939,19.9999939
Location X,,,,31,285,284,166,34,120,31,287
Location Y,,,,115,74,119,115,68,114,175,178
Size X,,,,,,,,,,,
Size Y,,,,,,,,,,,
Surface (pixels),,,,,,,,,,,
,,,,,,,,,,,
Date,Time,Milliseconds,Relative time,Sp1.Value,Sp2.Value,Sp3.Value,Sp4.Value,Sp5.Value,Sp6.Value,Sp7.Value,Sp8.Value
4/24/2018,12:37:20 PM,80,0,37.083004,30.2982769,30.13081741,30.93008041,34.07452011,29.35018158,33.02771759,29.74715424
4/24/2018,12:37:20 PM,351,0.271,37.083004,30.23849678,30.13081741,30.96574211,34.08610153,29.37427902,33.03939819,29.73514366
4/24/2018,12:37:20 PM,621,0.541,37.083004,30.26241112,30.09490204,31.00139427,34.08610153,29.33813095,33.02771759,29.68709373
4/24/2018,12:37:20 PM,891,0.811,37.083004,30.20261383,30.10687447,31.01327515,34.10926056,29.38632584,33.07443619,29.71112061
4/24/2018,12:37:21 PM,432,1.352,37.12819672,30.25045395,30.15475464,31.01327515,34.14398575,29.42245865,33.08611298,29.73514366
4/24/2018,12:37:21 PM,702,1.622,37.10560226,30.2982769,30.19065094,31.03703308,34.17870712,29.42245865,33.13280869,29.7591629
4/24/2018,12:37:21 PM,972,1.892,37.10560226,30.27436829,30.11884689,31.00139427,34.12083817,29.42245865,33.09778976,29.73514366
4/24/2018,12:37:22 PM,243,2.163,37.09430313,30.28632164,30.15475464,31.00139427,34.12083817,29.42245865,33.0627594,29.7591629
4/24/2018,12:37:22 PM,783,2.703,37.083004,30.26241112,30.14278603,30.98951149,34.14398575,29.38632584,33.0510788,29.73514366
4/24/2018,12:37:23 PM,53,2.973,37.0603981,30.32217979,30.17868614,31.01327515,34.08610153,29.3622303,33.03939819,29.74715424
4/24/2018,12:37:23 PM,324,3.244,37.00387192,30.31022835,30.23849678,31.02515411,34.14398575,29.37427902,33.01603699,29.72313309
4/24/2018,12:37:23 PM,594,3.514,37.00387192,30.31022835,30.17868614,30.96574211,34.06293869,29.37427902,32.98098373,29.74715424
4/24/2018,12:37:23 PM,864,3.784,37.02648544,30.23849678,30.16672134,30.95385742,34.05135727,29.30197144,32.98098373,29.69910812
4/24/2018,12:37:24 PM,405,4.325,37.12819672,30.40580177,30.27436829,31.0607872,34.23654556,29.44654083,33.12113571,29.879179
4/24/2018,12:37:24 PM,675,4.595,37.13949203,30.41774368,30.23849678,31.07266235,34.28279877,29.48265457,33.15615082,29.879179
4/24/2018,12:37:24 PM,945,4.865,37.16208267,30.3580246,30.25045395,31.04891205,34.1902771,29.44654083,33.12113571,29.81918716
4/24/2018,12:37:25 PM,486,5.406,37.10560226,30.40580177,30.2265377,31.02515411,34.1902771,29.41041565,33.10946274,29.77116966
4/24/2018,12:37:25 PM,756,5.676,37.09430313,30.32217979,30.19065094,31.03703308,34.13241196,29.44654083,33.12113571,29.77116966
4/24/2018,12:37:26 PM,26,5.946,37.083004,30.40580177,30.25045395,31.04891205,34.13241196,29.44654083,33.09778976,29.78317642
4/24/2018,12:37:26 PM,297,6.217,37.1169014,30.42968369,30.25045395,31.0607872,34.15555954,29.43449974,33.10946274,29.79518127
