Plot 1 FLIR USB Video,,,,,
,,,,,
,,,,Sp1.Value,Sp2.Value
Emissivity,,,,0.9499999881,0.9499999881
Distance,,,,1,1
Reflected temperature,,,,23.9999939,23.9999939
Location X,,,,168,19
Location Y,,,,115,75
Size X,,,,,
Size Y,,,,,
Surface (pixels),,,,,
,,,,,
Date,Time,Milliseconds,Relative time,Sp1.Value,Sp2.Value
4/24/2018,2:43:38 PM,459,0,32.63182449,28.71439743
4/24/2018,2:43:38 PM,999,0.54,32.66695786,28.71439743
4/24/2018,2:43:39 PM,270,0.811,32.65524673,28.71439743
4/24/2018,2:43:39 PM,540,1.081,32.64353561,28.65384102
4/24/2018,2:43:39 PM,810,1.351,32.573246,28.55688667
4/24/2018,2:43:40 PM,80,1.621,32.62010956,28.70228767
4/24/2018,2:43:40 PM,351,1.892,32.60839462,28.62961006
4/24/2018,2:43:40 PM,621,2.162,32.62010956,28.65384102
4/24/2018,2:43:40 PM,891,2.432,32.62010956,28.65384102
4/24/2018,2:43:41 PM,432,2.973,32.59667969,28.71439743
4/24/2018,2:43:41 PM,702,3.243,32.63182449,28.67806816
4/24/2018,2:43:41 PM,972,3.513,32.67866516,28.75071526
4/24/2018,2:43:42 PM,243,3.784,32.66695786,28.72650337
4/24/2018,2:43:42 PM,513,4.054,32.69037247,28.72650337
4/24/2018,2:43:42 PM,783,4.324,32.69037247,28.71439743
4/24/2018,2:43:43 PM,53,4.594,32.66695786,28.65384102
4/24/2018,2:43:43 PM,324,4.865,32.62010956,28.64172554
4/24/2018,2:43:43 PM,594,5.135,32.63182449,28.59325409
4/24/2018,2:43:44 PM,134,5.675,32.63182449,28.66595459
4/24/2018,2:43:44 PM,405,5.946,32.573246,28.58113289
4/24/2018,2:43:44 PM,675,6.216,32.58496475,28.54476166
4/24/2018,2:43:44 PM,945,6.486,32.573246,28.58113289
4/24/2018,2:43:45 PM,216,6.757,32.67866516,28.62961006
4/24/2018,2:43:45 PM,486,7.027,32.73719025,28.71439743
4/24/2018,2:43:45 PM,756,7.297,32.63182449,28.61749268
4/24/2018,2:43:46 PM,26,7.567,32.64353561,28.69017792
4/24/2018,2:43:46 PM,567,8.108,32.66695786,28.66595459
4/24/2018,2:43:46 PM,837,8.378,32.66695786,28.76281929
4/24/2018,2:43:47 PM,107,8.648,32.67866516,28.72650337
4/24/2018,2:43:47 PM,378,8.919,32.70207977,28.75071526
4/24/2018,2:43:47 PM,648,9.189,32.66695786,28.69017792
4/24/2018,2:43:47 PM,918,9.459,32.67866516,28.70228767
4/24/2018,2:43:48 PM,188,9.729,32.66695786,28.65384102
4/24/2018,2:43:48 PM,459,10,32.64353561,28.64172554
4/24/2018,2:43:48 PM,999,10.54,32.66695786,28.69017792
4/24/2018,2:43:49 PM,270,10.811,32.66695786,28.61749268
4/24/2018,2:43:49 PM,540,11.081,32.64353561,28.60537338
4/24/2018,2:43:49 PM,810,11.351,32.60839462,28.62961006
4/24/2018,2:43:50 PM,80,11.621,32.63182449,28.59325409
4/24/2018,2:43:50 PM,351,11.892,32.65524673,28.65384102
4/24/2018,2:43:50 PM,891,12.432,32.63182449,28.61749268
4/24/2018,2:43:51 PM,161,12.702,32.573246,28.61749268
4/24/2018,2:43:51 PM,432,12.973,32.59667969,28.65384102
4/24/2018,2:43:51 PM,702,13.243,32.66695786,28.66595459
4/24/2018,2:43:51 PM,972,13.513,32.58496475,28.60537338
4/24/2018,2:43:52 PM,243,13.784,32.62010956,28.65384102
4/24/2018,2:43:52 PM,513,14.054,32.59667969,28.65384102
4/24/2018,2:43:52 PM,783,14.324,32.66695786,28.70228767
4/24/2018,2:43:53 PM,53,14.594,32.65524673,28.65384102
4/24/2018,2:43:53 PM,594,15.135,32.60839462,28.59325409
4/24/2018,2:43:53 PM,864,15.405,32.56152725,28.50837898
4/24/2018,2:43:54 PM,134,15.675,32.56152725,28.53263474
4/24/2018,2:43:54 PM,405,15.946,32.52636337,28.52050781
4/24/2018,2:43:54 PM,675,16.216,32.49118805,28.4355793
4/24/2018,2:43:54 PM,945,16.486,32.50291443,28.49624825
4/24/2018,2:43:55 PM,216,16.757,32.56152725,28.59325409
4/24/2018,2:43:55 PM,486,17.027,32.52636337,28.52050781
4/24/2018,2:43:56 PM,26,17.567,32.49118805,28.48411751
4/24/2018,2:43:56 PM,297,17.838,32.47946167,28.53263474
4/24/2018,2:43:56 PM,567,18.108,32.47946167,28.48411751
4/24/2018,2:43:56 PM,837,18.378,32.52636337,28.48411751
4/24/2018,2:43:57 PM,107,18.648,32.50291443,28.47198486
4/24/2018,2:43:57 PM,648,19.189,32.4560051,28.49624825
4/24/2018,2:43:57 PM,918,19.459,32.46773529,28.45985031
4/24/2018,2:43:58 PM,188,19.729,32.60839462,28.62961006
4/24/2018,2:43:58 PM,459,20,32.69037247,28.72650337
4/24/2018,2:43:58 PM,729,20.27,32.69037247,28.69017792
4/24/2018,2:43:59 PM,270,20.811,32.72548676,28.71439743
4/24/2018,2:43:59 PM,540,21.081,32.76059341,28.71439743
4/24/2018,2:43:59 PM,810,21.351,32.76059341,28.76281929
