Plot 1 FLIR USB Video,,,,,,,,,
,,,,,,,,,
,,,,Sp1.Value,Sp2.Value,Sp3.Value,Sp4.Value,Sp5.Value,Sp6.Value
Emissivity,,,,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881
Distance,,,,1,1,1,1,1,1
Reflected temperature,,,,19.9999939,19.9999939,19.9999939,19.9999939,19.9999939,19.9999939
Location X,,,,27,27,23,282,283,283
Location Y,,,,61,115,173,64,116,172
Size X,,,,,,,,,
Size Y,,,,,,,,,
Surface (pixels),,,,,,,,,
,,,,,,,,,
Date,Time,Milliseconds,Relative time,Sp1.Value,Sp2.Value,Sp3.Value,Sp4.Value,Sp5.Value,Sp6.Value
4/25/2018,9:27:01 AM,459,0,26.70540047,26.92710876,26.32255936,27.5651989,26.79167175,26.81630898
4/25/2018,9:27:01 AM,999,0.54,26.71772957,26.95171547,26.32255936,27.63859749,26.82862473,26.98861694
4/25/2018,9:27:02 AM,270,0.811,26.75470543,27.00091553,26.40911865,27.12382317,26.87787628,26.4461956
4/25/2018,9:27:02 AM,540,1.081,26.81630898,26.52031517,26.4461956,27.12382317,26.90249634,26.47090721
4/25/2018,9:27:02 AM,810,1.351,26.85325432,26.58204269,26.43383789,27.12382317,26.90249634,26.48326111
4/25/2018,9:27:03 AM,81,1.622,26.87787628,26.55735588,26.48326111,27.08696365,27.02550697,26.59438515
4/25/2018,9:27:03 AM,351,1.892,26.93941307,26.64373779,26.49561501,27.0500946,27.00091553,26.59438515
4/25/2018,9:27:03 AM,621,2.162,26.93941307,26.64373779,26.50796509,27.06238556,27.03780174,26.66840744
4/25/2018,9:27:03 AM,891,2.432,27.00091553,26.60672569,26.16162872,27.06238556,27.17294884,26.66840744
4/25/2018,9:27:04 AM,162,2.703,26.48326111,26.63140297,26.16162872,27.07467461,27.16066933,26.64373779
4/25/2018,9:27:04 AM,432,2.973,26.48326111,26.76702881,26.16162872,27.18522644,27.41826248,26.73005676
4/25/2018,9:27:04 AM,972,3.513,26.52031517,26.77935028,25.98806381,27.17294884,26.77935028,26.81630898
4/25/2018,9:27:05 AM,243,3.784,26.59438515,26.77935028,25.9632473,27.29566956,26.82862473,26.82862473
4/25/2018,9:27:05 AM,513,4.054,26.63140297,26.80399132,25.9632473,27.36924171,26.84094048,26.91480255
4/25/2018,9:27:05 AM,783,4.324,26.65607452,26.85325432,26.0128746,27.33246231,26.89018631,26.92710876
4/25/2018,9:27:06 AM,54,4.595,26.64373779,26.86556625,25.98806381,27.57743454,26.91480255,26.90249634
4/25/2018,9:27:06 AM,324,4.865,26.70540047,26.34729767,26.06248093,26.97631836,26.96401787,26.87787628
4/25/2018,9:27:06 AM,864,5.405,26.75470543,26.34729767,26.05008125,27.00091553,26.96401787,26.92710876
4/25/2018,9:27:07 AM,135,5.676,26.77935028,26.34729767,26.12445831,27.0132122,27.0132122,26.84094048
4/25/2018,9:27:07 AM,405,5.946,26.79167175,26.32255936,26.19878578,27.07467461,27.0132122,26.31018639
4/25/2018,9:27:07 AM,675,6.216,26.84094048,26.29781532,26.19878578,27.13610649,27.12382317,26.38439369
4/25/2018,9:27:08 AM,216,6.757,26.86556625,26.27306557,26.39675713,27.17294884,27.13610649,26.47090721
4/25/2018,9:27:08 AM,486,7.027,26.38439369,26.28544044,25.91359711,27.09925079,27.23432541,26.54500961
4/25/2018,9:27:08 AM,486,7.027,26.38439369,26.28544044,25.95083618,27.16066933,27.24659729,26.56970024
4/25/2018,9:27:08 AM,486,7.027,26.38439369,26.42148018,25.92601204,27.18522644,27.19750214,26.63140297
4/25/2018,9:27:09 AM,837,8.378,26.38439369,26.35966301,26.0128746,27.32019997,27.22205353,26.70540047
4/25/2018,9:27:10 AM,378,8.919,26.33492851,26.48326111,26.00046921,27.32019997,27.24659729,26.66840744
4/25/2018,9:27:10 AM,648,9.189,26.33492851,26.56970024,26.05008125,27.40600777,27.11153793,26.77935028
4/25/2018,9:27:10 AM,918,9.459,26.34729767,26.54500961,26.03767967,27.41826248,26.65607452,26.76702881
4/25/2018,9:27:11 AM,189,9.73,26.37203026,26.74238205,26.07487869,27.41826248,26.73005676,26.73005676
4/25/2018,9:27:11 AM,729,10.27,26.45855331,26.19878578,26.07487869,27.45501328,26.77935028,26.80399132
4/25/2018,9:27:11 AM,999,10.54,26.45855331,26.248312,26.16162872,27.41826248,26.85325432,26.84094048
4/25/2018,9:27:12 AM,270,10.811,26.61906433,26.2359314,26.2235508,27.32019997,26.87787628,26.87787628
4/25/2018,9:27:12 AM,540,11.081,26.65607452,26.28544044,26.26068878,26.81630898,26.89018631,26.91480255
4/25/2018,9:27:12 AM,810,11.351,26.61906433,26.28544044,26.26068878,26.86556625,27.00091553,26.91480255
4/25/2018,9:27:13 AM,351,11.892,26.80399132,26.35966301,26.248312,26.93941307,26.96401787,26.73005676
4/25/2018,9:27:13 AM,621,12.162,26.248312,26.32255936,26.248312,27.03780174,27.0500946,26.248312
4/25/2018,9:27:13 AM,891,12.432,26.32255936,26.42148018,26.26068878,27.0500946,27.09925079,26.248312
4/25/2018,9:27:14 AM,162,12.703,26.32255936,26.38439369,26.14923859,27.11153793,27.06238556,26.248312
4/25/2018,9:27:14 AM,432,12.973,26.34729767,26.53266335,25.71478271,27.18522644,27.09925079,26.248312
4/25/2018,9:27:14 AM,702,13.243,26.37203026,26.53266335,25.75208664,27.19750214,27.18522644,26.248312
4/25/2018,9:27:15 AM,243,13.784,26.42148018,26.63140297,25.85150528,27.23432541,27.23432541,26.248312
