Plot 1 FLIR USB Video,,,,,,,,,
,,,,,,,,,
,,,,Sp1.Value,Sp2.Value,Sp3.Value,Sp4.Value,Sp5.Value,Sp6.Value
Emissivity,,,,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881
Distance,,,,1,1,1,1,1,1
Reflected temperature,,,,21.9999939,21.9999939,21.9999939,21.9999939,21.9999939,21.9999939
Location X,,,,27,28,23,282,283,283
Location Y,,,,61,119,173,64,116,172
Size X,,,,,,,,,
Size Y,,,,,,,,,
Surface (pixels),,,,,,,,,
,,,,,,,,,
Date,Time,Milliseconds,Relative time,Sp1.Value,Sp2.Value,Sp3.Value,Sp4.Value,Sp5.Value,Sp6.Value
4/25/2018,9:36:03 AM,81,0,25.40343285,27.45501328,25.15373421,24.87842751,24.70287895,24.37613297
4/25/2018,9:36:03 AM,351,0.27,25.44083977,27.49175453,25.14123535,24.9410553,24.72797394,24.37613297
4/25/2018,9:36:03 AM,891,0.81,25.4533062,27.5039978,25.19122505,24.87842751,24.7154274,24.43904305
4/25/2018,9:36:04 AM,162,1.081,25.46577072,27.5039978,25.22870255,24.916008,24.72797394,24.43904305
4/25/2018,9:36:04 AM,432,1.351,25.49069786,27.58967018,25.2911377,25.01616478,24.77814674,24.51448822
4/25/2018,9:36:04 AM,702,1.621,25.27865219,27.41826248,25.09122467,24.77814674,24.56475639,24.28800011
4/25/2018,9:36:04 AM,972,1.891,25.27865219,27.41826248,25.12873459,24.7154274,24.52705765,24.2502079
4/25/2018,9:36:05 AM,513,2.432,25.19122505,27.36924171,25.06620979,24.72797394,24.55219078,24.2502079
4/25/2018,9:36:05 AM,783,2.702,25.22870255,27.35698318,25.07871819,24.69033051,24.56475639,24.26280594
4/25/2018,9:36:06 AM,54,2.973,25.31610107,27.46726227,25.11623192,24.84083176,24.64011765,24.35095978
4/25/2018,9:36:06 AM,324,3.243,25.26616669,27.44276428,25.04118919,24.79068756,24.6024437,24.26280594
4/25/2018,9:36:06 AM,594,3.513,25.26616669,27.49175453,25.06620979,24.79068756,24.62756157,24.32578087
4/25/2018,9:36:07 AM,135,4.054,25.34106064,27.55296135,25.10372925,24.82829857,24.67777824,24.33837128
4/25/2018,9:36:07 AM,405,4.324,25.34106064,27.51624107,25.11623192,24.82829857,24.66522598,24.31318855
4/25/2018,9:36:07 AM,675,4.594,25.37848854,27.5651989,25.12873459,24.82829857,24.70287895,24.33837128
4/25/2018,9:36:07 AM,945,4.864,25.32858086,27.58967018,25.09122467,24.86589622,24.70287895,24.31318855
4/25/2018,9:36:08 AM,216,5.135,25.39096069,27.60190392,25.11623192,24.85336494,24.7530632,24.33837128
4/25/2018,9:36:08 AM,756,5.675,25.44083977,27.66305351,25.20371819,24.916008,24.76560593,24.42646408
4/25/2018,9:36:09 AM,27,5.946,25.46577072,27.72416878,25.20371819,24.97861671,24.80322647,24.47677231
4/25/2018,9:36:09 AM,297,6.216,25.42837334,27.6997261,25.14123535,24.92853355,24.77814674,24.46419716
4/25/2018,9:36:09 AM,567,6.486,25.44083977,27.73638916,25.19122505,25.00365067,24.82829857,24.51448822
4/25/2018,9:36:09 AM,837,6.756,25.14123535,27.41826248,24.916008,24.67777824,24.48934555,24.14936447
4/25/2018,9:36:10 AM,378,7.297,25.16623306,27.45501328,24.96609688,24.66522598,24.52705765,24.2250061
4/25/2018,9:36:10 AM,648,7.567,25.10372925,27.45501328,24.92853355,24.67777824,24.53962517,24.16197586
4/25/2018,9:36:10 AM,918,7.837,25.20371819,27.5039978,24.9410553,24.72797394,24.55219078,24.19979858
4/25/2018,9:36:11 AM,189,8.108,25.21621132,27.52848244,24.95357704,24.7530632,24.61500359,24.2250061
4/25/2018,9:36:11 AM,459,8.378,25.21621132,27.52848244,25.04118919,24.74052048,24.61500359,24.28800011
4/25/2018,9:36:11 AM,729,8.648,25.24119186,27.5651989,25.01616478,24.7530632,24.65267181,24.30059433
4/25/2018,9:36:11 AM,999,8.918,25.26616669,27.57743454,25.00365067,24.7530632,24.6024437,24.32578087
4/25/2018,9:36:12 AM,270,9.189,25.17873001,27.51624107,24.97861671,24.74052048,24.61500359,24.27540398
4/25/2018,9:36:12 AM,810,9.729,25.19122505,27.55296135,24.99113464,24.77814674,24.62756157,24.27540398
4/25/2018,9:36:13 AM,81,10,25.25368118,27.55296135,24.96609688,24.81576347,24.65267181,24.32578087
4/25/2018,9:36:13 AM,351,10.27,25.31610107,27.63859749,25.0537014,24.82829857,24.7154274,24.37613297
4/25/2018,9:36:13 AM,621,10.54,25.22870255,27.63859749,25.04118919,24.80322647,24.7530632,24.37613297
4/25/2018,9:36:13 AM,891,10.81,25.24119186,27.62636757,25.04118919,24.84083176,24.70287895,24.41388321
4/25/2018,9:36:14 AM,162,11.081,25.35353661,27.67527962,25.00365067,24.92853355,24.81576347,24.41388321
4/25/2018,9:36:14 AM,702,11.621,25.36601257,27.72416878,25.10372925,24.97861671,24.76560593,24.46419716
4/25/2018,9:36:14 AM,972,11.891,25.32858086,27.73638916,25.07871819,24.95357704,24.82829857,24.47677231
4/25/2018,9:36:15 AM,243,12.162,24.92853355,27.34472275,24.74052048,24.55219078,24.38871765,24.0484314
4/25/2018,9:36:15 AM,513,12.432,24.82829857,27.27113724,24.70287895,24.43904305,24.31318855,23.96004105
4/25/2018,9:36:15 AM,783,12.702,24.86589622,27.29566956,24.69033051,24.42646408,24.31318855,23.94740677
