Plot 1 FLIR USB Video,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,Sp1.Value,Sp2.Value,Sp3.Value,Sp4.Value,Sp5.Value,Sp6.Value,Sp7.Value,Sp8.Value,Sp9.Value,Sp10.Value
Emissivity,,,,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881
Distance,,,,1,1,1,1,1,1,1,1,1,1
Reflected temperature,,,,19.9999939,19.9999939,19.9999939,19.9999939,19.9999939,19.9999939,19.9999939,19.9999939,19.9999939,19.9999939
Location X,,,,29,29,31,280,283,285,104,237,241,243
Location Y,,,,71,121,180,61,112,174,116,60,116,176
Size X,,,,,,,,,,,,,
Size Y,,,,,,,,,,,,,
Surface (pixels),,,,,,,,,,,,,
,,,,,,,,,,,,,
Date,Time,Milliseconds,Relative time,Sp1.Value,Sp2.Value,Sp3.Value,Sp4.Value,Sp5.Value,Sp6.Value,Sp7.Value,Sp8.Value,Sp9.Value,Sp10.Value
4/26/2018,9:49:30 AM,999,0,34.68676758,38.00622559,33.3427124,31.72397995,31.92457581,30.38191605,26.91480255,28.04145432,27.67527962,27.14838791
4/26/2018,9:49:31 AM,270,0.271,34.67524338,38.02865982,33.33106232,31.75940323,31.92457581,30.44162369,26.95171547,28.06582451,27.6997261,27.19750214
4/26/2018,9:49:31 AM,540,0.541,34.74436951,38.08472061,33.38930893,31.72397995,31.94815445,30.44162369,26.90249634,28.07800865,27.67527962,27.16066933
4/26/2018,9:49:31 AM,810,0.811,34.75588608,38.03987122,33.42424393,31.72397995,31.93636513,30.41774368,26.91480255,28.07800865,27.71194839,27.16066933
4/26/2018,9:49:32 AM,81,1.082,34.77891541,38.06229782,33.38930893,31.81842041,31.98351097,30.47743225,26.93941307,28.11454964,27.6997261,27.18522644
4/26/2018,9:49:32 AM,351,1.352,34.90550613,38.09593201,33.47080994,31.77120972,31.97172546,30.56094551,26.96401787,28.11454964,27.71194839,27.23432541
4/26/2018,9:49:32 AM,621,1.622,34.94000626,38.14076233,33.4591713,31.81842041,32.07774734,30.57287216,26.98861694,28.16325569,27.7608242,27.22205353
4/26/2018,9:49:32 AM,891,1.892,34.73284912,38.0174408,33.3427124,31.71216965,31.88920212,30.36997223,26.84094048,27.99269867,27.6508255,27.11153793
4/26/2018,9:49:33 AM,432,2.433,34.74436951,38.07351303,33.41260147,31.77120972,31.97172546,30.51323128,26.89018631,28.05364037,27.66305351,27.13610649
4/26/2018,9:49:33 AM,702,2.703,34.76739883,38.10713959,33.43588638,31.91278648,32.01885605,30.47743225,26.90249634,28.11454964,27.71194839,27.16066933
4/26/2018,9:49:33 AM,972,2.973,34.90550613,38.16316986,33.47080994,31.91278648,32.06597137,30.56094551,26.91480255,28.10237122,27.73638916,27.19750214
4/26/2018,9:49:33 AM,972,2.973,34.90550613,38.16316986,33.47080994,31.91278648,32.06597137,30.56094551,26.91480255,28.10237122,27.73638916,27.19750214
4/26/2018,9:49:33 AM,972,2.973,34.90550613,38.16316986,33.47080994,31.91278648,32.06597137,30.56094551,26.91480255,28.10237122,27.73638916,27.19750214
4/26/2018,9:49:39 AM,108,8.109,35.10088348,38.37585068,33.66850662,32.17190552,32.38349915,30.77542305,26.86556625,28.26060295,27.85851097,27.29566956
4/26/2018,9:49:39 AM,648,8.649,35.11236954,38.43175888,33.71497726,32.25423813,32.4304657,30.85872459,26.89018631,28.24843979,27.87071609,27.35698318
4/26/2018,9:49:39 AM,918,8.919,35.07791519,38.38703537,33.64526749,32.25423813,32.41872787,30.81113052,26.81630898,28.26060295,27.84630585,27.2834034
4/26/2018,9:49:40 AM,189,9.19,35.0089798,38.40939713,33.61039352,32.17190552,32.45394516,30.87062073,26.85325432,28.24843979,27.89512253,27.32019997
4/26/2018,9:49:40 AM,459,9.46,35.15829086,38.47646713,33.72659302,32.31300735,32.5478096,30.95385742,26.91480255,28.3214035,27.94392014,27.38149834
4/26/2018,9:49:40 AM,729,9.73,35.1353302,38.4876442,33.69174576,32.21895981,32.53607941,30.87062073,26.87787628,28.22410774,27.88292122,27.34472275
4/26/2018,9:49:40 AM,999,10,35.16976929,38.49881744,33.71497726,32.32476044,32.57126617,30.95385742,26.91480255,28.3214035,27.95611763,27.40600777
4/26/2018,9:49:41 AM,270,10.271,35.16976929,38.53233337,33.73820877,32.36000443,32.59471512,30.94196892,26.93941307,28.33356094,27.95611763,27.39375305
4/26/2018,9:49:41 AM,810,10.811,35.22714233,38.50999069,33.77304077,32.34825897,32.59471512,30.9776268,26.90249634,28.33356094,27.99269867,27.41826248
4/26/2018,9:49:42 AM,81,11.082,35.19272232,38.53233337,33.77304077,32.39524078,32.66503906,31.02515411,26.96401787,28.37002182,28.00488853,27.44276428
4/26/2018,9:49:42 AM,351,11.352,35.23861313,38.55467224,33.76143265,32.44220734,32.70018387,31.04891205,26.98861694,28.41861916,28.04145432,27.46726227
4/26/2018,9:49:42 AM,621,11.622,35.31888199,38.67746353,33.94706345,32.45394516,32.74702835,31.1557579,27.0500946,28.43076515,28.07800865,27.51624107
4/26/2018,9:49:42 AM,891,11.892,35.2615509,38.57700729,33.84268188,32.47741699,32.75873947,31.12015343,27.00091553,28.39432335,28.09018898,27.5039978
4/26/2018,9:49:43 AM,162,12.163,35.34180832,38.59933853,33.81947327,32.50088501,32.75873947,31.1557579,26.97631836,28.43076515,28.05364037,27.51624107
4/26/2018,9:49:43 AM,432,12.433,35.04345322,38.49881744,33.69174576,32.289505,32.57126617,30.9776268,26.81630898,28.26060295,27.91952515,27.34472275
4/26/2018,9:49:43 AM,702,12.703,35.11236954,38.43175888,33.6336441,32.26599503,32.489151,30.9063015,26.73005676,28.21193886,27.83409691,27.2834034
4/26/2018,9:49:44 AM,243,13.244,35.07791519,38.45411682,33.58714294,32.23072052,32.489151,30.88251495,26.74238205,28.18759918,27.83409691,27.29566956
4/26/2018,9:49:44 AM,513,13.514,35.1353302,38.4876442,33.65688705,32.40698624,32.60643768,30.98951149,26.80399132,28.27276611,27.88292122,27.35698318
4/26/2018,9:49:44 AM,783,13.784,35.12385178,38.47646713,33.62202072,32.36000443,32.55953598,30.95385742,26.74238205,28.27276611,27.89512253,27.33246231
4/26/2018,9:49:45 AM,54,14.055,35.12385178,38.4876442,33.66850662,32.38349915,32.58298874,30.93008041,26.74238205,28.26060295,27.89512253,27.30793571
4/26/2018,9:49:45 AM,324,14.325,35.12385178,38.56583786,33.66850662,32.41872787,32.676754,30.98951149,26.79167175,28.27276611,27.91952515,27.36924171
4/26/2018,9:49:45 AM,864,14.865,35.25008392,38.57700729,33.76143265,32.47741699,32.676754,31.08453751,26.79167175,28.30924606,27.94392014,27.44276428
4/26/2018,9:49:46 AM,135,15.136,35.2615509,38.62166214,33.80786514,32.53607941,32.66503906,31.08453751,26.80399132,28.39432335,27.98050499,27.43051338
4/26/2018,9:49:46 AM,405,15.406,35.21566772,38.63282394,33.76143265,32.4304657,32.70018387,31.0607872,26.77935028,28.3578701,27.94392014,27.41826248
4/26/2018,9:49:46 AM,675,15.676,35.31888199,38.64398575,33.78465271,32.5478096,32.74702835,31.07266235,26.85325432,28.40647316,27.96831131,27.43051338
4/26/2018,9:49:46 AM,945,15.946,35.33034515,38.66630554,33.83107758,32.61816025,32.74702835,31.07266235,26.82862473,28.38217354,27.99269867,27.45501328
4/26/2018,9:49:47 AM,216,16.217,35.36472702,38.72208405,33.85428238,32.64160156,32.80556107,31.09641075,26.86556625,28.45505524,28.02926636,27.5039978
4/26/2018,9:49:47 AM,486,16.487,35.43346405,38.77783966,33.86588287,32.57126617,32.82896423,31.19135094,26.91480255,28.47933769,28.05364037,27.49175453
4/26/2018,9:49:47 AM,756,16.757,35.53649139,38.85585785,34.03977203,32.77044678,33.00435257,31.25065041,27.0132122,28.58855057,28.21193886,27.61413574
4/26/2018,9:49:48 AM,297,17.298,35.49071121,38.83357239,33.93547058,32.73532104,33.01603699,31.25065041,26.96401787,28.55215836,28.16325569,27.57743454
4/26/2018,9:49:48 AM,567,17.568,35.4678154,38.81128311,33.98183823,32.77044678,33.01603699,31.41653061,26.98861694,28.62493324,28.19976997,27.6508255
4/26/2018,9:49:48 AM,837,17.838,35.38764191,38.80013657,33.97024918,32.73532104,32.94591904,31.30991936,26.89018631,28.52788925,28.10237122,27.55296135
4/26/2018,9:49:49 AM,108,18.109,35.31888199,38.76669312,33.86588287,32.61816025,32.89915085,31.1557579,26.85325432,28.45505524,28.06582451,27.51624107
4/26/2018,9:49:49 AM,378,18.379,35.34180832,38.80013657,33.84268188,32.62988281,32.89915085,31.1557579,26.86556625,28.47933769,28.07800865,27.51624107
4/26/2018,9:49:49 AM,648,18.649,35.44491577,38.83357239,33.87748337,32.676754,32.93422699,31.20321274,26.87787628,28.47933769,28.13890457,27.54072189
4/26/2018,9:49:50 AM,189,19.19,35.42200851,38.84471512,33.9238739,32.68846893,32.98098373,31.21507454,26.85325432,28.5157547,28.10237122,27.54072189
