Plot 1 FLIR USB Video,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,Sp1.Value,Sp2.Value,Sp3.Value,Sp4.Value,Sp5.Value,Sp6.Value,Sp7.Value,Sp8.Value,Sp9.Value,Sp10.Value
Emissivity,,,,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881
Distance,,,,1,1,1,1,1,1,1,1,1,1
Reflected temperature,,,,19.9999939,19.9999939,19.9999939,19.9999939,19.9999939,19.9999939,19.9999939,19.9999939,19.9999939,19.9999939
Location X,,,,24,28,30,278,282,283,114,243,245,249
Location Y,,,,68,117,180,60,110,174,118,59,113,173
Size X,,,,,,,,,,,,,
Size Y,,,,,,,,,,,,,
Surface (pixels),,,,,,,,,,,,,
,,,,,,,,,,,,,
Date,Time,Milliseconds,Relative time,Sp1.Value,Sp2.Value,Sp3.Value,Sp4.Value,Sp5.Value,Sp6.Value,Sp7.Value,Sp8.Value,Sp9.Value,Sp10.Value
4/26/2018,2:38:08 PM,135,0,44.50082016,47.80781555,42.61038208,43.94511795,44.19119644,42.16602707,35.50215912,39.15632248,38.81128311,38.18557358
4/26/2018,2:38:08 PM,675,0.54,44.41547775,47.79741287,42.56709671,43.95582581,44.22326279,42.1768837,35.50215912,39.20077515,38.80013657,38.17437363
4/26/2018,2:38:08 PM,945,0.81,44.41547775,47.81821823,42.5887413,43.94511795,44.22326279,42.13345337,35.4678154,39.15632248,38.76669312,38.18557358
4/26/2018,2:38:09 PM,216,1.081,44.46882248,47.7766037,42.51296997,43.84869766,44.14843369,42.10087204,35.43346405,39.1229744,38.78899002,38.16316986
4/26/2018,2:38:09 PM,486,1.351,44.41547775,47.72456741,42.51296997,43.85941696,44.15912628,42.13345337,35.41055679,39.13409042,38.76669312,38.07351303
4/26/2018,2:38:10 PM,26,1.891,44.36211395,47.7037468,42.56709671,43.88084412,44.18050766,42.12259293,35.4678154,39.20077515,38.77783966,38.12955475
4/26/2018,2:38:10 PM,297,2.162,44.35143661,47.7037468,42.5454483,43.91298676,44.20188522,42.06828308,35.42200851,39.21188736,38.78899002,38.10713959
4/26/2018,2:38:10 PM,567,2.432,44.47948837,47.79741287,42.57791901,44.02006149,44.25531769,42.14431381,35.4678154,39.31184006,38.84471512,38.17437363
4/26/2018,2:38:10 PM,837,2.702,44.55413055,47.90140915,42.68609238,44.04146576,44.29804611,42.16602707,35.47926331,39.3340416,38.92268753,38.23036957
4/26/2018,2:38:11 PM,108,2.973,44.67133331,47.8910141,42.59955978,44.02006149,44.28736496,42.12259293,35.45636749,39.31184006,38.85585785,38.14076233
4/26/2018,2:38:11 PM,378,3.243,44.60741806,47.88061905,42.67528152,44.02006149,44.3194046,42.15517044,35.51360321,39.36733627,38.95609283,38.2415657
4/26/2018,2:38:11 PM,648,3.513,44.49015427,47.88061905,42.64283371,43.97724152,44.37278748,42.10087204,35.51360321,39.3340416,38.90041351,38.23036957
4/26/2018,2:38:11 PM,918,3.783,44.57544708,47.90140915,42.64283371,44.05216599,44.35143661,42.16602707,35.51360321,39.32294083,38.90041351,38.21917343
4/26/2018,2:38:12 PM,189,4.054,44.5967598,47.92219925,42.65365219,44.05216599,44.37278748,42.19859314,35.52505112,39.34513855,38.94495773,38.21917343
4/26/2018,2:38:12 PM,729,4.594,44.50082016,47.8910141,42.64283371,43.94511795,44.3194046,42.13345337,35.4678154,39.3340416,38.92268753,38.20797348
4/26/2018,2:38:12 PM,999,4.864,44.46882248,47.79741287,42.55627441,43.97724152,44.28736496,42.15517044,35.45636749,39.30073929,38.84471512,38.16316986
4/26/2018,2:38:13 PM,270,5.135,44.44748688,47.80781555,42.65365219,44.09495926,44.33008575,42.22029877,35.50215912,39.38952637,38.92268753,38.23036957
4/26/2018,2:38:13 PM,540,5.405,44.47948837,47.85982132,42.64283371,44.10565567,44.36211395,42.1768837,35.54793549,39.38952637,38.94495773,38.15196609
4/26/2018,2:38:13 PM,810,5.675,44.44748688,47.79741287,42.63201904,43.98794556,44.30872726,42.14431381,35.4678154,39.35623932,38.88927841,38.18557358
4/26/2018,2:38:14 PM,81,5.946,44.51148224,47.9325943,42.74014664,44.13774109,44.383461,42.23115158,35.51360321,39.42280579,38.91155243,38.25276184
4/26/2018,2:38:14 PM,351,6.216,44.43682098,47.82862091,42.59955978,44.10565567,44.383461,42.15517044,35.49071121,39.34513855,38.8781395,38.15196609
4/26/2018,2:38:14 PM,891,6.756,44.57544708,47.79741287,42.5887413,44.12704849,44.37278748,42.15517044,35.50215912,39.42280579,38.91155243,38.17437363
4/26/2018,2:38:15 PM,162,7.027,44.39413452,47.81821823,42.61038208,44.13774109,44.40480804,42.1768837,35.49071121,39.36733627,38.91155243,38.10713959
4/26/2018,2:38:15 PM,432,7.297,44.52214432,47.82862091,42.5887413,44.15912628,44.35143661,42.11173248,35.45636749,39.38952637,38.92268753,38.16316986
4/26/2018,2:38:15 PM,702,7.567,44.5328064,47.83901978,42.59955978,44.12704849,44.36211395,42.1768837,35.45636749,39.42280579,38.93382263,38.16316986
4/26/2018,2:38:15 PM,972,7.837,44.51148224,47.8910141,42.61038208,44.19119644,44.43682098,42.23115158,35.49071121,39.44498825,38.98948669,38.23036957
4/26/2018,2:38:16 PM,243,8.108,44.51148224,47.88061905,42.56709671,44.15912628,44.42615128,42.25284958,35.53649139,39.48933792,39.01174164,38.21917343
4/26/2018,2:38:16 PM,783,8.648,44.49015427,47.90140915,42.62120056,44.13774109,44.46882248,42.19859314,35.51360321,39.4671669,39.00061417,38.16316986
4/26/2018,2:38:17 PM,54,8.919,44.49015427,47.96377182,42.65365219,44.21257401,44.42615128,42.20944595,35.49071121,39.50042343,38.96722412,38.17437363
4/26/2018,2:38:17 PM,324,9.189,44.33008575,47.92219925,42.65365219,44.09495926,44.3194046,42.12259293,35.52505112,39.50042343,38.97835541,38.16316986
4/26/2018,2:38:17 PM,594,9.459,44.47948837,47.9118042,42.66446686,44.26600266,44.42615128,42.1768837,35.50215912,39.51150894,39.03399658,38.20797348
4/26/2018,2:38:18 PM,135,10,44.45815659,47.87022018,42.64283371,44.23394775,44.383461,42.14431381,35.44491577,39.51150894,38.97835541,38.12955475
4/26/2018,2:38:18 PM,405,10.27,44.46882248,47.8910141,42.65365219,44.20188522,44.36211395,42.13345337,35.47926331,39.50042343,39.01174164,38.18557358
4/26/2018,2:38:18 PM,675,10.54,44.42615128,47.90140915,42.62120056,44.21257401,44.43682098,42.16602707,35.47926331,39.52259445,39.03399658,38.19677353
4/26/2018,2:38:18 PM,945,10.81,44.52214432,48.04687119,42.76176453,44.34076309,44.52214432,42.23115158,35.58225632,39.61122513,39.14520645,38.29753494
4/26/2018,2:38:19 PM,216,11.081,44.54346848,47.87022018,42.66446686,44.25531769,44.44748688,42.14431381,35.4678154,39.56691742,39.01174164,38.18557358
4/26/2018,2:38:19 PM,486,11.351,44.44748688,47.8910141,42.64283371,44.22326279,44.47948837,42.24200058,35.45636749,39.58907318,39.02286911,38.20797348
4/26/2018,2:38:19 PM,756,11.621,44.47948837,47.92219925,42.69690704,44.26600266,44.55413055,42.24200058,35.51360321,39.63337326,39.08961487,38.2415657
4/26/2018,2:38:20 PM,26,11.891,44.50082016,47.87022018,42.71852875,44.3194046,44.52214432,42.22029877,35.51360321,39.61122513,39.10073471,38.20797348
4/26/2018,2:38:20 PM,567,12.432,44.47948837,47.84942245,42.71852875,44.28736496,44.55413055,42.26369858,35.57081604,39.6776619,39.14520645,38.26395798
4/26/2018,2:38:20 PM,837,12.702,44.49015427,47.90140915,42.66446686,44.27668381,44.5967598,42.28539276,35.55937576,39.71086502,39.15632248,38.29753494
4/26/2018,2:38:21 PM,108,12.973,44.49015427,47.95338058,42.75095749,44.29804611,44.5967598,42.27454758,35.53649139,39.74406052,39.16743851,38.2751503
4/26/2018,2:38:21 PM,378,13.243,44.44748688,47.94298553,42.79417801,44.33008575,44.69263077,42.29623795,35.51360321,39.74406052,39.22299576,38.35348129
4/26/2018,2:38:21 PM,648,13.513,44.40480804,47.9325943,42.79417801,44.36211395,44.63937759,42.35045624,35.55937576,39.78830719,39.22299576,38.30872726
4/26/2018,2:38:21 PM,918,13.783,44.383461,47.90140915,42.77257156,44.34076309,44.62872696,42.30708313,35.52505112,39.77724838,39.18966293,38.25276184
4/26/2018,2:38:22 PM,189,14.054,44.34076309,47.80781555,42.7077179,44.34076309,44.55413055,42.29623795,35.50215912,39.74406052,39.15632248,38.20797348
4/26/2018,2:38:22 PM,459,14.324,44.46882248,47.85982132,42.68609238,44.35143661,44.63937759,42.33961487,35.52505112,39.77724838,39.22299576,38.2751503
4/26/2018,2:38:22 PM,999,14.864,44.50082016,47.88061905,42.74014664,44.44748688,44.63937759,42.31792831,35.53649139,39.8325386,39.21188736,38.28634262
4/26/2018,2:38:23 PM,270,15.135,44.49015427,47.95338058,42.82658768,44.46882248,44.7032814,42.33961487,35.61656952,39.8325386,39.2896347,38.33110428
