Plot 1 FLIR USB Video,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,Sp1.Value,Sp2.Value,Sp3.Value,Sp4.Value,Sp5.Value,Sp6.Value,Sp7.Value,Sp8.Value,Sp9.Value,Sp10.Value
Emissivity,,,,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881
Distance,,,,1,1,1,1,1,1,1,1,1,1
Reflected temperature,,,,19.9999939,19.9999939,19.9999939,19.9999939,19.9999939,19.9999939,19.9999939,19.9999939,19.9999939,19.9999939
Location X,,,,24,23,23,283,284,285,117,233,234,239
Location Y,,,,63,117,176,61,118,173,118,60,117,178
Size X,,,,,,,,,,,,,
Size Y,,,,,,,,,,,,,
Surface (pixels),,,,,,,,,,,,,
,,,,,,,,,,,,,
Date,Time,Milliseconds,Relative time,Sp1.Value,Sp2.Value,Sp3.Value,Sp4.Value,Sp5.Value,Sp6.Value,Sp7.Value,Sp8.Value,Sp9.Value,Sp10.Value
5/2/2018,10:27:15 AM,756,0,32.58298874,35.20419693,31.87740707,29.97510529,30.5012989,30.03501892,30.70397377,30.05897522,30.51323128,29.879179
5/2/2018,10:27:16 AM,27,0.271,32.66503906,35.21566772,31.64128304,29.99907494,30.5012989,29.98709106,30.72779465,30.09490204,30.57287216,29.93914223
5/2/2018,10:27:16 AM,567,0.811,32.64160156,35.2615509,31.67673111,29.97510529,30.52516174,30.04699707,30.75161171,30.10687447,30.63248062,29.91516113
5/2/2018,10:27:16 AM,837,1.081,32.66503906,35.31888199,31.68854523,30.02303886,30.57287216,30.09490204,30.77542305,30.19065094,30.66823387,30.02303886
5/2/2018,10:27:17 AM,108,1.352,32.68846893,35.2730217,31.73578835,30.19065094,30.65631676,30.09490204,30.82303238,30.25045395,30.70397377,30.07095146
5/2/2018,10:27:17 AM,378,1.622,32.75873947,35.34180832,31.7830143,30.36997223,30.65631676,30.15475464,30.89440918,30.2265377,30.70397377,30.07095146
5/2/2018,10:27:17 AM,648,1.892,32.32476044,35.34180832,31.6294651,30.34607697,30.73970413,30.23849678,30.88251495,30.2982769,30.31022835,29.51875877
5/2/2018,10:27:18 AM,189,2.433,32.289505,35.34180832,31.48755074,30.39385986,30.79922867,30.34607697,30.91819191,30.45355988,30.16672134,29.53079033
5/2/2018,10:27:18 AM,459,2.703,32.26599503,35.06642914,31.52304459,30.41774368,30.16672134,30.33412933,30.33412933,30.51323128,30.2265377,29.51875877
5/2/2018,10:27:18 AM,729,2.973,32.31300735,35.14681244,31.5585289,30.45355988,30.15475464,30.34607697,30.34607697,30.56094551,30.2265377,29.56687927
5/2/2018,10:27:18 AM,999,3.243,32.38349915,35.14681244,31.5585289,30.5370903,30.16672134,30.40580177,30.38191605,30.63248062,30.28632164,29.62700081
5/2/2018,10:27:19 AM,270,3.514,32.37175369,35.19272232,31.57035446,30.5370903,30.2265377,30.41774368,30.39385986,30.6205616,30.33412933,29.60295677
5/2/2018,10:27:19 AM,810,4.054,32.40698624,35.28448868,31.58217812,30.64439964,30.25045395,30.48936653,30.46549797,30.65631676,30.38191605,29.63902283
5/2/2018,10:27:19 AM,810,4.054,32.40698624,35.12385178,31.75940323,30.66823387,30.34607697,30.5370903,30.47743225,30.21457672,30.38191605,29.72313309
5/2/2018,10:27:19 AM,810,4.054,32.40698624,34.94000626,31.84201813,30.10687447,30.42968369,30.56094551,30.51323128,30.09490204,29.90316772,29.37427902
5/2/2018,10:27:21 AM,432,5.676,32.19543457,34.92850494,31.88920212,30.05897522,30.47743225,30.5370903,30.63248062,30.16672134,29.91516113,29.16929245
5/2/2018,10:27:21 AM,702,5.946,32.25423813,35.03196335,31.93636513,30.04699707,30.46549797,30.6205616,30.69206047,30.19065094,30.0110569,29.24168015
5/2/2018,10:27:21 AM,972,6.216,32.23072052,35.0089798,31.94815445,30.13081741,30.52516174,29.92715263,30.71588516,30.20261383,29.97510529,29.28991508
5/2/2018,10:27:22 AM,243,6.487,32.30125809,35.03196335,31.95993996,30.19065094,30.56094551,29.90316772,30.75161171,30.2982769,30.02303886,29.49468994
5/2/2018,10:27:22 AM,513,6.757,32.39524078,35.08940125,32.03063965,30.2265377,30.584795,30.0110569,30.82303238,30.3580246,30.0110569,29.50672531
5/2/2018,10:27:22 AM,783,7.027,32.19543457,35.23861313,32.03063965,30.3580246,30.66823387,30.02303886,30.81113052,30.3580246,30.05897522,29.57890511
5/2/2018,10:27:23 AM,54,7.298,32.00707626,35.34180832,32.07774734,30.34607697,30.68014717,30.09490204,30.41774368,29.79518127,30.10687447,29.60295677
5/2/2018,10:27:23 AM,324,7.568,31.99529457,35.37618637,32.12483597,30.38191605,30.77542305,30.14278603,30.32217979,29.78317642,29.86718369,29.56687927
5/2/2018,10:27:23 AM,594,7.838,32.11306381,35.37618637,31.60582352,30.44162369,30.72779465,30.21457672,30.38191605,29.90316772,29.63902283,29.63902283
5/2/2018,10:27:24 AM,135,8.379,32.10129166,35.44491577,31.59400177,30.47743225,30.76351738,30.36997223,30.44162369,29.91516113,29.63902283,29.67507744
5/2/2018,10:27:24 AM,405,8.649,32.12483597,35.49071121,31.60582352,30.51323128,30.09490204,30.39385986,30.41774368,29.95113182,29.71112061,29.67507744
5/2/2018,10:27:24 AM,675,8.919,32.17190552,35.50215912,31.67673111,30.56094551,30.13081741,30.42968369,30.48936653,29.95113182,29.86718369,29.73514366
5/2/2018,10:27:25 AM,216,9.46,32.34825897,35.45636749,31.66491699,30.59671974,30.19065094,30.5012989,30.54901886,29.95113182,29.90316772,29.74715424
5/2/2018,10:27:25 AM,486,9.73,32.46568298,35.54793549,31.72397995,30.64439964,30.23849678,30.54901886,30.54901886,29.99907494,29.98709106,29.27785873
5/2/2018,10:27:25 AM,756,10,32.489151,35.55937576,31.77120972,30.6205616,30.32217979,30.5370903,30.09490204,29.66305923,29.99907494,29.28991508
5/2/2018,10:27:26 AM,27,10.271,32.52434921,35.05493927,31.87740707,30.70397377,30.2982769,30.10687447,30.09490204,29.47061729,29.95113182,29.33813095
5/2/2018,10:27:26 AM,297,10.541,32.60643768,35.04345322,31.87740707,29.99907494,30.34607697,29.99907494,30.11884689,29.49468994,30.03501892,29.38632584
5/2/2018,10:27:26 AM,837,11.081,32.5478096,35.05493927,31.88920212,29.97510529,30.52516174,30.0829277,30.14278603,29.57890511,30.09490204,29.42245865
5/2/2018,10:27:27 AM,108,11.352,32.68846893,35.07791519,31.90099335,30.02303886,30.5370903,30.09490204,30.15475464,29.73514366,30.09490204,29.41041565
5/2/2018,10:27:27 AM,378,11.622,32.62988281,35.15829086,31.93636513,30.07095146,30.60864067,30.05897522,30.14278603,29.78317642,30.14278603,29.44654083
5/2/2018,10:27:27 AM,648,11.892,32.68846893,35.19272232,31.98351097,30.17868614,30.64439964,30.17868614,30.14278603,29.8311882,30.17868614,29.45858002
5/2/2018,10:27:27 AM,918,12.162,32.77044678,35.2615509,32.01885605,30.19065094,30.68014717,30.26241112,30.25045395,29.84318733,29.73514366,29.48265457
5/2/2018,10:27:28 AM,189,12.433,32.18367004,35.35326767,32.0895195,30.26241112,30.71588516,30.26241112,30.0110569,29.8311882,29.68709373,29.57890511
5/2/2018,10:27:28 AM,729,12.973,32.19543457,35.39910126,32.04241562,30.41774368,30.26241112,29.66305923,29.79518127,29.90316772,29.73514366,29.81918716
5/2/2018,10:27:28 AM,999,13.243,32.2071991,35.41055679,32.0895195,30.39385986,30.14278603,29.65104103,29.80718422,29.95113182,29.80718422,29.86718369
5/2/2018,10:27:29 AM,270,13.514,32.21895981,35.42200851,31.53487396,30.46549797,30.21457672,29.66305923,29.85518646,29.97510529,29.85518646,29.86718369
5/2/2018,10:27:29 AM,540,13.784,32.26599503,35.42200851,31.57035446,30.51323128,30.26241112,29.72313309,30.0110569,30.0110569,29.86718369,29.91516113
5/2/2018,10:27:29 AM,810,14.054,32.3365097,35.44491577,31.58217812,30.56094551,30.27436829,29.77116966,30.03501892,30.04699707,29.86718369,30.02303886
5/2/2018,10:27:30 AM,81,14.325,32.44220734,35.51360321,31.5585289,30.584795,30.32217979,29.72313309,30.10687447,29.56687927,29.879179,30.04699707
5/2/2018,10:27:30 AM,351,14.595,32.45394516,35.55937576,31.6294651,30.09490204,30.39385986,29.7591629,30.14278603,29.53079033,29.879179,29.59093094
5/2/2018,10:27:30 AM,891,15.135,32.47741699,35.54793549,31.65310097,30.0110569,30.39385986,29.8311882,30.14278603,29.60295677,29.98709106,31.20321274
5/2/2018,10:27:31 AM,162,15.406,32.51261902,35.55937576,31.75940323,30.10687447,29.84318733,29.54281998,30.19065094,29.68709373,30.19065094,33.4940834
5/2/2018,10:27:31 AM,432,15.676,32.53607941,34.96300125,31.85381699,30.19065094,29.79518127,29.27785873,30.23849678,29.67507744,30.26241112,35.31888199
5/2/2018,10:27:31 AM,702,15.946,32.58298874,35.03196335,31.85381699,30.15475464,29.85518646,29.33813095,30.23849678,29.73514366,30.28632164,34.81345367
