Plot 1 FLIR USB Video,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,Sp1.Value,Sp2.Value,Sp3.Value,Sp4.Value,Sp5.Value,Sp6.Value,Sp7.Value,Sp8.Value,Sp9.Value,Sp10.Value
Emissivity,,,,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881
Distance,,,,1,1,1,1,1,1,1,1,1,1
Reflected temperature,,,,19.9999939,19.9999939,19.9999939,19.9999939,19.9999939,19.9999939,19.9999939,19.9999939,19.9999939,19.9999939
Location X,,,,24,23,23,283,281,281,117,233,234,237
Location Y,,,,63,117,176,63,113,171,118,60,117,175
Size X,,,,,,,,,,,,,
Size Y,,,,,,,,,,,,,
Surface (pixels),,,,,,,,,,,,,
,,,,,,,,,,,,,
Date,Time,Milliseconds,Relative time,Sp1.Value,Sp2.Value,Sp3.Value,Sp4.Value,Sp5.Value,Sp6.Value,Sp7.Value,Sp8.Value,Sp9.Value,Sp10.Value
5/2/2018,11:09:20 AM,621,0,26.70540047,29.65104103,26.18640137,25.49069786,25.57789421,25.31610107,24.17458534,24.61500359,24.64011765,24.62756157
5/2/2018,11:09:21 AM,162,0.541,26.63140297,29.62700081,26.11206627,25.40343285,25.55298805,25.2911377,24.08629227,24.48934555,24.6024437,24.61500359
5/2/2018,11:09:21 AM,432,0.811,26.70540047,29.65104103,26.12445831,25.50315857,25.56544113,25.31610107,24.07367325,24.55219078,24.61500359,24.5898819
5/2/2018,11:09:21 AM,702,1.081,26.76702881,29.77116966,26.2235508,25.60279465,25.65258026,25.39096069,24.11152649,24.64011765,24.70287895,24.65267181
5/2/2018,11:09:21 AM,972,1.351,26.80399132,29.80718422,26.26068878,25.61524391,25.68990517,25.40343285,24.11152649,24.5773201,24.65267181,24.65267181
5/2/2018,11:09:22 AM,243,1.622,26.80399132,29.8311882,26.28544044,25.56544113,25.71478271,25.40343285,24.08629227,24.5898819,24.64011765,24.62756157
5/2/2018,11:09:22 AM,513,1.892,26.86556625,29.85518646,26.29781532,25.6650238,25.75208664,25.44083977,24.07367325,24.61500359,24.65267181,24.65267181
5/2/2018,11:09:22 AM,783,2.162,26.93941307,29.91516113,26.35966301,25.75208664,25.85150528,25.54053307,24.12413979,24.67777824,24.69033051,24.7530632
5/2/2018,11:09:23 AM,324,2.703,26.90249634,29.90316772,26.31018639,25.67746544,25.81423378,25.40343285,24.12413979,24.66522598,24.69033051,24.69033051
5/2/2018,11:09:23 AM,594,2.973,26.97631836,30.02303886,26.40911865,25.78937912,25.92601204,25.51561737,24.19979858,24.70287895,24.7530632,24.7154274
5/2/2018,11:09:23 AM,864,3.243,27.08696365,30.03501892,26.47090721,25.82665825,25.90118217,25.54053307,24.14936447,24.77814674,24.79068756,24.7530632
5/2/2018,11:09:24 AM,135,3.514,27.06238556,30.07095146,26.45855331,25.85150528,26.0128746,25.55298805,24.19979858,24.7154274,24.72797394,24.7530632
5/2/2018,11:09:24 AM,405,3.784,27.09925079,30.13081741,26.49561501,25.92601204,26.03767967,25.60279465,24.18719101,24.70287895,24.7530632,24.7530632
5/2/2018,11:09:24 AM,675,4.054,27.14838791,30.17868614,26.52031517,25.92601204,26.05008125,25.64013672,24.19979858,24.69033051,24.7530632,24.79068756
5/2/2018,11:09:24 AM,945,4.324,27.14838791,30.19065094,26.50796509,25.92601204,26.07487869,25.60279465,24.19979858,24.7154274,24.77814674,24.69033051
5/2/2018,11:09:25 AM,486,4.865,27.18522644,30.26241112,26.58204269,25.9632473,26.09967041,25.62769127,24.16197586,24.74052048,24.7530632,24.72797394
5/2/2018,11:09:25 AM,756,5.135,27.16066933,30.25045395,26.58204269,25.97565651,26.08727646,25.59034538,24.11152649,24.7154274,24.66522598,24.66522598
5/2/2018,11:09:26 AM,26,5.405,27.20977783,30.2982769,26.63140297,26.06248093,26.18640137,25.6650238,24.16197586,24.76560593,24.74052048,24.74052048
5/2/2018,11:09:26 AM,297,5.676,27.2834034,30.38191605,26.71772957,26.14923859,26.248312,25.75208664,24.19979858,24.82829857,24.76560593,24.80322647
5/2/2018,11:09:26 AM,567,5.946,27.32019997,30.34607697,26.70540047,26.17401505,26.2235508,25.77694893,24.13675308,24.7530632,24.74052048,24.7530632
5/2/2018,11:09:26 AM,837,6.216,27.36924171,30.46549797,26.79167175,26.19878578,26.34729767,25.83908272,24.19979858,24.85336494,24.80322647,24.80322647
5/2/2018,11:09:27 AM,108,6.487,27.40600777,30.5012989,26.77935028,26.2111702,26.37203026,25.81423378,24.2250061,24.86589622,24.80322647,24.85336494
5/2/2018,11:09:27 AM,648,7.027,27.40600777,30.51323128,26.85325432,26.2235508,26.38439369,25.81423378,24.19979858,24.90348244,24.87842751,24.81576347
5/2/2018,11:09:27 AM,918,7.297,27.45501328,30.584795,26.85325432,26.248312,26.38439369,25.8018074,24.21240234,24.86589622,24.79068756,24.81576347
5/2/2018,11:09:28 AM,189,7.568,27.5039978,30.56094551,26.85325432,26.27306557,26.38439369,25.75208664,24.18719101,24.87842751,24.79068756,24.77814674
5/2/2018,11:09:28 AM,459,7.838,27.46726227,30.60864067,26.87787628,26.32255936,26.43383789,25.82665825,24.17458534,24.86589622,24.80322647,24.80322647
5/2/2018,11:09:28 AM,729,8.108,27.57743454,30.69206047,26.90249634,26.40911865,26.50796509,25.82665825,24.21240234,24.9410553,24.84083176,24.81576347
5/2/2018,11:09:28 AM,999,8.378,27.63859749,30.77542305,26.97631836,26.47090721,26.58204269,25.88876534,24.26280594,24.916008,24.89095497,24.84083176
5/2/2018,11:09:29 AM,540,8.919,27.66305351,30.78732681,26.97631836,26.50796509,26.61906433,25.90118217,24.2250061,24.95357704,24.86589622,24.87842751
5/2/2018,11:09:29 AM,810,9.189,27.68750381,30.93008041,27.11153793,26.54500961,26.71772957,26.05008125,24.32578087,25.01616478,24.97861671,24.9410553
5/2/2018,11:09:30 AM,81,9.46,27.7608242,30.96574211,27.11153793,26.61906433,26.76702881,26.0128746,24.32578087,25.0537014,24.99113464,24.916008
5/2/2018,11:09:30 AM,351,9.73,27.78525352,31.01327515,27.16066933,26.58204269,26.79167175,26.03767967,24.33837128,25.09122467,24.95357704,24.90348244
5/2/2018,11:09:30 AM,621,10,27.77303886,30.98951149,27.07467461,26.60672569,26.71772957,25.9632473,24.26280594,25.06620979,24.87842751,24.87842751
5/2/2018,11:09:31 AM,162,10.541,27.80967903,30.9776268,27.08696365,26.65607452,26.80399132,25.98806381,24.2502079,25.04118919,24.86589622,24.87842751
5/2/2018,11:09:31 AM,432,10.811,27.90732384,31.08453751,27.20977783,26.73005676,26.84094048,26.05008125,24.32578087,25.07871819,24.9410553,24.916008
5/2/2018,11:09:31 AM,702,11.081,27.99269867,31.10828209,27.22205353,26.77935028,26.92710876,26.07487869,24.35095978,25.11623192,24.95357704,24.92853355
5/2/2018,11:09:31 AM,972,11.351,27.91952515,31.13202095,27.22205353,26.77935028,26.92710876,26.07487869,24.32578087,25.12873459,24.97861671,24.92853355
5/2/2018,11:09:32 AM,243,11.622,28.0170784,31.17948723,27.29566956,26.86556625,27.00091553,26.19878578,24.36354637,25.19122505,25.02867889,24.99113464
5/2/2018,11:09:32 AM,513,11.892,28.07800865,31.26250648,27.30793571,26.91480255,27.03780174,26.19878578,24.42646408,25.20371819,25.01616478,25.00365067
5/2/2018,11:09:33 AM,54,12.433,28.0170784,31.25065041,27.29566956,26.91480255,27.03780174,26.17401505,24.37613297,25.15373421,25.02867889,25.01616478
5/2/2018,11:09:33 AM,324,12.703,28.07800865,31.35731316,27.39375305,26.97631836,27.09925079,26.248312,24.38871765,25.19122505,25.04118919,24.96609688
5/2/2018,11:09:33 AM,594,12.973,28.10237122,31.28621483,27.35698318,26.97631836,27.07467461,26.248312,24.30059433,25.16623306,24.97861671,25.00365067
5/2/2018,11:09:33 AM,864,13.243,28.12672806,31.39284706,27.43051338,26.96401787,27.09925079,26.2111702,24.32578087,25.15373421,25.01616478,25.02867889
5/2/2018,11:09:34 AM,135,13.514,28.24843979,31.42836952,27.49175453,27.02550697,27.19750214,26.27306557,24.37613297,25.21621132,25.0537014,25.0537014
5/2/2018,11:09:34 AM,405,13.784,28.29708862,31.5585289,27.54072189,27.18522644,27.34472275,26.40911865,24.48934555,25.35353661,25.14123535,25.14123535
5/2/2018,11:09:34 AM,675,14.054,28.33356094,31.54670143,27.60190392,27.23432541,27.38149834,26.4461956,24.4516201,25.34106064,25.10372925,25.14123535
5/2/2018,11:09:34 AM,945,14.324,28.29708862,31.52304459,27.57743454,27.18522644,27.34472275,26.40911865,24.40130234,25.27865219,25.11623192,25.0537014
5/2/2018,11:09:35 AM,216,14.595,28.3214035,31.52304459,27.57743454,27.20977783,27.33246231,26.39675713,24.40130234,25.30361938,25.09122467,25.06620979
5/2/2018,11:09:35 AM,756,15.135,28.29708862,31.53487396,27.55296135,27.24659729,27.30793571,26.32255936,24.38871765,25.27865219,25.09122467,25.0537014
