Plot 1 FLIR USB Video,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,Sp1.Value,Sp2.Value,Sp3.Value,Sp4.Value,Sp5.Value,Sp6.Value,Sp7.Value,Sp8.Value,Sp9.Value,Sp10.Value
Emissivity,,,,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881
Distance,,,,1,1,1,1,1,1,1,1,1,1
Reflected temperature,,,,19.9999939,19.9999939,19.9999939,19.9999939,19.9999939,19.9999939,19.9999939,19.9999939,19.9999939,19.9999939
Location X,,,,24,23,23,283,281,281,117,233,234,237
Location Y,,,,63,117,176,63,113,171,118,60,117,175
Size X,,,,,,,,,,,,,
Size Y,,,,,,,,,,,,,
Surface (pixels),,,,,,,,,,,,,
,,,,,,,,,,,,,
Date,Time,Milliseconds,Relative time,Sp1.Value,Sp2.Value,Sp3.Value,Sp4.Value,Sp5.Value,Sp6.Value,Sp7.Value,Sp8.Value,Sp9.Value,Sp10.Value
5/2/2018,12:55:01 PM,972,0,32.23072052,34.54841614,31.19135094,31.97172546,32.34825897,31.09641075,27.95611763,29.24168015,28.97603416,28.74612236
5/2/2018,12:55:02 PM,513,0.541,32.32476044,34.65219498,31.21507454,32.00707626,32.44220734,31.16762352,28.04145432,29.27785873,29.04854202,28.81877518
5/2/2018,12:55:02 PM,783,0.811,32.32476044,34.66371918,31.21507454,32.0541954,32.47741699,31.19135094,28.02926636,29.27785873,29.04854202,28.83087921
5/2/2018,12:55:03 PM,53,1.081,32.36000443,34.67524338,31.30991936,32.13660431,32.45394516,31.20321274,28.00488853,29.33813095,29.04854202,28.83087921
5/2/2018,12:55:03 PM,324,1.352,32.3365097,34.66371918,31.22693443,31.98351097,32.46568298,31.09641075,27.98050499,29.31402588,29.0002079,28.80666924
5/2/2018,12:55:03 PM,594,1.622,32.30125809,34.68676758,31.20321274,32.03063965,32.44220734,31.09641075,27.99269867,29.25374222,29.01229286,28.77034378
5/2/2018,12:55:03 PM,864,1.892,32.37175369,34.75588608,31.22693443,32.0541954,32.51261902,31.13202095,28.00488853,29.24168015,29.02437782,28.75823402
5/2/2018,12:55:04 PM,135,2.163,32.36000443,34.76739883,31.27436066,32.21895981,32.53607941,31.21507454,28.00488853,29.30197144,29.02437782,28.78245354
5/2/2018,12:55:04 PM,675,2.703,32.46568298,34.8479805,31.34546661,32.16014099,32.53607941,31.21507454,28.02926636,29.30197144,29.06062317,28.80666924
5/2/2018,12:55:04 PM,945,2.973,32.489151,34.90550613,31.30991936,32.19543457,32.53607941,31.22693443,28.09018898,29.30197144,29.07270241,28.80666924
5/2/2018,12:55:05 PM,216,3.244,32.47741699,34.90550613,31.33361816,32.12483597,32.57126617,31.22693443,28.04145432,29.33813095,29.03646088,28.80666924
5/2/2018,12:55:05 PM,486,3.514,32.59471512,34.97449875,31.34546661,32.21895981,32.66503906,31.33361816,28.10237122,29.39837074,29.15722275,28.85508347
5/2/2018,12:55:05 PM,756,3.784,32.58298874,35.0089798,31.32176971,32.25423813,32.70018387,31.30991936,28.06582451,29.44654083,29.12100792,28.83087921
5/2/2018,12:55:06 PM,26,4.054,32.60643768,34.98599243,31.42836952,32.26599503,32.68846893,31.27436066,28.06582451,29.42245865,29.09685707,28.91557503
5/2/2018,12:55:06 PM,297,4.325,32.60643768,35.03196335,31.34546661,32.26599503,32.61816025,31.22693443,28.09018898,29.41041565,29.09685707,28.89138222
5/2/2018,12:55:06 PM,837,4.865,32.65332031,35.08940125,31.45204544,32.37175369,32.74702835,31.34546661,28.15108109,29.44654083,29.14515114,28.91557503
5/2/2018,12:55:07 PM,107,5.135,32.57126617,35.06642914,31.42836952,32.30125809,32.71189499,31.3691597,28.09018898,29.37427902,29.08477974,28.90347862
5/2/2018,12:55:07 PM,378,5.406,32.65332031,35.1812439,31.44020844,32.37175369,32.77044678,31.39284706,28.09018898,29.48265457,29.18136024,28.93976212
5/2/2018,12:55:07 PM,918,5.946,32.65332031,35.04345322,31.42836952,32.34825897,32.77044678,31.32176971,28.07800865,29.45858002,29.14515114,28.92766953
5/2/2018,12:55:08 PM,189,6.217,32.71189499,35.15829086,31.45204544,32.39524078,32.81726456,31.39284706,28.11454964,29.54281998,29.18136024,28.97603416
5/2/2018,12:55:08 PM,459,6.487,32.72360992,35.22714233,31.45204544,32.31300735,32.75873947,31.28621483,28.10237122,29.50672531,29.16929245,28.91557503
5/2/2018,12:55:08 PM,729,6.757,32.74702835,35.16976929,31.44020844,32.37175369,32.81726456,31.34546661,28.09018898,29.48265457,29.13307953,28.92766953
5/2/2018,12:55:08 PM,999,7.027,32.73532104,35.21566772,31.48755074,32.44220734,32.84066391,31.38100433,28.09018898,29.51875877,29.18136024,28.96394348
5/2/2018,12:55:09 PM,540,7.568,32.71189499,35.19272232,31.41653061,32.44220734,32.85236359,31.46388245,28.06582451,29.47061729,29.12100792,28.89138222
5/2/2018,12:55:09 PM,810,7.838,32.77044678,35.2730217,31.48755074,32.46568298,32.9108429,31.39284706,28.06582451,29.50672531,29.16929245,28.97603416
5/2/2018,12:55:10 PM,80,8.108,32.77044678,35.22714233,31.38100433,32.39524078,32.86406326,31.33361816,28.05364037,29.47061729,29.15722275,28.86718369
5/2/2018,12:55:10 PM,351,8.379,32.64160156,35.16976929,31.38100433,32.3365097,32.77044678,31.28621483,27.96831131,29.38632584,29.03646088,28.81877518
5/2/2018,12:55:10 PM,621,8.649,32.71189499,35.23861313,31.44020844,32.32476044,32.78215027,31.33361816,27.96831131,29.3622303,29.07270241,28.84298134
5/2/2018,12:55:11 PM,162,9.19,32.71189499,35.29595184,31.45204544,32.37175369,32.86406326,31.34546661,28.0170784,29.42245865,29.13307953,28.83087921
5/2/2018,12:55:11 PM,432,9.46,32.75873947,35.29595184,31.46388245,32.45394516,32.87575912,31.32176971,27.96831131,29.43449974,29.1089325,28.84298134
5/2/2018,12:55:11 PM,702,9.73,32.79385757,35.30741882,31.49938393,32.53607941,32.93422699,31.39284706,27.99269867,29.47061729,29.13307953,28.9518528
5/2/2018,12:55:11 PM,972,10,32.78215027,35.28448868,31.49938393,32.489151,32.92253876,31.35731316,28.02926636,29.45858002,29.08477974,28.87928391
5/2/2018,12:55:12 PM,243,10.271,32.81726456,35.35326767,31.47571754,32.57126617,32.9108429,31.42836952,28.0170784,29.47061729,29.14515114,28.9518528
5/2/2018,12:55:12 PM,513,10.541,32.77044678,35.37618637,31.48755074,32.51261902,32.93422699,31.42836952,27.99269867,29.50672531,29.13307953,28.91557503
5/2/2018,12:55:12 PM,783,10.811,32.82896423,35.35326767,31.5585289,32.52434921,32.92253876,31.42836952,27.96831131,29.48265457,29.1089325,28.92766953
5/2/2018,12:55:13 PM,53,11.081,32.84066391,35.35326767,31.57035446,32.46568298,32.9108429,31.39284706,27.96831131,29.47061729,29.12100792,28.90347862
5/2/2018,12:55:13 PM,594,11.622,32.92253876,35.44491577,31.58217812,32.58298874,33.02771759,31.49938393,28.0170784,29.54281998,29.14515114,28.98812103
5/2/2018,12:55:13 PM,864,11.892,32.9108429,35.52505112,31.61764526,28.77034378,29.65104103,29.20549202,28.00488853,28.21193886,29.03646088,28.26060295
5/2/2018,12:55:14 PM,135,12.163,32.99266815,35.59369659,31.65310097,28.41861916,29.8311882,30.45355988,28.05364037,28.66130257,29.68709373,30.41774368
5/2/2018,12:55:14 PM,405,12.433,32.95760727,35.58225632,31.59400177,28.64917946,30.16672134,28.43076515,28.04145432,29.20549202,29.84318733,31.08453751
5/2/2018,12:55:14 PM,675,12.703,33.01603699,35.59369659,31.64128304,28.84298134,30.19065094,29.63902283,28.05364037,29.41041565,29.66305923,31.38100433
5/2/2018,12:55:14 PM,945,12.973,33.0510788,35.66230392,31.79481697,28.90347862,30.2265377,30.11884689,28.05364037,29.53079033,29.66305923,31.45204544
5/2/2018,12:55:15 PM,216,13.244,33.10946274,35.70801926,31.70035744,28.84298134,30.27436829,29.89117432,28.12672806,29.57890511,29.73514366,31.48755074
5/2/2018,12:55:15 PM,756,13.784,33.07443619,35.71944427,31.74759674,28.9518528,30.31022835,30.15475464,28.15108109,29.57890511,29.67507744,31.46388245
5/2/2018,12:55:16 PM,26,14.054,27.80967903,36.20978546,32.23072052,29.06062317,30.32217979,30.46549797,28.22410774,29.68709373,29.71112061,31.5585289
5/2/2018,12:55:16 PM,297,14.325,33.21448135,36.30079651,32.0895195,28.9518528,30.34607697,30.23849678,28.21193886,29.66305923,29.68709373,31.49938393
5/2/2018,12:55:16 PM,567,14.595,33.4940834,36.33490753,32.04241562,28.80666924,30.3580246,29.7591629,28.17542839,29.57890511,29.72313309,31.58217812
5/2/2018,12:55:16 PM,837,14.865,33.52898788,36.33490753,32.11306381,28.74612236,30.39385986,29.77116966,28.18759918,29.61497879,29.7591629,31.52304459
5/2/2018,12:55:17 PM,107,15.135,33.58714294,36.36901093,32.17190552,28.73400879,30.36997223,29.71112061,28.22410774,29.61497879,29.73514366,31.58217812
