Plot 1 FLIR USB Video,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,Sp1.Value,Sp2.Value,Sp3.Value,Sp4.Value,Sp5.Value,Sp6.Value,Sp7.Value,Sp8.Value,Sp9.Value,Sp10.Value
Emissivity,,,,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881
Distance,,,,1,1,1,1,1,1,1,1,1,1
Reflected temperature,,,,19.9999939,19.9999939,19.9999939,19.9999939,19.9999939,19.9999939,19.9999939,19.9999939,19.9999939,19.9999939
Location X,,,,24,23,23,283,281,281,114,233,234,237
Location Y,,,,63,117,176,63,113,174,118,60,117,175
Size X,,,,,,,,,,,,,
Size Y,,,,,,,,,,,,,
Surface (pixels),,,,,,,,,,,,,
,,,,,,,,,,,,,
Date,Time,Milliseconds,Relative time,Sp1.Value,Sp2.Value,Sp3.Value,Sp4.Value,Sp5.Value,Sp6.Value,Sp7.Value,Sp8.Value,Sp9.Value,Sp10.Value
5/2/2018,3:42:26 PM,26,0,24.36354637,24.38871765,24.6024437,24.28800011,24.14936447,24.14936447,23.83364487,24.01055908,23.97267151,24.0484314
5/2/2018,3:42:26 PM,297,0.271,24.33837128,24.40130234,24.61500359,24.28800011,24.14936447,24.17458534,23.80834961,23.99793053,23.97267151,24.03580856
5/2/2018,3:42:26 PM,837,0.811,24.31318855,24.40130234,24.64011765,24.2502079,24.19979858,24.17458534,23.79569817,24.02318382,24.01055908,24.07367325
5/2/2018,3:42:27 PM,107,1.081,24.28800011,24.33837128,24.5773201,24.19979858,24.14936447,24.14936447,23.78304672,23.97267151,23.93477249,23.98530197
5/2/2018,3:42:27 PM,378,1.352,24.23760796,24.28800011,24.55219078,24.17458534,24.07367325,24.08629227,23.71976662,23.88422012,23.83364487,23.94740677
5/2/2018,3:42:27 PM,648,1.622,24.16197586,24.27540398,24.51448822,24.11152649,24.03580856,24.03580856,23.69444466,23.85893631,23.83364487,23.94740677
5/2/2018,3:42:27 PM,918,1.892,24.26280594,24.28800011,24.52705765,24.19979858,24.11152649,24.07367325,23.75774002,23.88422012,23.87157822,23.94740677
5/2/2018,3:42:28 PM,459,2.433,24.17458534,24.2502079,24.46419716,24.16197586,24.02318382,24.01055908,23.64378357,23.82099724,23.77039337,23.90950012
5/2/2018,3:42:28 PM,729,2.703,24.18719101,24.27540398,24.48934555,24.16197586,24.08629227,24.11152649,23.73242569,23.82099724,23.84629059,23.96004105
5/2/2018,3:42:28 PM,999,2.973,24.21240234,24.28800011,24.48934555,24.19979858,24.16197586,24.09890938,23.68178177,23.87157822,23.84629059,23.89686012
5/2/2018,3:42:29 PM,270,3.244,24.2502079,24.32578087,24.46419716,24.2250061,24.13675308,24.07367325,23.77039337,23.87157822,23.84629059,23.96004105
5/2/2018,3:42:29 PM,540,3.514,24.33837128,24.41388321,24.6024437,24.28800011,24.18719101,24.19979858,23.80834961,23.94740677,23.88422012,23.97267151
5/2/2018,3:42:29 PM,810,3.784,24.26280594,24.28800011,24.50191689,24.18719101,24.08629227,24.12413979,23.77039337,23.87157822,23.85893631,23.96004105
5/2/2018,3:42:30 PM,80,4.054,24.31318855,24.2502079,24.5773201,24.26280594,24.14936447,24.11152649,23.77039337,23.93477249,23.87157822,23.96004105
5/2/2018,3:42:30 PM,621,4.595,24.27540398,24.28800011,24.55219078,24.2250061,24.11152649,24.16197586,23.77039337,23.87157822,23.84629059,23.98530197
5/2/2018,3:42:30 PM,891,4.865,24.31318855,24.28800011,24.51448822,24.21240234,24.09890938,24.11152649,23.77039337,23.92213631,23.87157822,23.96004105
5/2/2018,3:42:31 PM,161,5.135,24.18719101,24.2502079,24.47677231,24.18719101,24.11152649,24.12413979,23.75774002,23.89686012,23.85893631,23.97267151
5/2/2018,3:42:31 PM,432,5.406,24.30059433,24.33837128,24.56475639,24.30059433,24.21240234,24.14936447,23.82099724,23.94740677,23.98530197,24.06105423
5/2/2018,3:42:31 PM,702,5.676,24.37613297,24.35095978,24.62756157,24.30059433,24.23760796,24.2502079,23.88422012,23.97267151,23.96004105,24.0484314
5/2/2018,3:42:32 PM,242,6.216,24.37613297,24.42646408,24.62756157,24.35095978,24.27540398,24.21240234,23.92213631,24.03580856,24.03580856,24.11152649
5/2/2018,3:42:32 PM,513,6.487,24.37613297,24.38871765,24.6024437,24.32578087,24.2502079,24.23760796,23.89686012,23.98530197,23.99793053,24.08629227
5/2/2018,3:42:32 PM,783,6.757,24.37613297,24.36354637,24.61500359,24.32578087,24.18719101,24.18719101,23.80834961,23.99793053,23.94740677,24.02318382
5/2/2018,3:42:33 PM,53,7.027,24.28800011,24.32578087,24.53962517,24.23760796,24.19979858,24.16197586,23.80834961,23.96004105,23.94740677,23.99793053
5/2/2018,3:42:33 PM,324,7.298,24.37613297,24.35095978,24.5773201,24.30059433,24.16197586,24.19979858,23.82099724,23.97267151,23.92213631,24.03580856
5/2/2018,3:42:33 PM,864,7.838,24.30059433,24.32578087,24.55219078,24.21240234,24.2250061,24.21240234,23.80834961,23.97267151,23.94740677,23.96004105
5/2/2018,3:42:34 PM,134,8.108,24.19979858,24.2250061,24.46419716,24.21240234,24.08629227,24.11152649,23.75774002,23.87157822,23.88422012,23.94740677
5/2/2018,3:42:34 PM,405,8.379,24.26280594,24.28800011,24.46419716,24.23760796,24.16197586,24.16197586,23.74508286,23.89686012,23.90950012,23.94740677
5/2/2018,3:42:34 PM,675,8.649,24.19979858,24.23760796,24.50191689,24.17458534,24.08629227,24.09890938,23.74508286,23.87157822,23.88422012,23.96004105
5/2/2018,3:42:35 PM,215,9.189,24.21240234,24.18719101,24.42646408,24.12413979,24.03580856,24.03580856,23.63111496,23.84629059,23.82099724,23.87157822
5/2/2018,3:42:35 PM,486,9.46,24.13675308,24.12413979,24.37613297,24.09890938,24.01055908,24.01055908,23.64378357,23.78304672,23.78304672,23.85893631
5/2/2018,3:42:35 PM,756,9.73,24.12413979,24.12413979,24.37613297,24.06105423,23.97267151,23.98530197,23.63111496,23.71976662,23.75774002,23.87157822
5/2/2018,3:42:36 PM,26,10,24.13675308,24.13675308,24.35095978,24.12413979,24.0484314,24.0484314,23.66911697,23.79569817,23.80834961,23.85893631
5/2/2018,3:42:36 PM,297,10.271,24.14936447,24.16197586,24.41388321,24.09890938,24.01055908,24.06105423,23.63111496,23.79569817,23.77039337,23.85893631
5/2/2018,3:42:36 PM,567,10.541,24.18719101,24.19979858,24.40130234,24.09890938,24.01055908,24.01055908,23.66911697,23.79569817,23.82099724,23.88422012
5/2/2018,3:42:37 PM,107,11.081,24.18719101,24.19979858,24.41388321,24.12413979,24.03580856,24.0484314,23.69444466,23.82099724,23.83364487,23.89686012
5/2/2018,3:42:37 PM,378,11.352,24.14936447,24.19979858,24.37613297,24.09890938,24.01055908,24.02318382,23.65645027,23.79569817,23.78304672,23.90950012
5/2/2018,3:42:37 PM,648,11.622,24.19979858,24.2250061,24.4516201,24.17458534,24.06105423,24.02318382,23.70710564,23.84629059,23.82099724,23.90950012
5/2/2018,3:42:37 PM,918,11.892,24.26280594,24.21240234,24.48934555,24.2250061,24.03580856,24.08629227,23.68178177,23.87157822,23.84629059,23.92213631
5/2/2018,3:42:38 PM,188,12.162,24.17458534,24.18719101,24.37613297,24.14936447,24.01055908,24.08629227,23.64378357,23.82099724,23.79569817,23.88422012
5/2/2018,3:42:38 PM,459,12.433,24.19979858,24.19979858,24.41388321,24.17458534,24.0484314,24.08629227,23.69444466,23.87157822,23.84629059,23.90950012
5/2/2018,3:42:38 PM,729,12.703,24.14936447,24.19979858,24.37613297,24.16197586,23.99793053,24.03580856,23.63111496,23.82099724,23.80834961,23.87157822
5/2/2018,3:42:38 PM,999,12.973,24.17458534,24.21240234,24.38871765,24.12413979,24.0484314,24.08629227,23.66911697,23.84629059,23.83364487,23.92213631
5/2/2018,3:42:39 PM,540,13.514,24.11152649,24.12413979,24.40130234,24.12413979,24.01055908,24.02318382,23.65645027,23.82099724,23.82099724,23.90950012
5/2/2018,3:42:39 PM,810,13.784,24.19979858,24.17458534,24.40130234,24.14936447,24.03580856,24.06105423,23.64378357,23.82099724,23.80834961,23.88422012
5/2/2018,3:42:40 PM,80,14.054,24.19979858,24.19979858,24.41388321,24.12413979,24.02318382,24.0484314,23.68178177,23.82099724,23.82099724,23.88422012
5/2/2018,3:42:40 PM,351,14.325,24.21240234,24.21240234,24.43904305,24.19979858,24.07367325,24.09890938,23.71976662,23.87157822,23.85893631,23.94740677
5/2/2018,3:42:40 PM,621,14.595,24.19979858,24.23760796,24.43904305,24.16197586,24.07367325,24.07367325,23.68178177,23.82099724,23.80834961,23.92213631
5/2/2018,3:42:40 PM,891,14.865,24.18719101,24.2250061,24.4516201,24.18719101,24.08629227,24.08629227,23.70710564,23.90950012,23.83364487,23.93477249
5/2/2018,3:42:41 PM,161,15.135,24.0484314,24.08629227,24.32578087,24.02318382,23.94740677,23.93477249,23.55507088,23.77039337,23.71976662,23.79569817
