Plot 1 FLIR USB Video,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,Sp1.Value,Sp2.Value,Sp3.Value,Sp4.Value,Sp5.Value,Sp6.Value,Sp7.Value,Sp8.Value,Sp9.Value,Sp10.Value
Emissivity,,,,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881
Distance,,,,1,1,1,1,1,1,1,1,1,1
Reflected temperature,,,,19.9999939,19.9999939,19.9999939,19.9999939,19.9999939,19.9999939,19.9999939,19.9999939,19.9999939,19.9999939
Location X,,,,24,23,23,283,281,281,114,233,234,237
Location Y,,,,63,117,176,63,113,174,118,60,117,175
Size X,,,,,,,,,,,,,
Size Y,,,,,,,,,,,,,
Surface (pixels),,,,,,,,,,,,,
,,,,,,,,,,,,,
Date,Time,Milliseconds,Relative time,Sp1.Value,Sp2.Value,Sp3.Value,Sp4.Value,Sp5.Value,Sp6.Value,Sp7.Value,Sp8.Value,Sp9.Value,Sp10.Value
5/2/2018,4:15:25 PM,756,0,37.93890381,40.9114418,37.6692543,38.56583786,39.04512405,37.45536423,34.06293869,35.99336624,35.2615509,34.62913895
5/2/2018,4:23:25 PM,756,0,37.93890381,40.9114418,37.6692543,38.56583786,39.04512405,37.45536423,34.06293869,35.99336624,35.2615509,34.62913895
5/2/2018,4:23:26 PM,26,0.27,37.91645432,40.9114418,37.70299149,38.61050034,39.15632248,37.54546738,34.06293869,36.050354,35.28448868,34.72133255
5/2/2018,4:23:26 PM,297,0.541,37.91645432,40.9114418,37.6692543,38.65514755,39.14520645,37.53421021,34.0281868,36.07314301,35.23861313,34.74436951
5/2/2018,4:23:26 PM,837,1.081,37.91645432,40.93336868,37.60174942,38.68862152,39.08961487,37.45536423,34.01660156,35.99336624,35.20419693,34.58301926
5/2/2018,4:23:27 PM,107,1.351,37.86031723,40.90047836,37.61300278,38.55467224,39.08961487,37.52294922,33.93547058,35.94775391,35.19272232,34.65219498
5/2/2018,4:23:27 PM,378,1.622,37.88277435,40.87855148,37.59049606,38.53233337,39.07849503,37.43283081,33.9238739,35.94775391,35.15829086,34.55995178
5/2/2018,4:23:27 PM,648,1.892,37.90522766,40.97720337,37.65800476,38.63282394,39.16743851,37.51168823,33.93547058,35.99336624,35.15829086,34.59455109
5/2/2018,4:23:27 PM,918,2.162,37.97256851,40.98815918,37.64675522,38.64398575,39.25632095,37.51168823,34.00501633,36.02756119,35.29595184,34.68676758
5/2/2018,4:23:28 PM,188,2.432,37.97256851,40.97720337,37.65800476,38.59933853,39.22299576,37.50042343,33.95865631,36.0389595,35.22714233,34.6060791
5/2/2018,4:23:28 PM,459,2.703,37.96134949,40.98815918,37.60174942,38.56583786,39.17855072,37.46663284,33.94706345,36.01616287,35.19272232,34.58301926
5/2/2018,4:23:28 PM,729,2.973,38.00622559,41.0538826,37.63550568,38.65514755,39.24521255,37.48916245,33.99342728,36.13009644,35.31888199,34.70981216
5/2/2018,4:23:29 PM,269,3.513,37.92768097,41.0100708,37.60174942,38.61050034,39.2896347,37.53421021,33.97024918,36.0389595,35.23861313,34.66371918
5/2/2018,4:23:29 PM,540,3.784,37.87154388,40.99911499,37.61300278,38.59933853,39.24521255,37.51168823,33.94706345,36.050354,35.23861313,34.64066696
5/2/2018,4:23:29 PM,810,4.054,37.90522766,41.0100708,37.54546738,38.63282394,39.27853012,37.53421021,33.93547058,36.0617485,35.2615509,34.61761093
5/2/2018,4:23:30 PM,80,4.324,37.91645432,41.03197861,37.55672836,38.61050034,39.3340416,37.53421021,33.94706345,36.0617485,35.2615509,34.67524338
5/2/2018,4:23:30 PM,621,4.865,37.96134949,40.99911499,37.56798553,38.64398575,39.26742554,37.53421021,33.93547058,35.99336624,35.21566772,34.6060791
5/2/2018,4:23:30 PM,891,5.135,38.09593201,41.17428207,37.69174576,38.81128311,39.40061951,37.68050003,34.03977203,36.19840622,35.36472702,34.75588608
5/2/2018,4:23:31 PM,161,5.405,38.03987122,41.19615936,37.7142334,38.83357239,39.44498825,37.72547913,34.05135727,36.24392319,35.33034515,34.79042816
5/2/2018,4:23:31 PM,432,5.676,38.10713959,41.23990631,37.77043915,38.90041351,39.48933792,37.75920105,34.09768295,36.31216812,35.43346405,34.8479805
5/2/2018,4:23:31 PM,702,5.946,38.09593201,41.30550003,37.72547913,38.88927841,39.44498825,37.70299149,34.08610153,36.31216812,35.44491577,34.77891541
5/2/2018,4:23:31 PM,972,6.216,38.12955475,41.30550003,37.80414963,38.96722412,39.47825241,37.72547913,34.06293869,36.30079651,35.44491577,34.76739883
5/2/2018,4:23:32 PM,513,6.757,38.18557358,41.33828354,37.87154388,39.02286911,39.48933792,37.78167725,34.08610153,36.36901093,35.41055679,34.79042816
5/2/2018,4:23:32 PM,783,7.027,38.16316986,41.37105942,37.77043915,39.00061417,39.51150894,37.77043915,34.08610153,36.31216812,35.44491577,34.79042816
5/2/2018,4:23:33 PM,53,7.297,38.12955475,41.30550003,37.75920105,39.00061417,39.42280579,37.72547913,34.00501633,36.24392319,35.38764191,34.75588608
5/2/2018,4:23:33 PM,324,7.568,38.06229782,41.30550003,37.73672104,38.97835541,39.42280579,37.62425613,34.00501633,36.24392319,35.38764191,34.73284912
5/2/2018,4:23:33 PM,594,7.838,38.12955475,41.33828354,37.82661819,39.01174164,39.4671669,37.69174576,34.0281868,36.30079651,35.38764191,34.75588608
5/2/2018,4:23:33 PM,864,8.108,38.11834717,41.3819809,37.79291534,39.03399658,39.48933792,37.74796295,34.00501633,36.33490753,35.41055679,34.75588608
5/2/2018,4:23:34 PM,405,8.649,38.23036957,41.5020752,37.80414963,39.10073471,39.52259445,37.78167725,34.00501633,36.35764313,35.44491577,34.79042816
5/2/2018,4:23:34 PM,675,8.919,38.23036957,41.42566681,37.80414963,39.06737137,39.52259445,37.78167725,34.03977203,36.34627914,35.45636749,34.77891541
5/2/2018,4:23:34 PM,945,9.189,38.2415657,41.49116135,37.82661819,39.13409042,39.5779953,37.79291534,34.03977203,36.40310287,35.47926331,34.81345367
5/2/2018,4:23:35 PM,215,9.459,38.28634262,41.55662537,37.89400101,39.14520645,39.60015106,37.79291534,34.08610153,36.42582703,35.50215912,34.83647156
5/2/2018,4:23:35 PM,486,9.73,38.2751503,41.5675354,37.84908295,39.18966293,39.68872833,37.79291534,34.06293869,36.42582703,35.53649139,34.8479805
5/2/2018,4:23:36 PM,26,10.27,38.29753494,41.53480911,37.86031723,39.21188736,39.61122513,37.7142334,33.99342728,36.43718719,35.44491577,34.76739883
5/2/2018,4:23:36 PM,297,10.541,38.17437363,41.52389908,37.86031723,39.17855072,39.63337326,37.74796295,33.97024918,36.38037872,35.42200851,34.76739883
5/2/2018,4:23:36 PM,567,10.811,38.20797348,41.51298904,37.81538773,39.23410416,39.55583954,37.68050003,33.91228104,36.34627914,35.43346405,34.72133255
5/2/2018,4:23:36 PM,837,11.081,38.17437363,41.53480911,37.80414963,39.18966293,39.5779953,37.68050003,33.91228104,36.32353973,35.39910126,34.73284912
5/2/2018,4:23:37 PM,378,11.622,38.07351303,41.43658447,37.77043915,39.15632248,39.60015106,37.60174942,33.86588287,36.31216812,35.35326767,34.66371918
5/2/2018,4:23:37 PM,648,11.892,38.25276184,41.57844162,37.82661819,39.25632095,39.66659164,37.64675522,33.88908386,36.39174271,35.42200851,34.75588608
5/2/2018,4:23:37 PM,918,12.162,38.19677353,41.51298904,37.78167725,39.30073929,39.66659164,37.7142334,33.9238739,36.44854736,35.41055679,34.73284912
5/2/2018,4:23:38 PM,188,12.432,38.17437363,41.57844162,37.80414963,39.23410416,39.66659164,37.77043915,33.91228104,36.39174271,35.42200851,34.75588608
5/2/2018,4:23:38 PM,459,12.703,38.25276184,41.63295746,37.86031723,39.32294083,39.69979858,37.79291534,33.95865631,36.47126389,35.53649139,34.79042816
5/2/2018,4:23:38 PM,729,12.973,38.38703537,41.73103333,37.97256851,39.38952637,39.8104248,37.87154388,33.99342728,36.55073166,35.54793549,34.8479805
5/2/2018,4:23:38 PM,999,13.243,38.38703537,41.72014236,37.92768097,39.42280579,39.77724838,37.81538773,33.99342728,36.56208038,35.53649139,34.8479805
5/2/2018,4:23:39 PM,269,13.513,38.25276184,41.69835281,37.89400101,39.32294083,39.68872833,37.74796295,33.9238739,36.47126389,35.44491577,34.73284912
5/2/2018,4:23:39 PM,810,14.054,38.26395798,41.72014236,37.89400101,39.37843323,39.75512314,37.7142334,33.91228104,36.49397278,35.4678154,34.74436951
5/2/2018,4:23:40 PM,80,14.324,38.31991577,41.70924759,37.90522766,39.35623932,39.75512314,37.68050003,33.88908386,36.49397278,35.4678154,34.70981216
5/2/2018,4:23:40 PM,351,14.595,38.31991577,41.73103333,37.89400101,39.34513855,39.77724838,37.74796295,33.91228104,36.50532913,35.49071121,34.75588608
5/2/2018,4:23:40 PM,621,14.865,38.37585068,41.7419281,37.99500656,39.44498825,39.88780594,37.82661819,33.95865631,36.57342911,35.53649139,34.8479805
