Plot 1 FLIR USB Video,,,,,,
,,,,,,
,,,,Sp1.Value,Sp2.Value,Sp3.Value
Emissivity,,,,0.9499999881,0.9499999881,0.9499999881
Distance,,,,1,1,1
Reflected temperature,,,,19.9999939,19.9999939,19.9999939
Location X,,,,50,166,282
Location Y,,,,128,128,130
Size X,,,,,,
Size Y,,,,,,
Surface (pixels),,,,,,
,,,,,,
Date,Time,Milliseconds,Relative time,Sp1.Value,Sp2.Value,Sp3.Value
5/3/2018,10:04:37 AM,513,0,25.68990517,26.19878578,28.27276611
5/3/2018,10:04:37 AM,783,0.27,25.73965263,26.28544044,28.30924606
5/3/2018,10:04:38 AM,54,0.541,25.73965263,26.27306557,28.3214035
5/3/2018,10:04:38 AM,324,0.811,25.76451874,26.27306557,28.38217354
5/3/2018,10:04:38 AM,594,1.081,25.73965263,26.29781532,28.34571648
5/3/2018,10:04:38 AM,864,1.351,25.83908272,26.34729767,28.41861916
5/3/2018,10:04:39 AM,135,1.622,25.82665825,26.34729767,28.45505524
5/3/2018,10:04:39 AM,675,2.162,25.78937912,26.35966301,28.45505524
5/3/2018,10:04:39 AM,945,2.432,25.72721863,26.29781532,28.44291115
5/3/2018,10:04:40 AM,216,2.703,25.8018074,26.28544044,28.50361633
5/3/2018,10:04:40 AM,486,2.973,25.85150528,26.34729767,28.5400238
5/3/2018,10:04:40 AM,756,3.243,25.81423378,26.35966301,28.564291
5/3/2018,10:04:41 AM,27,3.514,25.78937912,26.33492851,28.52788925
5/3/2018,10:04:41 AM,297,3.784,25.78937912,26.34729767,28.5400238
5/3/2018,10:04:41 AM,837,4.324,25.81423378,26.37203026,28.564291
5/3/2018,10:04:42 AM,108,4.595,25.73965263,26.35966301,28.55215836
5/3/2018,10:04:42 AM,378,4.865,25.72721863,26.34729767,28.52788925
5/3/2018,10:04:42 AM,648,5.135,25.68990517,26.31018639,28.5157547
5/3/2018,10:04:42 AM,918,5.405,25.68990517,26.28544044,28.55215836
5/3/2018,10:04:43 AM,189,5.676,25.6650238,26.31018639,28.5157547
5/3/2018,10:04:43 AM,459,5.946,25.68990517,26.34729767,28.64917946
5/3/2018,10:04:43 AM,729,6.216,25.68990517,26.34729767,28.6006794
5/3/2018,10:04:44 AM,270,6.757,25.6650238,26.34729767,28.55215836
5/3/2018,10:04:44 AM,540,7.027,25.68990517,26.38439369,28.64917946
5/3/2018,10:04:44 AM,810,7.297,25.73965263,26.4461956,28.62493324
5/3/2018,10:04:45 AM,81,7.568,25.70234489,26.39675713,28.6006794
5/3/2018,10:04:45 AM,621,8.108,25.75208664,26.39675713,28.64917946
5/3/2018,10:04:45 AM,891,8.378,25.75208664,26.43383789,28.64917946
5/3/2018,10:04:46 AM,162,8.649,25.72721863,26.39675713,28.64917946
5/3/2018,10:04:46 AM,432,8.919,25.76451874,26.40911865,28.67342377
5/3/2018,10:04:46 AM,702,9.189,25.81423378,26.48326111,28.75823402
5/3/2018,10:04:46 AM,972,9.459,25.71478271,26.45855331,28.70977783
5/3/2018,10:04:47 AM,243,9.73,25.65258026,26.40911865,28.63705635
5/3/2018,10:04:47 AM,783,10.27,25.64013672,26.42148018,28.69766045
5/3/2018,10:04:48 AM,54,10.541,25.62769127,26.42148018,28.67342377
5/3/2018,10:04:48 AM,324,10.811,25.75208664,26.48326111,28.77034378
5/3/2018,10:04:48 AM,594,11.081,25.77694893,26.49561501,28.79456139
5/3/2018,10:04:48 AM,864,11.351,25.78937912,26.55735588,28.81877518
5/3/2018,10:04:49 AM,135,11.622,25.76451874,26.55735588,28.73400879
5/3/2018,10:04:49 AM,405,11.892,25.8018074,26.58204269,28.86718369
5/3/2018,10:04:49 AM,945,12.432,25.77694893,26.50796509,28.87928391
5/3/2018,10:04:50 AM,216,12.703,25.75208664,26.54500961,28.86718369
5/3/2018,10:04:50 AM,486,12.973,25.78937912,26.55735588,28.87928391
5/3/2018,10:04:50 AM,756,13.243,25.72721863,26.49561501,28.83087921
5/3/2018,10:04:51 AM,27,13.514,25.71478271,26.52031517,28.87928391
5/3/2018,10:04:51 AM,297,13.784,25.75208664,26.53266335,28.89138222
5/3/2018,10:04:51 AM,837,14.324,25.75208664,26.56970024,28.86718369
5/3/2018,10:04:52 AM,108,14.595,25.73965263,26.52031517,28.92766953
5/3/2018,10:04:52 AM,378,14.865,25.73965263,26.53266335,28.85508347
5/3/2018,10:04:52 AM,648,15.135,25.78937912,26.60672569,28.96394348
5/3/2018,10:04:52 AM,918,15.405,25.82665825,26.65607452,29.0002079
5/3/2018,10:04:53 AM,189,15.676,25.86392593,26.69307137,29.06062317
5/3/2018,10:04:53 AM,459,15.946,25.82665825,26.65607452,29.06062317
5/3/2018,10:04:53 AM,729,16.216,25.78937912,26.59438515,29.03646088
