Plot 1 FLIR USB Video,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,Sp1.Value,Sp2.Value,Sp3.Value,Sp4.Value,Sp5.Value,Sp6.Value,Sp7.Value,Sp8.Value,Sp9.Value,Sp10.Value
Emissivity,,,,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881
Distance,,,,1,1,1,1,1,1,1,1,1,1
Reflected temperature,,,,19.9999939,19.9999939,19.9999939,19.9999939,19.9999939,19.9999939,19.9999939,19.9999939,19.9999939,19.9999939
Location X,,,,25,29,25,285,285,286,107,241,243,242
Location Y,,,,62,115,181,65,119,175,119,63,121,178
Size X,,,,,,,,,,,,,
Size Y,,,,,,,,,,,,,
Surface (pixels),,,,,,,,,,,,,
,,,,,,,,,,,,,
Date,Time,Milliseconds,Relative time,Sp1.Value,Sp2.Value,Sp3.Value,Sp4.Value,Sp5.Value,Sp6.Value,Sp7.Value,Sp8.Value,Sp9.Value,Sp10.Value
5/3/2018,4:16:30 PM,567,0,41.33828354,45.97487259,40.38414001,45.29821014,44.90542984,42.36129761,36.32353973,41.52389908,40.43917084,39.23410416
5/3/2018,4:16:30 PM,837,0.27,41.29457092,45.96432495,40.3731308,45.33000565,44.89479828,42.41548538,36.35764313,41.53480911,40.43917084,39.24521255
5/3/2018,4:16:31 PM,108,0.541,41.34920883,45.91158295,40.31807327,45.34060287,44.89479828,42.42632294,36.33490753,41.57844162,40.4721756,39.24521255
5/3/2018,4:16:31 PM,378,0.811,41.30550003,45.93268204,40.38414001,45.35119629,44.92669296,42.44799042,36.32353973,41.52389908,40.41716003,39.23410416
5/3/2018,4:16:31 PM,918,1.351,41.26177597,45.92213058,40.42816544,45.34060287,44.92669296,42.50214386,36.36901093,41.53480911,40.46117401,39.27853012
5/3/2018,4:16:32 PM,189,1.622,41.40382385,45.92213058,40.38414001,45.38298035,44.92669296,42.45882034,36.35764313,41.61115265,40.46117401,39.2896347
5/3/2018,4:16:32 PM,459,1.892,41.34920883,45.97487259,40.4721756,45.38298035,44.9585762,42.57791901,36.36901093,41.58934784,40.48317719,39.3340416
5/3/2018,4:16:32 PM,729,2.162,41.29457092,45.86936951,40.31807327,45.37238693,44.89479828,42.50214386,36.39174271,41.54571915,40.43917084,39.30073929
5/3/2018,4:16:32 PM,999,2.432,41.32735443,45.90103149,40.34009933,45.38298035,44.88416672,42.44799042,36.36901093,41.60025024,40.4721756,39.31184006
5/3/2018,4:16:33 PM,270,2.703,41.34920883,45.92213058,40.34009933,45.48886871,44.9798317,42.59955978,36.40310287,41.62205887,40.49417496,39.31184006
5/3/2018,4:16:33 PM,540,2.973,41.3819809,45.95377731,40.31807327,45.45711136,45.01170349,42.5454483,36.41446686,41.61115265,40.52716827,39.34513855
5/3/2018,4:16:34 PM,81,3.514,41.30550003,45.95377731,40.3290863,45.44652176,44.94794846,42.52379608,36.41446686,41.55662537,40.54915619,39.31184006
5/3/2018,4:16:34 PM,351,3.784,41.27270889,45.84825897,40.31807327,45.30880737,44.87353516,42.41548538,36.27804947,41.49116135,40.39514923,39.23410416
5/3/2018,4:16:34 PM,621,4.054,41.20709991,45.8377037,40.30706024,45.34060287,44.87353516,42.40465164,36.24392319,41.5020752,40.38414001,39.21188736
5/3/2018,4:16:34 PM,891,4.324,41.09767532,45.76378632,40.26299286,45.2451973,44.86289978,42.38297653,36.18702316,41.41474533,40.35111237,39.13409042
5/3/2018,4:16:35 PM,162,4.595,41.20709991,45.8377037,40.2519722,45.30880737,44.8522644,42.38297653,36.25529861,41.49116135,40.41716003,39.24521255
5/3/2018,4:16:35 PM,432,4.865,41.20709991,45.79546738,40.2960434,45.36179352,44.86289978,42.50214386,36.2894249,41.51298904,40.42816544,39.2896347
5/3/2018,4:16:35 PM,972,5.405,41.26177597,45.95377731,40.3731308,45.45711136,44.90542984,42.48048401,36.31216812,41.54571915,40.45017242,39.3340416
5/3/2018,4:16:36 PM,243,5.676,41.22897339,45.87992477,40.35111237,45.38298035,44.88416672,42.53462219,36.33490753,41.51298904,40.43917084,39.26742554
5/3/2018,4:16:36 PM,513,5.946,41.22897339,45.92213058,40.38414001,45.33000565,44.89479828,42.52379608,36.31216812,41.49116135,40.43917084,39.27853012
5/3/2018,4:16:36 PM,783,6.216,41.27270889,45.87992477,40.38414001,45.41475677,44.96920395,42.49131393,36.36901093,41.54571915,40.4721756,39.32294083
5/3/2018,4:16:37 PM,54,6.487,41.32735443,45.87992477,40.3731308,45.42534637,44.9160614,42.52379608,36.35764313,41.55662537,40.4721756,39.2896347
5/3/2018,4:16:37 PM,324,6.757,41.19615936,45.89047623,40.39514923,45.41475677,44.9798317,42.50214386,36.33490753,41.49116135,40.45017242,39.26742554
5/3/2018,4:16:37 PM,864,7.297,41.27270889,45.90103149,40.39514923,45.48886871,44.96920395,42.50214386,36.38037872,41.57844162,40.50517273,39.3340416
5/3/2018,4:16:38 PM,135,7.568,41.30550003,45.85881424,40.40615463,45.45711136,44.9585762,42.48048401,36.39174271,41.5675354,40.48317719,39.32294083
5/3/2018,4:16:38 PM,405,7.838,41.18522263,45.7743454,40.2740097,45.3194046,44.8522644,42.37213516,36.26667404,41.44750214,40.39514923,39.18966293
5/3/2018,4:16:38 PM,675,8.108,41.0429306,45.7215271,40.31807327,45.27700806,44.79907608,42.28539276,36.2211647,41.40382385,40.35111237,39.22299576
5/3/2018,4:16:38 PM,945,8.378,41.08672714,45.79546738,40.35111237,45.33000565,44.9160614,42.46965408,36.31216812,41.52389908,40.40615463,39.27853012
5/3/2018,4:16:39 PM,486,8.919,41.19615936,45.81658936,40.48317719,45.40416336,44.93732071,42.57791901,36.36901093,41.60025024,40.49417496,39.36733627
5/3/2018,4:16:39 PM,756,9.189,41.25084305,45.79546738,40.43917084,45.42534637,44.96920395,42.5454483,36.41446686,41.57844162,40.5161705,39.3340416
5/3/2018,4:16:40 PM,27,9.46,41.40382385,45.90103149,40.45017242,45.48886871,44.9798317,42.52379608,36.40310287,41.65475845,40.52716827,39.36733627
5/3/2018,4:16:40 PM,297,9.73,41.34920883,45.90103149,40.4721756,45.43593597,45.05418777,42.55627441,36.44854736,41.65475845,40.5711441,39.40061951
5/3/2018,4:16:40 PM,567,10,41.25084305,45.90103149,40.48317719,45.40416336,45.00107956,42.52379608,36.44854736,41.63295746,40.5711441,39.38952637
5/3/2018,4:16:40 PM,837,10.27,41.27270889,45.91158295,40.53816223,45.48886871,45.03294754,42.55627441,36.47126389,41.67655945,40.59312439,39.40061951
5/3/2018,4:16:41 PM,378,10.811,41.26177597,45.86936951,40.4721756,45.51003647,45.07542419,42.57791901,36.43718719,41.67655945,40.5711441,39.41171265
5/3/2018,4:16:41 PM,648,11.081,41.283638,45.85881424,40.50517273,45.4994545,45.02232361,42.63201904,36.43718719,41.67655945,40.59312439,39.35623932
5/3/2018,4:16:41 PM,918,11.351,41.30550003,45.82714462,40.41716003,45.41475677,44.96920395,42.56709671,36.35764313,41.65475845,40.54915619,39.32294083
5/3/2018,4:16:42 PM,189,11.622,41.22897339,45.87992477,40.46117401,45.43593597,44.99045563,42.59955978,36.41446686,41.63295746,40.54915619,39.35623932
5/3/2018,4:16:42 PM,189,11.622,41.22897339,45.87992477,40.46117401,45.43593597,44.99045563,42.59955978,36.41446686,41.63295746,40.54915619,39.35623932
5/3/2018,4:16:42 PM,189,11.622,41.22897339,45.87992477,40.46117401,45.43593597,44.99045563,42.59955978,36.41446686,41.63295746,40.54915619,39.35623932
5/3/2018,4:16:43 PM,810,13.243,41.36013412,46.02759171,40.50517273,45.48886871,45.0860405,42.55627441,36.53938293,41.72014236,40.6700325,39.42280579
5/3/2018,4:16:44 PM,351,13.784,41.43658447,46.06975174,40.626091,45.48886871,45.0966568,42.5887413,36.61880875,41.73103333,40.70298004,39.4671669
5/3/2018,4:16:44 PM,621,14.054,41.43658447,46.04867554,40.58213425,45.46769714,45.06480408,42.56709671,36.56208038,41.72014236,40.68101501,39.43389893
5/3/2018,4:16:44 PM,891,14.324,41.4802475,46.10136414,40.65904999,45.54178238,45.1072731,42.59955978,36.58477783,41.77460098,40.71395874,39.50042343
5/3/2018,4:16:45 PM,162,14.595,41.19615936,45.91158295,40.45017242,45.29821014,44.87353516,42.3287735,36.36901093,41.52389908,40.48317719,39.27853012
5/3/2018,4:16:45 PM,432,14.865,41.06483078,45.76378632,40.2740097,45.1815567,44.71392822,42.19859314,36.18702316,41.3819809,40.26299286,39.02286911
5/3/2018,4:16:45 PM,702,15.135,41.07577896,45.80603027,40.31807327,45.13911438,44.73521805,42.25284958,36.18702316,41.33828354,40.28503036,39.05624771
5/3/2018,4:16:45 PM,972,15.405,41.16334152,45.75322342,40.31807327,45.14972687,44.7032814,42.19859314,36.20978546,41.3819809,40.31807327,39.11185455
5/3/2018,4:16:46 PM,243,15.676,41.17428207,45.7743454,40.30706024,45.20277405,44.76715088,42.24200058,36.20978546,41.41474533,40.36212158,39.11185455
