Plot 1 FLIR USB Video,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,Sp1.Value,Sp2.Value,Sp3.Value,Sp4.Value,Sp5.Value,Sp6.Value,Sp7.Value,Sp8.Value,Sp9.Value,Sp10.Value
Emissivity,,,,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881
Distance,,,,1,1,1,1,1,1,1,1,1,1
Reflected temperature,,,,19.9999939,19.9999939,19.9999939,19.9999939,19.9999939,19.9999939,19.9999939,19.9999939,19.9999939,19.9999939
Location X,,,,25,23,29,268,267,268,116,234,234,237
Location Y,,,,63,119,176,54,114,180,114,55,115,183
Size X,,,,,,,,,,,,,
Size Y,,,,,,,,,,,,,
Surface (pixels),,,,,,,,,,,,,
,,,,,,,,,,,,,
Date,Time,Milliseconds,Relative time,Sp1.Value,Sp2.Value,Sp3.Value,Sp4.Value,Sp5.Value,Sp6.Value,Sp7.Value,Sp8.Value,Sp9.Value,Sp10.Value
5/6/2018,8:04:00 PM,466,0,26.59438515,29.95113182,26.03767967,24.96609688,25.10372925,25.00365067,25.22870255,25.57789421,25.04118919,25.06620979
5/6/2018,8:04:00 PM,600,0.134,26.63140297,29.95113182,26.0128746,24.99113464,25.09122467,24.90348244,25.2911377,25.57789421,25.06620979,25.06620979
5/6/2018,8:04:00 PM,666,0.2,26.65607452,29.93914223,26.07487869,25.04118919,25.07871819,24.85336494,25.32858086,25.55298805,25.04118919,25.10372925
5/6/2018,8:04:00 PM,800,0.334,26.58204269,29.91516113,26.02527809,25.00365067,25.07871819,24.86589622,25.34106064,25.54053307,25.04118919,25.07871819
5/6/2018,8:04:00 PM,866,0.4,26.56970024,29.95113182,26.05008125,25.01616478,25.10372925,24.87842751,25.34106064,25.60279465,25.04118919,25.10372925
5/6/2018,8:04:01 PM,0,0.534,26.60672569,29.96311951,26.11206627,25.00365067,25.17873001,24.90348244,25.36601257,25.60279465,25.06620979,25.09122467
5/6/2018,8:04:01 PM,66,0.6,26.40911865,29.98709106,26.14923859,25.04118919,25.15373421,24.87842751,25.40343285,25.57789421,25.09122467,25.10372925
5/6/2018,8:04:01 PM,200,0.734,26.248312,30.03501892,26.16162872,25.06620979,25.12873459,24.87842751,25.40343285,25.57789421,25.02867889,25.14123535
5/6/2018,8:04:01 PM,333,0.867,26.2359314,30.07095146,26.14923859,25.09122467,25.10372925,24.92853355,25.40343285,25.64013672,25.04118919,25.15373421
5/6/2018,8:04:01 PM,466,1,26.2111702,29.99907494,26.16162872,25.11623192,25.12873459,24.92853355,25.39096069,25.64013672,25.0537014,25.10372925
5/6/2018,8:04:01 PM,600,1.134,26.26068878,29.97510529,26.07487869,25.11623192,25.16623306,25.02867889,25.41590309,25.71478271,25.06620979,25.12873459
5/6/2018,8:04:01 PM,666,1.2,26.248312,30.0110569,25.92601204,25.11623192,25.22870255,25.11623192,25.40343285,25.71478271,25.0537014,25.14123535
5/6/2018,8:04:01 PM,800,1.334,26.2359314,30.03501892,25.92601204,25.14123535,25.16623306,25.12873459,25.37848854,25.50315857,25.07871819,25.07871819
5/6/2018,8:04:01 PM,933,1.467,26.27306557,29.98709106,25.90118217,25.11623192,25.10372925,25.09122467,25.37848854,25.35353661,25.07871819,25.10372925
5/6/2018,8:04:02 PM,0,1.534,26.33492851,29.95113182,25.91359711,25.19122505,25.00365067,25.07871819,25.37848854,25.37848854,25.11623192,25.10372925
5/6/2018,8:04:02 PM,133,1.667,26.32255936,29.96311951,25.93842506,25.14123535,24.96609688,25.15373421,25.39096069,25.36601257,25.10372925,25.09122467
5/6/2018,8:04:02 PM,133,1.667,26.32255936,29.97510529,25.90118217,25.16623306,25.02867889,25.12873459,25.41590309,25.36601257,25.14123535,25.16623306
5/6/2018,8:04:03 PM,400,2.934,26.248312,29.97510529,25.90118217,25.17873001,25.00365067,25.10372925,25.40343285,25.36601257,25.16623306,25.19122505
5/6/2018,8:04:03 PM,600,3.134,26.2235508,29.97510529,26.00046921,25.16623306,25.04118919,25.11623192,25.41590309,25.35353661,25.11623192,25.17873001
5/6/2018,8:04:03 PM,666,3.2,26.248312,29.98709106,26.05008125,25.21621132,25.01616478,25.11623192,25.41590309,25.40343285,25.15373421,25.26616669
5/6/2018,8:04:03 PM,800,3.334,26.28544044,30.02303886,26.03767967,25.21621132,25.01616478,25.14123535,25.41590309,25.39096069,25.12873459,25.31610107
5/6/2018,8:04:03 PM,866,3.4,26.27306557,30.07095146,26.00046921,25.16623306,25.01616478,25.21621132,25.4533062,25.42837334,25.11623192,24.99113464
5/6/2018,8:04:04 PM,0,3.534,26.28544044,30.05897522,26.02527809,25.19122505,25.01616478,25.20371819,25.44083977,25.4533062,25.12873459,24.99113464
5/6/2018,8:04:04 PM,133,3.667,26.32255936,30.10687447,26.02527809,25.16623306,25.11623192,25.21621132,25.44083977,25.42837334,25.11623192,25.00365067
5/6/2018,8:04:04 PM,266,3.8,26.31018639,30.05897522,26.03767967,25.19122505,25.19122505,25.20371819,25.4533062,25.4533062,25.12873459,25.0537014
5/6/2018,8:04:04 PM,400,3.934,26.27306557,30.02303886,26.09967041,25.22870255,25.20371819,25.20371819,25.50315857,25.44083977,25.16623306,25.02867889
5/6/2018,8:04:04 PM,466,4,26.27306557,29.879179,26.09967041,25.2911377,25.21621132,25.24119186,25.56544113,25.41590309,25.17873001,24.96609688
5/6/2018,8:04:04 PM,600,4.134,26.28544044,29.8311882,26.08727646,25.26616669,25.20371819,25.25368118,25.56544113,25.39096069,25.17873001,25.06620979
5/6/2018,8:04:04 PM,666,4.2,26.33492851,29.85518646,26.09967041,25.15373421,25.26616669,25.27865219,25.40343285,25.41590309,25.15373421,25.07871819
5/6/2018,8:04:04 PM,800,4.334,26.26068878,29.8311882,26.12445831,25.06620979,25.25368118,25.32858086,25.26616669,25.39096069,25.12873459,24.81576347
5/6/2018,8:04:04 PM,933,4.467,26.27306557,29.89117432,26.08727646,25.0537014,25.21621132,25.31610107,25.25368118,25.41590309,25.16623306,24.84083176
5/6/2018,8:04:05 PM,66,4.6,26.28544044,29.86718369,26.13685036,25.10372925,25.21621132,25.25368118,25.2911377,25.4533062,25.15373421,24.81576347
5/6/2018,8:04:05 PM,133,4.667,26.29781532,29.85518646,26.11206627,25.10372925,25.20371819,25.22870255,25.25368118,25.49069786,25.19122505,24.87842751
5/6/2018,8:04:05 PM,266,4.8,26.248312,29.86718369,26.13685036,25.06620979,25.25368118,25.25368118,25.24119186,25.52807617,25.19122505,24.90348244
5/6/2018,8:04:05 PM,333,4.867,26.29781532,29.93914223,26.13685036,25.0537014,25.2911377,25.2911377,25.25368118,25.49069786,25.19122505,24.92853355
5/6/2018,8:04:05 PM,466,5,26.32255936,29.96311951,26.13685036,25.04118919,25.2911377,25.2911377,25.24119186,25.49069786,25.24119186,24.916008
5/6/2018,8:04:05 PM,600,5.134,26.39675713,29.90316772,26.16162872,25.06620979,25.32858086,25.32858086,25.25368118,25.47823524,25.30361938,24.99113464
5/6/2018,8:04:05 PM,733,5.267,26.40911865,29.95113182,26.14923859,25.10372925,25.31610107,25.27865219,25.27865219,25.50315857,25.31610107,24.95357704
5/6/2018,8:04:05 PM,866,5.4,26.42148018,29.97510529,26.16162872,25.15373421,25.32858086,25.26616669,25.31610107,25.51561737,25.00365067,25.02867889
5/6/2018,8:04:05 PM,933,5.467,26.37203026,29.97510529,26.12445831,25.26616669,25.30361938,25.27865219,25.30361938,25.55298805,25.02867889,25.09122467
5/6/2018,8:04:06 PM,66,5.6,26.31018639,29.96311951,26.09967041,25.27865219,25.31610107,25.37848854,25.2911377,25.52807617,25.02867889,25.01616478
5/6/2018,8:04:06 PM,200,5.734,26.12445831,29.97510529,26.12445831,25.27865219,25.32858086,25.32858086,25.2911377,25.51561737,25.11623192,25.06620979
5/6/2018,8:04:06 PM,266,5.8,26.07487869,29.96311951,26.14923859,25.30361938,25.37848854,25.31610107,25.26616669,25.54053307,25.09122467,25.01616478
5/6/2018,8:04:06 PM,400,5.934,26.07487869,29.96311951,26.17401505,25.31610107,25.35353661,25.40343285,25.26616669,25.55298805,25.06620979,25.04118919
5/6/2018,8:04:06 PM,533,6.067,26.08727646,29.97510529,26.09967041,25.35353661,25.32858086,25.37848854,25.27865219,25.52807617,25.09122467,25.07871819
5/6/2018,8:04:06 PM,666,6.2,26.11206627,30.02303886,26.05008125,25.27865219,25.32858086,25.4533062,25.2911377,25.50315857,25.17873001,25.02867889
5/6/2018,8:04:06 PM,866,6.4,26.12445831,30.0110569,26.02527809,25.30361938,25.35353661,25.44083977,25.30361938,25.50315857,24.90348244,24.9410553
5/6/2018,8:04:06 PM,933,6.467,26.16162872,29.98709106,26.03767967,25.2911377,25.39096069,25.21621132,25.31610107,25.50315857,24.87842751,24.9410553
5/6/2018,8:04:07 PM,66,6.6,26.19878578,29.98709106,26.03767967,25.34106064,25.37848854,25.10372925,25.35353661,25.52807617,24.85336494,24.99113464
