Plot 1 FLIR USB Video,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,Sp1.Value,Sp2.Value,Sp3.Value,Sp4.Value,Sp5.Value,Sp6.Value,Sp7.Value,Sp8.Value,Sp9.Value,Sp10.Value
Emissivity,,,,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881
Distance,,,,1,1,1,1,1,1,1,1,1,1
Reflected temperature,,,,19.9999939,19.9999939,19.9999939,19.9999939,19.9999939,19.9999939,19.9999939,19.9999939,19.9999939,19.9999939
Location X,,,,25,23,29,267,269,269,116,232,234,236
Location Y,,,,63,119,176,61,113,176,118,62,115,173
Size X,,,,,,,,,,,,,
Size Y,,,,,,,,,,,,,
Surface (pixels),,,,,,,,,,,,,
,,,,,,,,,,,,,
Date,Time,Milliseconds,Relative time,Sp1.Value,Sp2.Value,Sp3.Value,Sp4.Value,Sp5.Value,Sp6.Value,Sp7.Value,Sp8.Value,Sp9.Value,Sp10.Value
5/6/2018,9:01:47 PM,594,0,46.87876511,51.86643982,44.39413452,39.51150894,39.10073471,39.74406052,33.26112747,34.67524338,34.54841614,34.43300247
5/6/2018,9:01:47 PM,864,0.27,46.72154617,51.846241,44.33008575,39.56691742,39.10073471,39.72193146,33.2844429,34.69828796,34.57148361,34.35214615
5/6/2018,9:01:48 PM,135,0.541,46.69008255,51.85634232,44.37278748,39.50042343,39.06737137,39.82148361,33.2844429,34.69828796,34.57148361,34.42145538
5/6/2018,9:01:48 PM,405,0.811,46.65860748,51.88663864,44.36211395,39.52259445,39.1229744,39.799366,33.29610062,34.72133255,34.59455109,34.42145538
5/6/2018,9:01:48 PM,945,1.351,46.76348877,51.86643982,44.36211395,39.54475784,39.05624771,39.8104248,33.2844429,34.67524338,34.57148361,34.39835739
5/6/2018,9:01:49 PM,216,1.622,46.59564209,51.86643982,44.43682098,39.55583954,39.07849503,39.82148361,33.26112747,34.77891541,34.61761093,34.44454956
5/6/2018,9:01:49 PM,486,1.892,46.63762283,51.91693115,44.34076309,39.54475784,39.1229744,39.87675476,33.3427124,34.77891541,34.61761093,34.46763611
5/6/2018,9:01:49 PM,756,2.162,46.61663437,51.86643982,44.30872726,39.53367615,39.10073471,39.82148361,33.30775452,34.72133255,34.6060791,34.39835739
5/6/2018,9:01:50 PM,26,2.432,46.6271286,51.90683365,44.26600266,39.43389893,39.03399658,39.78830719,33.27278519,34.66371918,34.52534103,34.34059143
5/6/2018,9:01:50 PM,297,2.703,46.75300598,51.90683365,44.29804611,39.47825241,39.10073471,39.8435936,33.2844429,34.74436951,34.58301926,34.39835739
5/6/2018,9:01:50 PM,837,3.243,46.60613632,51.91693115,44.36211395,39.47825241,39.08961487,39.85464859,33.26112747,34.68676758,34.59455109,34.39835739
5/6/2018,9:01:51 PM,108,3.514,46.46961594,51.82603455,44.25531769,39.36733627,38.94495773,39.69979858,33.14447784,34.57148361,34.46763611,34.23654556
5/6/2018,9:01:51 PM,378,3.784,46.44860077,51.74518967,44.16981888,39.30073929,38.90041351,39.63337326,33.08611298,34.53688049,34.38680649,34.1902771
5/6/2018,9:01:51 PM,648,4.054,46.50113297,51.7755127,44.34076309,39.35623932,38.94495773,39.68872833,33.13280869,34.57148361,34.42145538,34.24811172
5/6/2018,9:01:51 PM,918,4.324,46.5221405,51.7755127,44.25531769,39.30073929,38.97835541,39.6776619,33.10946274,34.52534103,34.42145538,34.20184326
5/6/2018,9:01:52 PM,189,4.595,46.46961594,51.7755127,44.40480804,39.3340416,38.95609283,39.77724838,33.09778976,34.55995178,34.43300247,34.24811172
5/6/2018,9:01:52 PM,459,4.865,46.51163864,51.7755127,44.21257401,39.37843323,38.96722412,39.73299789,33.15615082,34.6060791,34.44454956,34.24811172
5/6/2018,9:01:52 PM,999,5.405,46.46961594,51.7755127,44.33008575,39.36733627,38.96722412,39.76618576,33.17948532,34.61761093,34.46763611,34.30591965
5/6/2018,9:01:53 PM,270,5.676,46.51163864,51.78561783,44.27668381,39.31184006,38.96722412,39.78830719,33.14447784,34.6060791,34.45609283,34.29436111
5/6/2018,9:01:53 PM,540,5.946,46.48012161,51.82603455,44.20188522,39.31184006,38.96722412,39.73299789,33.12113571,34.59455109,34.46763611,34.27123642
5/6/2018,9:01:53 PM,810,6.216,46.46961594,51.80582809,44.19119644,39.3340416,38.97835541,39.76618576,33.15615082,34.64066696,34.49072266,34.27123642
5/6/2018,9:01:54 PM,81,6.487,46.49062729,51.83613968,44.25531769,39.35623932,38.94495773,39.71086502,33.13280869,34.61761093,34.45609283,34.28279877
5/6/2018,9:01:54 PM,351,6.757,46.44860077,51.82603455,44.36211395,39.34513855,38.93382263,39.71086502,33.12113571,34.59455109,34.44454956,34.23654556
5/6/2018,9:01:54 PM,891,7.297,46.50113297,51.85634232,44.25531769,39.32294083,38.94495773,39.68872833,33.13280869,34.59455109,34.43300247,34.2249794
5/6/2018,9:01:55 PM,162,7.568,46.46961594,51.82603455,44.26600266,39.36733627,38.96722412,39.72193146,33.10946274,34.61761093,34.43300247,34.27123642
5/6/2018,9:01:55 PM,432,7.838,46.49062729,51.846241,44.27668381,39.2896347,38.88927841,39.58907318,33.08611298,34.55995178,34.39835739,34.21341324
5/6/2018,9:01:55 PM,702,8.108,46.38553238,51.83613968,44.24463272,39.32294083,38.91155243,39.60015106,33.10946274,34.54841614,34.38680649,34.17870712
5/6/2018,9:01:55 PM,972,8.378,46.49062729,51.86643982,44.29804611,39.34513855,38.90041351,39.65552139,33.08611298,34.53688049,34.39835739,34.21341324
5/6/2018,9:01:56 PM,243,8.649,46.40655899,51.7755127,44.27668381,39.21188736,38.86699677,39.60015106,33.00435257,34.45609283,34.30591965,34.17870712
5/6/2018,9:01:56 PM,513,8.919,46.45911026,51.75529861,44.21257401,39.26742554,38.86699677,39.58907318,32.95760727,34.47917938,34.30591965,34.12083817
5/6/2018,9:01:57 PM,54,9.46,46.45911026,51.80582809,44.21257401,39.31184006,38.88927841,39.6776619,33.02771759,34.51380157,34.31747818,34.20184326
5/6/2018,9:01:57 PM,324,9.73,46.43809128,51.7755127,44.29804611,39.2896347,38.86699677,39.60015106,33.01603699,34.49072266,34.34059143,34.15555954
5/6/2018,9:01:57 PM,594,10,46.48012161,51.78561783,44.23394775,39.25632095,38.86699677,39.62230301,33.07443619,34.53688049,34.30591965,34.17870712
5/6/2018,9:01:57 PM,864,10.27,46.43809128,51.81593323,44.25531769,39.2896347,38.92268753,39.62230301,33.01603699,34.52534103,34.37525177,34.20184326
5/6/2018,9:01:58 PM,135,10.541,46.49062729,51.93712234,44.26600266,39.35623932,38.93382263,39.65552139,33.08611298,34.6060791,34.44454956,34.27123642
5/6/2018,9:01:58 PM,405,10.811,46.43809128,51.86643982,44.36211395,39.34513855,38.93382263,39.66659164,33.03939819,34.54841614,34.39835739,34.2249794
5/6/2018,9:01:58 PM,675,11.081,46.44860077,51.79572296,44.24463272,39.36733627,38.90041351,39.60015106,33.02771759,34.49072266,34.39835739,34.15555954
5/6/2018,9:01:58 PM,945,11.351,46.574646,51.846241,44.28736496,39.40061951,38.94495773,39.66659164,33.10946274,34.6060791,34.38680649,34.24811172
5/6/2018,9:01:59 PM,486,11.892,46.45911026,51.82603455,44.28736496,39.34513855,38.94495773,39.65552139,33.0627594,34.57148361,34.39835739,34.23654556
5/6/2018,9:01:59 PM,756,12.162,46.574646,51.91693115,44.3194046,39.48933792,39.04512405,39.74406052,33.16781998,34.67524338,34.50226212,34.32903671
5/6/2018,9:02:00 PM,26,12.432,46.64811707,51.94721603,44.33008575,39.42280579,39.05624771,39.77724838,33.15615082,34.64066696,34.50226212,34.28279877
5/6/2018,9:02:00 PM,297,12.703,46.50113297,51.83613968,44.28736496,39.42280579,39.01174164,39.69979858,33.10946274,34.61761093,34.46763611,34.30591965
5/6/2018,9:02:00 PM,567,12.973,46.44860077,51.83613968,44.30872726,39.42280579,39.01174164,39.71086502,33.10946274,34.62913895,34.43300247,34.27123642
5/6/2018,9:02:00 PM,837,13.243,46.36450577,51.89673615,44.3194046,39.44498825,39.02286911,39.74406052,33.12113571,34.64066696,34.44454956,34.32903671
5/6/2018,9:02:01 PM,108,13.514,46.46961594,51.846241,44.34076309,39.43389893,39.00061417,39.72193146,33.09778976,34.65219498,34.43300247,34.30591965
5/6/2018,9:02:01 PM,378,13.784,46.4170723,51.85634232,44.35143661,39.43389893,39.02286911,39.6776619,33.13280869,34.68676758,34.47917938,34.30591965
5/6/2018,9:02:01 PM,918,14.324,46.31192017,51.86643982,44.37278748,39.43389893,39.00061417,39.73299789,33.15615082,34.61761093,34.51380157,34.30591965
5/6/2018,9:02:02 PM,189,14.595,46.43809128,51.87654114,44.3194046,39.43389893,39.00061417,39.71086502,33.16781998,34.66371918,34.49072266,34.34059143
5/6/2018,9:02:02 PM,459,14.865,46.39604568,51.86643982,44.28736496,39.44498825,39.04512405,39.76618576,33.19115067,34.67524338,34.55995178,34.34059143
