Plot 1 FLIR USB Video,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,Sp1.Value,Sp2.Value,Sp3.Value,Sp4.Value,Sp5.Value,Sp6.Value,Sp7.Value,Sp8.Value,Sp9.Value,Sp10.Value
Emissivity,,,,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881
Distance,,,,1,1,1,1,1,1,1,1,1,1
Reflected temperature,,,,19.9999939,19.9999939,19.9999939,19.9999939,19.9999939,19.9999939,19.9999939,19.9999939,19.9999939,19.9999939
Location X,,,,25,23,23,267,269,269,116,232,234,236
Location Y,,,,63,119,174,61,113,176,118,62,115,173
Size X,,,,,,,,,,,,,
Size Y,,,,,,,,,,,,,
Surface (pixels),,,,,,,,,,,,,
,,,,,,,,,,,,,
Date,Time,Milliseconds,Relative time,Sp1.Value,Sp2.Value,Sp3.Value,Sp4.Value,Sp5.Value,Sp6.Value,Sp7.Value,Sp8.Value,Sp9.Value,Sp10.Value
5/6/2018,9:25:30 PM,26,0,29.24168015,32.17190552,29.13307953,27.88292122,27.80967903,27.66305351,25.26616669,26.50796509,26.16162872,26.17401505
5/6/2018,9:25:30 PM,567,0.541,29.217556,32.17190552,29.18136024,27.82188797,27.77303886,27.57743454,25.2911377,26.53266335,26.17401505,26.2111702
5/6/2018,9:25:30 PM,837,0.811,29.1089325,32.06597137,29.07270241,27.79746628,27.72416878,27.5039978,25.21621132,26.45855331,26.11206627,26.13685036
5/6/2018,9:25:31 PM,108,1.082,29.06062317,32.11306381,29.07270241,27.79746628,27.77303886,27.5651989,25.25368118,26.47090721,26.19878578,26.19878578
5/6/2018,9:25:31 PM,378,1.352,29.03646088,32.03063965,29.03646088,27.74860764,27.6997261,27.5039978,25.25368118,26.45855331,26.16162872,26.13685036
5/6/2018,9:25:31 PM,648,1.622,29.0002079,32.0541954,29.02437782,27.77303886,27.71194839,27.51624107,25.25368118,26.47090721,26.14923859,26.19878578
5/6/2018,9:25:31 PM,918,1.892,29.04854202,32.00707626,29.04854202,27.82188797,27.72416878,27.51624107,25.26616669,26.52031517,26.19878578,26.2235508
5/6/2018,9:25:32 PM,189,2.163,29.0002079,32.06597137,29.07270241,27.78525352,27.73638916,27.51624107,25.34106064,26.49561501,26.2235508,26.2235508
5/6/2018,9:25:32 PM,729,2.703,29.0002079,32.01885605,29.03646088,27.73638916,27.68750381,27.47950745,25.26616669,26.45855331,26.14923859,26.19878578
5/6/2018,9:25:32 PM,999,2.973,28.89138222,31.95993996,28.93976212,27.66305351,27.60190392,27.38149834,25.20371819,26.4461956,26.11206627,26.13685036
5/6/2018,9:25:33 PM,270,3.244,28.86718369,31.94815445,28.91557503,27.67527962,27.58967018,27.39375305,25.19122505,26.39675713,26.08727646,26.09967041
5/6/2018,9:25:33 PM,540,3.514,28.81877518,31.90099335,28.85508347,27.60190392,27.54072189,27.34472275,25.17873001,26.35966301,26.05008125,26.06248093
5/6/2018,9:25:34 PM,81,4.055,28.90347862,31.88920212,28.89138222,27.6508255,27.61413574,27.40600777,25.21621132,26.42148018,26.09967041,26.14923859
5/6/2018,9:25:34 PM,351,4.325,28.77034378,31.80661964,28.81877518,27.63859749,27.54072189,27.33246231,25.17873001,26.33492851,26.02527809,26.05008125
5/6/2018,9:25:34 PM,621,4.595,28.84298134,31.87740707,28.85508347,27.6997261,27.6508255,27.40600777,25.20371819,26.39675713,26.09967041,26.11206627
5/6/2018,9:25:34 PM,891,4.865,28.83087921,31.80661964,28.81877518,27.61413574,27.55296135,27.30793571,25.19122505,26.39675713,26.07487869,26.11206627
5/6/2018,9:25:35 PM,162,5.136,28.78245354,31.85381699,28.75823402,27.58967018,27.54072189,27.32019997,25.21621132,26.35966301,26.03767967,26.03767967
5/6/2018,9:25:35 PM,432,5.406,28.77034378,31.79481697,28.69766045,27.58967018,27.58967018,27.33246231,25.24119186,26.38439369,26.08727646,26.06248093
5/6/2018,9:25:35 PM,972,5.946,28.73400879,31.75940323,28.68554306,27.61413574,27.51624107,27.32019997,25.20371819,26.39675713,26.09967041,26.07487869
5/6/2018,9:25:36 PM,243,6.217,28.63705635,31.65310097,28.61280632,27.5651989,27.44276428,27.27113724,25.14123535,26.31018639,26.0128746,26.05008125
5/6/2018,9:25:36 PM,513,6.487,28.72189331,31.68854523,28.64917946,27.61413574,27.49175453,27.2834034,25.19122505,26.39675713,26.06248093,26.07487869
5/6/2018,9:25:36 PM,783,6.757,28.72189331,31.74759674,28.68554306,27.67527962,27.57743454,27.43051338,25.26616669,26.4461956,26.13685036,26.17401505
5/6/2018,9:25:37 PM,53,7.027,28.75823402,31.74759674,28.70977783,27.63859749,27.5651989,27.40600777,25.27865219,26.47090721,26.14923859,26.17401505
5/6/2018,9:25:37 PM,324,7.298,28.67342377,31.65310097,28.6006794,27.58967018,27.52848244,27.33246231,25.21621132,26.39675713,26.11206627,26.09967041
5/6/2018,9:25:37 PM,864,7.838,28.66130257,31.60582352,28.58855057,27.60190392,27.54072189,27.34472275,25.26616669,26.42148018,26.12445831,26.12445831
5/6/2018,9:25:38 PM,135,8.109,28.67342377,31.61764526,28.5400238,27.61413574,27.55296135,27.2834034,25.25368118,26.39675713,26.11206627,26.11206627
5/6/2018,9:25:38 PM,405,8.379,28.69766045,31.68854523,28.6006794,27.68750381,27.58967018,27.39375305,25.32858086,26.47090721,26.18640137,26.18640137
5/6/2018,9:25:38 PM,675,8.649,28.64917946,31.58217812,28.52788925,27.61413574,27.52848244,27.2834034,25.25368118,26.45855331,26.14923859,26.12445831
5/6/2018,9:25:38 PM,945,8.919,28.62493324,31.61764526,28.564291,27.58967018,27.49175453,27.2834034,25.25368118,26.4461956,26.19878578,26.13685036
5/6/2018,9:25:39 PM,486,9.46,28.49147797,31.53487396,28.45505524,27.58967018,27.49175453,27.24659729,25.20371819,26.39675713,26.11206627,26.12445831
5/6/2018,9:25:39 PM,756,9.73,28.44291115,31.52304459,28.44291115,27.49175453,27.41826248,27.18522644,25.20371819,26.34729767,26.11206627,26.06248093
5/6/2018,9:25:40 PM,26,10,28.44291115,31.47571754,28.43076515,27.5039978,27.41826248,27.16066933,25.17873001,26.31018639,26.07487869,26.02527809
5/6/2018,9:25:40 PM,297,10.271,28.47933769,31.51121521,28.44291115,27.57743454,27.5039978,27.23432541,25.22870255,26.35966301,26.12445831,26.11206627
5/6/2018,9:25:40 PM,567,10.541,28.564291,31.53487396,28.45505524,27.62636757,27.46726227,27.25886726,25.26616669,26.39675713,26.14923859,26.16162872
5/6/2018,9:25:40 PM,837,10.811,28.5400238,31.5585289,28.46719742,27.6508255,27.51624107,27.29566956,25.25368118,26.47090721,26.18640137,26.17401505
5/6/2018,9:25:41 PM,108,11.082,28.5157547,31.58217812,28.46719742,27.67527962,27.5039978,27.32019997,25.36601257,26.47090721,26.19878578,26.16162872
5/6/2018,9:25:41 PM,378,11.352,28.58855057,31.58217812,28.52788925,27.66305351,27.52848244,27.33246231,25.39096069,26.48326111,26.248312,26.248312
5/6/2018,9:25:41 PM,648,11.622,28.564291,31.5585289,28.47933769,27.63859749,27.55296135,27.34472275,25.32858086,26.49561501,26.19878578,26.18640137
5/6/2018,9:25:42 PM,189,12.163,28.5157547,31.58217812,28.44291115,27.62636757,27.51624107,27.35698318,25.30361938,26.43383789,26.19878578,26.16162872
5/6/2018,9:25:42 PM,459,12.433,28.49147797,31.54670143,28.47933769,27.67527962,27.54072189,27.36924171,25.40343285,26.50796509,26.248312,26.2235508
5/6/2018,9:25:42 PM,729,12.703,28.564291,31.58217812,28.52788925,27.67527962,27.57743454,27.41826248,25.42837334,26.53266335,26.27306557,26.29781532
5/6/2018,9:25:42 PM,999,12.973,28.49147797,31.48755074,28.39432335,27.60190392,27.52848244,27.32019997,25.39096069,26.48326111,26.2359314,26.19878578
5/6/2018,9:25:43 PM,540,13.514,28.47933769,31.45204544,28.3578701,27.58967018,27.49175453,27.29566956,25.39096069,26.53266335,26.248312,26.2235508
5/6/2018,9:25:43 PM,810,13.784,28.49147797,31.46388245,28.38217354,27.62636757,27.49175453,27.33246231,25.36601257,26.49561501,26.2111702,26.2235508
5/6/2018,9:25:44 PM,81,14.055,28.5157547,31.45204544,28.40647316,27.62636757,27.47950745,27.29566956,25.37848854,26.50796509,26.2359314,26.2235508
5/6/2018,9:25:44 PM,351,14.325,28.49147797,31.41653061,28.34571648,27.61413574,27.5039978,27.2834034,25.37848854,26.49561501,26.248312,26.19878578
5/6/2018,9:25:44 PM,621,14.595,28.49147797,31.42836952,28.38217354,27.60190392,27.5039978,27.33246231,25.39096069,26.54500961,26.27306557,26.248312
5/6/2018,9:25:44 PM,891,14.865,28.38217354,31.3691597,28.28492737,27.47950745,27.43051338,27.23432541,25.35353661,26.50796509,26.27306557,26.2235508
5/6/2018,9:25:45 PM,162,15.136,28.47933769,31.39284706,28.33356094,27.55296135,27.51624107,27.33246231,25.40343285,26.55735588,26.31018639,26.2359314
