Plot 1 FLIR USB Video,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,Sp1.Value,Sp2.Value,Sp3.Value,Sp4.Value,Sp5.Value,Sp6.Value,Sp7.Value,Sp8.Value,Sp9.Value,Sp10.Value
Emissivity,,,,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881
Distance,,,,1,1,1,1,1,1,1,1,1,1
Reflected temperature,,,,19.9999939,19.9999939,19.9999939,19.9999939,19.9999939,19.9999939,19.9999939,19.9999939,19.9999939,19.9999939
Location X,,,,25,23,23,276,278,277,116,232,234,236
Location Y,,,,63,119,174,61,113,175,118,62,115,173
Size X,,,,,,,,,,,,,
Size Y,,,,,,,,,,,,,
Surface (pixels),,,,,,,,,,,,,
,,,,,,,,,,,,,
Date,Time,Milliseconds,Relative time,Sp1.Value,Sp2.Value,Sp3.Value,Sp4.Value,Sp5.Value,Sp6.Value,Sp7.Value,Sp8.Value,Sp9.Value,Sp10.Value
5/6/2018,10:17:48 PM,675,0,39.51150894,43.7414856,38.93382263,39.40061951,39.97618484,38.25276184,33.77304077,35.49071121,35.41055679,35.15829086
5/6/2018,10:17:48 PM,945,0.27,39.50042343,43.80582428,38.96722412,39.36733627,39.99827194,38.25276184,33.78465271,35.4678154,35.38764191,35.14681244
5/6/2018,10:17:49 PM,216,0.541,39.48933792,43.78438187,38.96722412,39.3340416,40.00931168,38.19677353,33.77304077,35.4678154,35.39910126,35.1353302
5/6/2018,10:17:49 PM,486,0.811,39.51150894,43.70930099,38.88927841,39.41171265,40.00931168,38.21917343,33.76143265,35.49071121,35.39910126,35.12385178
5/6/2018,10:17:49 PM,756,1.081,39.51150894,43.80582428,38.94495773,39.4671669,40.07553864,38.26395798,33.81947327,35.54793549,35.45636749,35.16976929
5/6/2018,10:17:50 PM,26,1.351,39.48933792,43.76293182,38.88927841,39.43389893,40.00931168,38.21917343,33.77304077,35.54793549,35.41055679,35.14681244
5/6/2018,10:17:50 PM,297,1.622,39.52259445,43.79510117,38.95609283,39.41171265,40.02035141,38.23036957,33.76143265,35.55937576,35.44491577,35.15829086
5/6/2018,10:17:50 PM,837,2.162,39.47825241,43.82726288,38.92268753,39.38952637,39.98722839,38.16316986,33.76143265,35.52505112,35.38764191,35.10088348
5/6/2018,10:17:51 PM,108,2.433,39.48933792,43.76293182,38.92268753,39.42280579,40.02035141,38.23036957,33.72659302,35.54793549,35.39910126,35.12385178
5/6/2018,10:17:51 PM,378,2.703,39.52259445,43.79510117,38.88927841,39.45607758,40.0534668,38.15196609,33.74982071,35.57081604,35.42200851,35.11236954
5/6/2018,10:17:51 PM,648,2.973,39.54475784,43.80582428,38.91155243,39.43389893,40.0534668,38.17437363,33.74982071,35.54793549,35.45636749,35.12385178
5/6/2018,10:17:51 PM,918,3.243,39.43389893,43.77365875,38.85585785,39.43389893,39.9651413,38.14076233,33.73820877,35.51360321,35.41055679,35.06642914
5/6/2018,10:17:52 PM,189,3.514,39.53367615,43.7414856,38.88927841,39.40061951,39.98722839,38.18557358,33.68012619,35.59369659,35.41055679,35.12385178
5/6/2018,10:17:52 PM,459,3.784,39.42280579,43.73075867,38.80013657,39.38952637,39.9651413,38.09593201,33.68012619,35.52505112,35.37618637,35.05493927
5/6/2018,10:17:52 PM,999,4.324,39.50042343,43.68784332,38.81128311,39.44498825,39.9651413,38.14076233,33.66850662,35.58225632,35.42200851,35.1353302
5/6/2018,10:17:53 PM,270,4.595,39.51150894,43.76293182,38.84471512,39.43389893,40.03139114,38.14076233,33.74982071,35.57081604,35.41055679,35.14681244
5/6/2018,10:17:53 PM,540,4.865,39.45607758,43.73075867,38.8781395,39.50042343,40.0534668,38.20797348,33.73820877,35.59369659,35.47926331,35.10088348
5/6/2018,10:17:53 PM,810,5.135,39.40061951,43.76293182,38.77783966,39.37843323,39.97618484,38.11834717,33.70336151,35.51360321,35.43346405,35.10088348
5/6/2018,10:17:54 PM,80,5.405,39.47825241,43.73075867,38.75554276,39.40061951,39.99827194,38.10713959,33.70336151,35.53649139,35.45636749,35.10088348
5/6/2018,10:17:54 PM,351,5.676,39.43389893,43.76293182,38.80013657,39.48933792,40.07553864,38.16316986,33.70336151,35.65087128,35.47926331,35.11236954
5/6/2018,10:17:54 PM,621,5.946,39.45607758,43.67711258,38.76669312,39.4671669,40.08657455,38.14076233,33.70336151,35.61656952,35.45636749,35.12385178
5/6/2018,10:17:55 PM,162,6.487,39.41171265,43.66638184,38.77783966,39.45607758,40.04243088,38.07351303,33.71497726,35.62800217,35.42200851,35.04345322
5/6/2018,10:17:55 PM,432,6.757,39.30073929,43.69857407,38.6997757,39.36733627,39.95409775,38.03987122,33.62202072,35.54793549,35.36472702,34.98599243
5/6/2018,10:17:55 PM,702,7.027,39.35623932,43.68784332,38.76669312,39.51150894,39.99827194,38.11834717,33.6336441,35.62800217,35.37618637,35.0089798
5/6/2018,10:17:55 PM,972,7.297,39.48933792,43.78438187,38.84471512,39.53367615,40.03139114,38.10713959,33.68012619,35.70801926,35.39910126,35.05493927
5/6/2018,10:17:56 PM,243,7.568,39.51150894,43.79510117,38.85585785,39.48933792,40.07553864,38.15196609,33.71497726,35.71944427,35.44491577,35.07791519
5/6/2018,10:17:56 PM,513,7.838,39.42280579,43.73075867,38.84471512,39.4671669,40.06450272,38.16316986,33.72659302,35.62800217,35.45636749,35.10088348
5/6/2018,10:17:57 PM,53,8.378,39.45607758,43.7414856,38.86699677,39.55583954,40.09760666,38.21917343,33.76143265,35.70801926,35.4678154,35.11236954
5/6/2018,10:17:57 PM,324,8.649,39.38952637,43.68784332,38.76669312,39.4671669,40.06450272,38.11834717,33.70336151,35.62800217,35.44491577,35.04345322
5/6/2018,10:17:57 PM,594,8.919,39.35623932,43.67711258,38.6997757,39.42280579,40.03139114,38.05108643,33.64526749,35.61656952,35.42200851,34.98599243
5/6/2018,10:17:57 PM,864,9.189,39.38952637,43.68784332,38.68862152,39.50042343,40.0534668,38.07351303,33.68012619,35.68516159,35.47926331,35.0089798
5/6/2018,10:17:58 PM,135,9.46,39.34513855,43.64491653,38.65514755,39.4671669,39.98722839,38.02865982,33.64526749,35.58225632,35.38764191,34.96300125
5/6/2018,10:17:58 PM,405,9.73,39.34513855,43.67711258,38.68862152,39.45607758,39.94305038,38.00622559,33.64526749,35.63943863,35.39910126,34.95150375
5/6/2018,10:17:58 PM,675,10,39.38952637,43.70930099,38.73323822,39.51150894,39.97618484,38.08472061,33.64526749,35.63943863,35.41055679,34.98599243
5/6/2018,10:17:59 PM,216,10.541,39.41171265,43.65564728,38.66630554,39.52259445,39.99827194,38.05108643,33.6336441,35.61656952,35.38764191,34.96300125
5/6/2018,10:17:59 PM,486,10.811,39.36733627,43.67711258,38.75554276,39.50042343,40.04243088,38.06229782,33.6336441,35.68516159,35.43346405,34.99748611
5/6/2018,10:17:59 PM,756,11.081,39.32294083,43.66638184,38.71092987,39.51150894,40.03139114,38.10713959,33.64526749,35.65087128,35.44491577,35.02047348
5/6/2018,10:18:00 PM,26,11.351,39.41171265,43.69857407,38.71092987,39.60015106,40.09760666,38.15196609,33.64526749,35.71944427,35.47926331,35.02047348
5/6/2018,10:18:00 PM,297,11.622,39.42280579,43.69857407,38.77783966,39.63337326,40.14173126,38.14076233,33.66850662,35.69659042,35.49071121,35.03196335
5/6/2018,10:18:00 PM,567,11.892,39.40061951,43.64491653,38.71092987,39.54475784,40.02035141,38.07351303,33.61039352,35.74229431,35.43346405,35.02047348
5/6/2018,10:18:00 PM,837,12.162,39.30073929,43.61270905,38.68862152,39.56691742,40.00931168,38.06229782,33.59877014,35.66230392,35.41055679,34.97449875
5/6/2018,10:18:01 PM,108,12.433,39.34513855,43.65564728,38.73323822,39.58907318,40.07553864,38.11834717,33.61039352,35.71944427,35.43346405,34.99748611
5/6/2018,10:18:01 PM,378,12.703,39.43389893,43.80582428,38.80013657,39.73299789,40.15275955,38.20797348,33.73820877,35.84506607,35.57081604,35.12385178
5/6/2018,10:18:01 PM,918,13.243,39.48933792,43.88084412,38.80013657,39.8104248,40.22993469,38.2415657,33.80786514,35.95915604,35.62800217,35.08940125
5/6/2018,10:18:02 PM,189,13.514,39.4671669,43.80582428,38.78899002,39.73299789,40.19686508,38.25276184,33.78465271,35.89071655,35.60513306,35.1353302
5/6/2018,10:18:02 PM,459,13.784,39.36733627,43.75220871,38.76669312,39.799366,40.20788956,38.29753494,33.73820877,35.91353607,35.60513306,35.1353302
5/6/2018,10:18:02 PM,729,14.054,39.44498825,43.79510117,38.85585785,39.799366,40.2519722,38.28634262,33.78465271,35.93634796,35.63943863,35.15829086
5/6/2018,10:18:02 PM,999,14.324,39.51150894,43.81654358,38.81128311,39.8104248,40.31807327,38.31991577,33.76143265,35.97056198,35.63943863,35.11236954
5/6/2018,10:18:03 PM,270,14.595,39.50042343,43.78438187,38.80013657,39.86570358,40.2960434,38.2751503,33.78465271,35.95915604,35.68516159,35.12385178
