Plot 1 FLIR USB Video,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,Sp1.Value,Sp2.Value,Sp3.Value,Sp4.Value,Sp5.Value,Sp6.Value,Sp7.Value,Sp8.Value,Sp9.Value,Sp10.Value
Emissivity,,,,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881
Distance,,,,1,1,1,1,1,1,1,1,1,1
Reflected temperature,,,,19.9999939,19.9999939,19.9999939,19.9999939,19.9999939,19.9999939,19.9999939,19.9999939,19.9999939,19.9999939
Location X,,,,25,26,25,268,247,228,95,230,224,264
Location Y,,,,62,120,173,65,114,181,117,61,115,175
Size X,,,,,,,,,,,,,
Size Y,,,,,,,,,,,,,
Surface (pixels),,,,,,,,,,,,,
,,,,,,,,,,,,,
Date,Time,Milliseconds,Relative time,Sp1.Value,Sp2.Value,Sp3.Value,Sp4.Value,Sp5.Value,Sp6.Value,Sp7.Value,Sp8.Value,Sp9.Value,Sp10.Value
5/7/2018,2:53:08 PM,702,0,47.73497772,52.41076279,46.53264236,40.46117401,40.38414001,37.98378754,34.87099457,34.87099457,36.2894249,36.82281494
5/7/2018,2:53:09 PM,243,0.541,47.75579071,52.40070343,46.53264236,40.38414001,40.38414001,38.0174408,34.81345367,34.80194092,36.23254395,36.89074326
5/7/2018,2:53:09 PM,513,0.811,47.74538422,52.4308815,46.5221405,40.3731308,40.38414001,37.97256851,34.81345367,34.77891541,36.24392319,36.89074326
5/7/2018,2:53:09 PM,783,1.081,47.7661972,52.4308815,46.50113297,40.41716003,40.39514923,37.93890381,34.85948563,34.77891541,36.27804947,36.92469406
5/7/2018,2:53:10 PM,53,1.351,47.79741287,52.46105576,46.48012161,40.41716003,40.4721756,37.99500656,34.89400101,34.80194092,36.23254395,36.94732285
5/7/2018,2:53:10 PM,324,1.622,47.83901978,52.50127792,46.61663437,40.54915619,40.45017242,37.98378754,34.88249969,34.87099457,36.31216812,36.98125458
5/7/2018,2:53:10 PM,594,1.892,47.84942245,52.4711113,46.53264236,40.46117401,40.41716003,37.98378754,34.82496262,34.80194092,36.31216812,36.92469406
5/7/2018,2:53:10 PM,864,2.162,47.80781555,52.46105576,46.56414795,40.4721756,40.42816544,38.06229782,34.82496262,34.82496262,36.31216812,36.85678482
5/7/2018,2:53:11 PM,135,2.433,47.9325943,52.51132965,46.55364609,40.52716827,40.48317719,38.02865982,34.87099457,34.87099457,36.36901093,36.95863342
5/7/2018,2:53:11 PM,675,2.973,47.90140915,52.52138519,46.574646,40.42816544,40.41716003,38.00622559,34.88249969,34.87099457,36.26667404,36.87942505
5/7/2018,2:53:11 PM,945,3.243,47.88061905,52.53143692,46.69008255,40.50517273,40.5161705,38.08472061,34.94000626,34.89400101,36.30079651,37.00387192
5/7/2018,2:53:12 PM,216,3.514,47.97415924,52.53143692,46.67959213,40.41716003,40.26299286,35.21566772,34.91700745,34.88249969,35.98196411,35.10088348
5/7/2018,2:53:12 PM,486,3.784,47.9949379,38.38703537,34.32903671,40.46117401,40.45017242,37.99500656,34.47917938,34.91700745,36.36901093,37.01517868
5/7/2018,2:53:12 PM,756,4.054,47.85982132,52.18925858,46.53264236,38.49881744,34.67524338,34.36370087,34.21341324,34.36370087,34.39835739,34.68676758
5/7/2018,2:53:13 PM,26,4.324,47.96377182,52.4711113,46.76348877,34.99748611,34.30591965,39.00061417,34.91700745,34.51380157,34.17870712,34.37525177
5/7/2018,2:53:13 PM,567,4.865,48.08840179,35.58225632,46.36450577,40.41716003,40.18584061,35.0089798,34.94000626,34.89400101,35.4678154,36.19840622
5/7/2018,2:53:13 PM,837,5.135,48.00532913,52.4308815,46.65860748,34.94000626,34.38680649,34.51380157,34.89400101,34.67524338,34.38680649,34.44454956
5/7/2018,2:53:14 PM,108,5.406,47.94298553,52.4308815,46.59564209,34.50226212,41.80726624,39.48933792,34.92850494,34.92850494,37.083004,38.11834717
5/7/2018,2:53:14 PM,378,5.676,48.08840179,52.51132965,46.574646,34.38680649,41.88344955,39.50042343,34.95150375,34.91700745,37.00387192,36.10731888
5/7/2018,2:53:14 PM,648,5.946,48.02610016,52.55154037,46.71105957,39.17855072,37.44409943,39.50042343,34.97449875,34.90550613,37.01517868,38.16316986
5/7/2018,2:53:15 PM,189,6.487,48.00532913,52.55154037,46.69008255,40.5711441,35.76514053,39.40061951,34.95150375,34.90550613,37.16208267,38.23036957
5/7/2018,2:53:15 PM,459,6.757,47.98455048,52.61182785,46.71105957,40.60411453,40.22993469,39.38952637,34.99748611,34.97449875,37.20724869,38.2415657
5/7/2018,2:53:15 PM,729,7.027,47.98455048,52.50127792,46.6271286,40.49417496,40.93336868,38.26395798,34.98599243,34.99748611,36.44854736,38.07351303
5/7/2018,2:53:15 PM,999,7.297,47.92219925,52.55154037,46.61663437,40.53816223,40.56015015,38.15196609,34.97449875,34.92850494,36.39174271,37.84908295
5/7/2018,2:53:16 PM,270,7.568,47.92219925,52.55154037,46.574646,40.46117401,40.58213425,38.08472061,34.92850494,34.95150375,36.32353973,37.80414963
5/7/2018,2:53:16 PM,540,7.838,47.9949379,52.60177994,46.58514404,40.5161705,40.54915619,38.14076233,34.98599243,34.90550613,36.38037872,37.65800476
5/7/2018,2:53:17 PM,81,8.379,47.88061905,52.54148865,46.53264236,40.42816544,40.5711441,38.11834717,34.95150375,34.85948563,36.35764313,37.52294922
5/7/2018,2:53:17 PM,351,8.649,47.85982132,52.56158829,46.59564209,40.4721756,40.54915619,38.10713959,34.94000626,34.85948563,36.35764313,37.10560226
5/7/2018,2:53:17 PM,621,8.919,47.90140915,52.52138519,46.55364609,40.42816544,40.4721756,38.09593201,34.90550613,34.82496262,36.2894249,36.99256516
5/7/2018,2:53:17 PM,891,9.189,47.90140915,52.48116684,46.50113297,40.39514923,40.42816544,37.98378754,34.89400101,34.80194092,36.2211647,36.90206146
5/7/2018,2:53:18 PM,162,9.46,47.83901978,52.51132965,46.43809128,40.38414001,40.38414001,37.93890381,34.8479805,34.76739883,36.17564011,36.89074326
5/7/2018,2:53:18 PM,432,9.73,47.9325943,52.51132965,46.53264236,40.3731308,40.36212158,37.98378754,34.85948563,34.79042816,36.2211647,36.91337585
5/7/2018,2:53:18 PM,702,10,47.88061905,52.58168793,46.49062729,40.43917084,40.3731308,38.03987122,34.85948563,34.80194092,36.25529861,36.93600845
5/7/2018,2:53:18 PM,972,10.27,47.9325943,52.58168793,46.46961594,40.36212158,40.38414001,38.0174408,34.82496262,34.77891541,36.25529861,36.94732285
5/7/2018,2:53:19 PM,243,10.541,48.02610016,52.58168793,46.4170723,40.39514923,40.38414001,38.07351303,34.82496262,34.8479805,36.26667404,36.98125458
5/7/2018,2:53:19 PM,783,11.081,48.04687119,52.67209244,46.51163864,40.46117401,40.50517273,38.00622559,34.90550613,34.85948563,36.30079651,37.00387192
5/7/2018,2:53:20 PM,53,11.351,48.04687119,52.64196396,46.49062729,40.5161705,40.45017242,38.05108643,34.91700745,34.95150375,36.2894249,37.02648544
5/7/2018,2:53:20 PM,324,11.622,47.97415924,52.63191986,46.51163864,40.4721756,40.42816544,38.08472061,34.91700745,34.83647156,36.2894249,37.04909515
5/7/2018,2:53:20 PM,594,11.892,47.8910141,52.61182785,46.44860077,40.42816544,40.39514923,38.02865982,34.85948563,34.81345367,36.24392319,36.98125458
5/7/2018,2:53:20 PM,864,12.162,47.98455048,52.67209244,46.51163864,40.56015015,40.49417496,38.03987122,34.95150375,34.89400101,36.27804947,37.07170105
5/7/2018,2:53:21 PM,405,12.703,47.9325943,52.72229004,46.51163864,40.50517273,40.48317719,38.05108643,34.91700745,34.85948563,36.32353973,37.07170105
5/7/2018,2:53:21 PM,675,12.973,47.9325943,52.70221329,46.54314423,40.54915619,40.4721756,38.00622559,34.95150375,34.90550613,36.2894249,37.00387192
5/7/2018,2:53:21 PM,945,13.243,47.98455048,52.74236679,46.44860077,40.54915619,40.46117401,37.99500656,34.95150375,34.83647156,36.33490753,36.99256516
5/7/2018,2:53:22 PM,216,13.514,48.03648758,52.77247238,46.49062729,40.5711441,40.45017242,37.97256851,34.94000626,34.88249969,36.27804947,37.01517868
5/7/2018,2:53:22 PM,486,13.784,47.9325943,52.74236679,46.48012161,40.5711441,40.50517273,38.0174408,34.96300125,34.89400101,36.2894249,37.03779221
5/7/2018,2:53:22 PM,756,14.054,47.95338058,52.72229004,46.40655899,40.50517273,40.45017242,37.98378754,34.91700745,34.80194092,36.25529861,36.92469406
5/7/2018,2:53:23 PM,26,14.324,47.98455048,52.70221329,46.36450577,40.4721756,40.41716003,37.96134949,34.89400101,34.79042816,36.20978546,36.92469406
5/7/2018,2:53:23 PM,297,14.595,47.8910141,52.68213272,46.40655899,40.46117401,40.41716003,37.97256851,34.88249969,34.79042816,36.24392319,36.95863342
5/7/2018,2:53:23 PM,567,14.865,47.95338058,52.71225357,46.34347153,40.53816223,40.45017242,37.98378754,34.91700745,34.81345367,36.25529861,36.93600845
